Year,UNIT_MEASURE,Teritory,Пол,Витална статистика,Value
2013,Број,Билећа,Ж,two_children,1326
2013,Број,Братунац,Ж,two_children,2792
2013,Број,Брод,Ж,two_children,2580
2013,Број,Вишеград,Ж,two_children,1848
2013,Број,Власеница,Ж,two_children,1665
2013,Број,Вукосавље,Ж,two_children,559
2013,Број,Гацко,Ж,two_children,1059
2013,Број,Град Градишка,Ж,two_children,8900
2013,Број,Град Дервента,Ж,two_children,4439
2013,Број,Град Добој,Ж,two_children,12173
2013,Број,Доњи Жабар,Ж,two_children,593
2013,Број,Град Зворник,Ж,two_children,8830
2013,Број,Источна Илиџа,Ж,two_children,2779
2013,Број,Источни Дрвар,Ж,two_children,10
2013,Број,Источни Мостар,Ж,two_children,33
2013,Број,Источни Стари Град,Ж,two_children,228
2013,Број,Источно Ново Сарајево,Ж,two_children,1900
2013,Број,Језеро,Ж,two_children,148
2013,Број,Калиновик,Ж,two_children,319
2013,Број,Кнежево,Ж,two_children,1392
2013,Број,Козарска Дубица,Ж,two_children,4143
2013,Број,Костајница,Ж,two_children,1052
2013,Број,Котор Варош,Ж,two_children,2402
2013,Број,Крупа на Уни,Ж,two_children,192
2013,Број,Купрес,Ж,two_children,40
2013,Број,Лакташи,Ж,two_children,6184
2013,Број,Лопаре,Ж,two_children,2505
2013,Број,Љубиње,Ж,two_children,553
2013,Број,Милићи,Ж,two_children,1495
2013,Број,Модрича,Ж,two_children,4165
2013,Број,Мркоњић Град,Ж,two_children,2860
2013,Број,Невесиње,Ж,two_children,1754
2013,Број,Нови Град,Ж,two_children,4409
2013,Број,Ново Горажде,Ж,two_children,422
2013,Број,Осмаци,Ж,two_children,797
2013,Број,Оштра Лука,Ж,two_children,344
2013,Број,Пале,Ж,two_children,3827
2013,Број,Пелагићево,Ж,two_children,665
2013,Број,Петровац,Ж,two_children,82
2013,Број,Петрово,Ж,two_children,1379
2013,Број,Град Приједор,Ж,two_children,13567
2013,Број,Прњавор,Ж,two_children,6044
2013,Број,Рибник,Ж,two_children,909
2013,Број,Рогатица,Ж,two_children,1710
2013,Број,Рудо,Ж,two_children,1350
2013,Број,Соколац,Ж,two_children,2140
2013,Број,Србац,Ж,two_children,3026
2013,Број,Сребреница,Ж,two_children,1722
2013,Број,Теслић,Ж,two_children,5747
2013,Број,Град Требиње,Ж,two_children,4888
2013,Број,Трново,Ж,two_children,376
2013,Број,Угљевик,Ж,two_children,2613
2013,Број,Фоча,Ж,two_children,2985
2013,Број,Хан Пијесак,Ж,two_children,636
2013,Број,Чајниче,Ж,two_children,677
2013,Број,Челинац,Ж,two_children,2447
2013,Број,Шамац,Ж,two_children,3141
2013,Број,Шековићи,Ж,two_children,982
2013,Број,Шипово,Ж,two_children,1538
2013,Број,Република Српска,Ж,three_children,75481
2013,Број,Град Бања Лука,Ж,three_children,8070
2013,Број,Берковићи,Ж,three_children,217
2013,Број,Град Бијељина,Ж,three_children,5831
2013,Број,Билећа,Ж,three_children,977
2013,Број,Братунац,Ж,three_children,1431
2013,Број,Брод,Ж,three_children,1080
2013,Број,Вишеград,Ж,three_children,712
2013,Број,Власеница,Ж,three_children,713
2013,Број,Вукосавље,Ж,three_children,347
2013,Број,Гацко,Ж,three_children,776
2013,Број,Град Градишка,Ж,three_children,3006
2013,Број,Град Дервента,Ж,three_children,1724
2013,Број,Град Добој,Ж,three_children,4326
2013,Број,Доњи Жабар,Ж,three_children,250
2013,Број,Град Зворник,Ж,three_children,4031
2013,Број,Источна Илиџа,Ж,three_children,680
2013,Број,Источни Дрвар,Ж,three_children,3
2013,Број,Источни Мостар,Ж,three_children,15
2013,Број,Источни Стари Град,Ж,three_children,83
2013,Број,Источно Ново Сарајево,Ж,three_children,443
2013,Број,Језеро,Ж,three_children,77
2013,Број,Калиновик,Ж,three_children,171
2013,Број,Кнежево,Ж,three_children,808
2013,Број,Козарска Дубица,Ж,three_children,1200
2013,Број,Костајница,Ж,three_children,277
2013,Број,Котор Варош,Ж,three_children,1502
2013,Број,Крупа на Уни,Ж,three_children,142
2013,Број,Купрес,Ж,three_children,27
2013,Број,Лакташи,Ж,three_children,2018
2013,Број,Лопаре,Ж,three_children,1040
2013,Број,Љубиње,Ж,three_children,328
2013,Број,Милићи,Ж,three_children,838
2013,Број,Модрича,Ж,three_children,1652
2013,Број,Мркоњић Град,Ж,three_children,1314
2013,Број,Невесиње,Ж,three_children,1064
2013,Број,Нови Град,Ж,three_children,1483
2013,Број,Ново Горажде,Ж,three_children,192
2013,Број,Осмаци,Ж,three_children,427
2013,Број,Оштра Лука,Ж,three_children,266
2013,Број,Пале,Ж,three_children,1048
2013,Број,Пелагићево,Ж,three_children,364
2013,Број,Петровац,Ж,three_children,19
2013,Број,Петрово,Ж,three_children,379
2013,Број,Град Приједор,Ж,three_children,5168
2013,Број,Прњавор,Ж,three_children,2451
2013,Број,Рибник,Ж,three_children,572
2013,Број,Рогатица,Ж,three_children,824
2013,Број,Рудо,Ж,three_children,604
2013,Број,Соколац,Ж,three_children,768
2013,Број,Србац,Ж,three_children,1137
2013,Број,Сребреница,Ж,three_children,914
2013,Број,Теслић,Ж,three_children,2955
2013,Број,Град Требиње,Ж,three_children,2131
2013,Број,Трново,Ж,three_children,136
2013,Број,Угљевик,Ж,three_children,1018
2013,Број,Фоча,Ж,three_children,1283
2013,Број,Хан Пијесак,Ж,three_children,282
2013,Број,Чајниче,Ж,three_children,408
2013,Број,Челинац,Ж,three_children,1172
2013,Број,Шамац,Ж,three_children,962
2013,Број,Шековићи,Ж,three_children,558
2013,Број,Шипово,Ж,three_children,787
2013,Број,Република Српска,Ж,four_children,22659
2013,Број,Град Бања Лука,Ж,four_children,2049
2013,Број,Берковићи,Ж,four_children,76
2013,Број,Град Бијељина,Ж,four_children,1410
2013,Број,Билећа,Ж,four_children,351
2013,Број,Братунац,Ж,four_children,492
2013,Број,Брод,Ж,four_children,303
2013,Број,Вишеград,Ж,four_children,194
2013,Број,Власеница,Ж,four_children,266
2013,Број,Вукосавље,Ж,four_children,148
2013,Број,Гацко,Ж,four_children,273
2013,Број,Град Градишка,Ж,four_children,817
2013,Број,Град Дервента,Ж,four_children,506
2013,Број,Град Добој,Ж,four_children,1337
2013,Број,Доњи Жабар,Ж,four_children,69
2013,Број,Град Зворник,Ж,four_children,1267
2013,Број,Источна Илиџа,Ж,four_children,111
2013,Број,Источни Дрвар,Ж,four_children,0
2013,Број,Источни Мостар,Ж,four_children,5
2013,Број,Источни Стари Град,Ж,four_children,23
2013,Број,Источно Ново Сарајево,Ж,four_children,82
2013,Број,Језеро,Ж,four_children,34
2013,Број,Калиновик,Ж,four_children,53
2013,Број,Кнежево,Ж,four_children,317
2013,Број,Козарска Дубица,Ж,four_children,294
2013,Број,Костајница,Ж,four_children,70
2013,Број,Котор Варош,Ж,four_children,635
2013,Број,Крупа на Уни,Ж,four_children,61
2013,Број,Купрес,Ж,four_children,13
2013,Број,Лакташи,Ж,four_children,549
2013,Број,Лопаре,Ж,four_children,301
2013,Број,Љубиње,Ж,four_children,74
2013,Број,Милићи,Ж,four_children,277
2013,Број,Модрича,Ж,four_children,548
2013,Број,Мркоњић Град,Ж,four_children,393
2013,Број,Невесиње,Ж,four_children,395
2013,Број,Нови Град,Ж,four_children,583
2013,Број,Ново Горажде,Ж,four_children,55
2013,Број,Осмаци,Ж,four_children,171
2013,Број,Оштра Лука,Ж,four_children,105
2013,Број,Пале,Ж,four_children,235
2013,Број,Пелагићево,Ж,four_children,133
2013,Број,Петровац,Ж,four_children,2
2013,Број,Петрово,Ж,four_children,91
2013,Број,Град Приједор,Ж,four_children,1761
2013,Број,Прњавор,Ж,four_children,769
2013,Број,Рибник,Ж,four_children,198
2013,Број,Рогатица,Ж,four_children,259
2013,Број,Рудо,Ж,four_children,201
