Year,UNIT_MEASURE,Административно подручје,Пол,Literacy,Value
2013,Број,PRIJEDOR,Ж,illiterate,1750.0
2013,Број,PRNJAVOR,Оба пола,illiterate,1408.0
2013,Број,PRNJAVOR,M,illiterate,203.0
2013,Број,PRNJAVOR,Ж,illiterate,1205.0
2013,Број,RIBNIK,Оба пола,illiterate,456.0
2013,Број,RIBNIK,M,illiterate,69.0
2013,Број,RIBNIK,Ж,illiterate,387.0
2013,Број,ROGATICA,Оба пола,illiterate,351.0
2013,Број,ROGATICA,M,illiterate,38.0
2013,Број,ROGATICA,Ж,illiterate,313.0
2013,Број,RUDO,Оба пола,illiterate,155.0
2013,Број,RUDO,M,illiterate,27.0
2013,Број,RUDO,Ж,illiterate,128.0
2013,Број,SOKOLAC,Оба пола,illiterate,231.0
2013,Број,SOKOLAC,M,illiterate,25.0
2013,Број,SOKOLAC,Ж,illiterate,206.0
2013,Број,SRBAC,Оба пола,illiterate,539.0
2013,Број,SRBAC,M,illiterate,102.0
2013,Број,SRBAC,Ж,illiterate,437.0
2013,Број,SREBRENICA,Оба пола,illiterate,627.0
2013,Број,SREBRENICA,M,illiterate,64.0
2013,Број,SREBRENICA,Ж,illiterate,563.0
2013,Број,TESLIC,Оба пола,illiterate,1980.0
2013,Број,TESLIC,M,illiterate,227.0
2013,Број,TESLIC,Ж,illiterate,1753.0
2013,Број,TREBINJE,Оба пола,illiterate,237.0
2013,Број,TREBINJE,M,illiterate,31.0
2013,Број,TREBINJE,Ж,illiterate,206.0
2013,Број,TRNOVO,Оба пола,illiterate,76.0
2013,Број,TRNOVO,M,illiterate,10.0
2013,Број,TRNOVO,Ж,illiterate,66.0
2013,Број,UGLJEVIK,Оба пола,illiterate,451.0
2013,Број,UGLJEVIK,M,illiterate,68.0
2013,Број,UGLJEVIK,Ж,illiterate,383.0
2013,Број,FOCA,Оба пола,illiterate,391.0
2013,Број,FOCA,M,illiterate,51.0
2013,Број,FOCA,Ж,illiterate,340.0
2013,Број,HAN PIJESAK,Оба пола,illiterate,88.0
2013,Број,HAN PIJESAK,M,illiterate,10.0
2013,Број,HAN PIJESAK,Ж,illiterate,78.0
2013,Број,CAJNICE,Оба пола,illiterate,140.0
2013,Број,CAJNICE,M,illiterate,22.0
2013,Број,CAJNICE,Ж,illiterate,118.0
2013,Број,CELINAC,Оба пола,illiterate,472.0
2013,Број,CELINAC,M,illiterate,56.0
2013,Број,CELINAC,Ж,illiterate,416.0
2013,Број,SAMAC,Оба пола,illiterate,300.0
2013,Број,SAMAC,M,illiterate,55.0
2013,Број,SAMAC,Ж,illiterate,245.0
2013,Број,SEKOVICI,Оба пола,illiterate,427.0
2013,Број,SEKOVICI,M,illiterate,83.0
2013,Број,SEKOVICI,Ж,illiterate,344.0
2013,Број,SIPOVO,Оба пола,illiterate,431.0
2013,Број,SIPOVO,M,illiterate,49.0
2013,Број,SIPOVO,Ж,illiterate,382.0
2013,Број,REPUBLIKA SRPSKA,Оба пола,illiterates_percentage,3.29
2013,Број,REPUBLIKA SRPSKA,M,illiterates_percentage,0.97
2013,Број,REPUBLIKA SRPSKA,Ж,illiterates_percentage,5.48
2013,Број,BANJA LUKA,Оба пола,illiterates_percentage,2.16
2013,Број,BANJA LUKA,M,illiterates_percentage,0.66
2013,Број,BANJA LUKA,Ж,illiterates_percentage,3.53
2013,Број,BERKOVICI,Оба пола,illiterates_percentage,2.58
2013,Број,BERKOVICI,M,illiterates_percentage,0.11
2013,Број,BERKOVICI,Ж,illiterates_percentage,5.07
2013,Број,BIJELJINA,Оба пола,illiterates_percentage,2.7
2013,Број,BIJELJINA,M,illiterates_percentage,0.9
2013,Број,BIJELJINA,Ж,illiterates_percentage,4.4
2013,Број,BILECA,Оба пола,illiterates_percentage,1.49
2013,Број,BILECA,M,illiterates_percentage,0.64
2013,Број,BILECA,Ж,illiterates_percentage,2.35
2013,Број,BRATUNAC,Оба пола,illiterates_percentage,5.16
2013,Број,BRATUNAC,M,illiterates_percentage,1.0
2013,Број,BRATUNAC,Ж,illiterates_percentage,9.17
2013,Број,BROD,Оба пола,illiterates_percentage,2.31
2013,Број,BROD,M,illiterates_percentage,0.77
2013,Број,BROD,Ж,illiterates_percentage,3.76
2013,Број,VISEGRAD,Оба пола,illiterates_percentage,3.82
2013,Број,VISEGRAD,M,illiterates_percentage,0.78
2013,Број,VISEGRAD,Ж,illiterates_percentage,6.59
2013,Број,VLASENICA,Оба пола,illiterates_percentage,3.63
2013,Број,VLASENICA,M,illiterates_percentage,1.05
2013,Број,VLASENICA,Ж,illiterates_percentage,6.04
2013,Број,VUKOSAVLJE,Оба пола,illiterates_percentage,4.96
