Year,UNIT_MEASURE,Teritory,Пол,Старосна доб,Value
2013,Број,SIPOVO,Оба пола,5-9,464
2013,Број,SIPOVO,M,5-9,245
2013,Број,SIPOVO,Ж,5-9,219
2013,Број,REPUBLIKA SRPSKA,Оба пола,10-14,58024
2013,Број,REPUBLIKA SRPSKA,M,10-14,29826
2013,Број,REPUBLIKA SRPSKA,Ж,10-14,28198
2013,Број,GRAD BANJA LUKA,Оба пола,10-14,8487
2013,Број,GRAD BANJA LUKA,M,10-14,4344
2013,Број,GRAD BANJA LUKA,Ж,10-14,4143
2013,Број,BERKOVICI,Оба пола,10-14,141
2013,Број,BERKOVICI,M,10-14,73
2013,Број,BERKOVICI,Ж,10-14,68
2013,Број,GRAD BIJELJINA,Оба пола,10-14,5341
2013,Број,GRAD BIJELJINA,M,10-14,2718
2013,Број,GRAD BIJELJINA,Ж,10-14,2623
2013,Број,BILECA,Оба пола,10-14,633
2013,Број,BILECA,M,10-14,303
2013,Број,BILECA,Ж,10-14,330
2013,Број,BRATUNAC,Оба пола,10-14,870
2013,Број,BRATUNAC,M,10-14,457
2013,Број,BRATUNAC,Ж,10-14,413
2013,Број,BROD,Оба пола,10-14,781
2013,Број,BROD,M,10-14,407
2013,Број,BROD,Ж,10-14,374
2013,Број,VISEGRAD,Оба пола,10-14,442
2013,Број,VISEGRAD,M,10-14,222
2013,Број,VISEGRAD,Ж,10-14,220
2013,Број,VLASENICA,Оба пола,10-14,519
2013,Број,VLASENICA,M,10-14,273
2013,Број,VLASENICA,Ж,10-14,246
2013,Број,VUKOSAVLJE,Оба пола,10-14,244
2013,Број,VUKOSAVLJE,M,10-14,122
2013,Број,VUKOSAVLJE,Ж,10-14,122
2013,Број,GACKO,Оба пола,10-14,534
2013,Број,GACKO,M,10-14,299
2013,Број,GACKO,Ж,10-14,235
2013,Број,GRAD GRADISKA,Оба пола,10-14,2387
2013,Број,GRAD GRADISKA,M,10-14,1210
2013,Број,GRAD GRADISKA,Ж,10-14,1177
2013,Број,GRAD DERVENTA,Оба пола,10-14,1301
2013,Број,GRAD DERVENTA,M,10-14,654
2013,Број,GRAD DERVENTA,Ж,10-14,647
2013,Број,GRAD DOBOJ,Оба пола,10-14,2970
2013,Број,GRAD DOBOJ,M,10-14,1599
2013,Број,GRAD DOBOJ,Ж,10-14,1371
2013,Број,DONJI ZABAR,Оба пола,10-14,214
2013,Број,DONJI ZABAR,M,10-14,105
2013,Број,DONJI ZABAR,Ж,10-14,109
2013,Број,GRAD ZVORNIK,Оба пола,10-14,2860
2013,Број,GRAD ZVORNIK,M,10-14,1438
2013,Број,GRAD ZVORNIK,Ж,10-14,1422
2013,Број,ISTOCNI DRVAR,Оба пола,10-14,-
2013,Број,ISTOCNI DRVAR,M,10-14,-
2013,Број,ISTOCNI DRVAR,Ж,10-14,-
2013,Број,ISTOCNI MOSTAR,Оба пола,10-14,13
2013,Број,ISTOCNI MOSTAR,M,10-14,8
2013,Број,ISTOCNI MOSTAR,Ж,10-14,5
2013,Број,GRAD ISTOCNO SARAJEVO,Оба пола,10-14,2730
2013,Број,GRAD ISTOCNO SARAJEVO,M,10-14,1401
2013,Број,GRAD ISTOCNO SARAJEVO,Ж,10-14,1329
2013,Број,ISTOCNA ILIDZA,Оба пола,10-14,651
2013,Број,ISTOCNA ILIDZA,M,10-14,313
2013,Број,ISTOCNA ILIDZA,Ж,10-14,338
2013,Број,ISTOCNO NOVO SARAJEVO,Оба пола,10-14,486
2013,Број,ISTOCNO NOVO SARAJEVO,M,10-14,242
2013,Број,ISTOCNO NOVO SARAJEVO,Ж,10-14,244
2013,Број,ISTOČNI STARI GRAD,Оба пола,10-14,31
2013,Број,ISTOČNI STARI GRAD,M,10-14,18
2013,Број,ISTOČNI STARI GRAD,Ж,10-14,13
2013,Број,PALE,Оба пола,10-14,954
2013,Број,PALE,M,10-14,509
2013,Број,PALE,Ж,10-14,445
2013,Број,SOKOLAC,Оба пола,10-14,542
2013,Број,SOKOLAC,M,10-14,282
2013,Број,SOKOLAC,Ж,10-14,260
2013,Број,TRNOVO,Оба пола,10-14,66
2013,Број,TRNOVO,M,10-14,37
2013,Број,TRNOVO,Ж,10-14,29
2013,Број,JEZERO,Оба пола,10-14,49
2013,Број,JEZERO,M,10-14,26
2013,Број,JEZERO,Ж,10-14,23
2013,Број,KALINOVIK,Оба пола,10-14,78
2013,Број,KALINOVIK,M,10-14,25
2013,Број,KALINOVIK,Ж,10-14,53
2013,Број,KNEZEVO,Оба пола,10-14,557
2013,Број,KNEZEVO,M,10-14,283
2013,Број,KNEZEVO,Ж,10-14,274
2013,Број,KOSTAJNICA,Оба пола,10-14,235
2013,Број,KOSTAJNICA,M,10-14,119
2013,Број,KOSTAJNICA,Ж,10-14,116
2013,Број,KOTOR VAROS,Оба пола,10-14,1173
2013,Број,KOTOR VAROS,M,10-14,620
2013,Број,KOTOR VAROS,Ж,10-14,553
2013,Број,KOZARSKA DUBICA,Оба пола,10-14,884
2013,Број,KOZARSKA DUBICA,M,10-14,465
2013,Број,KOZARSKA DUBICA,Ж,10-14,419
2013,Број,KRUPA NA UNI,Оба пола,10-14,80
2013,Број,KRUPA NA UNI,M,10-14,36
2013,Број,KRUPA NA UNI,Ж,10-14,44
2013,Број,KUPRES,Оба пола,10-14,14
2013,Број,KUPRES,M,10-14,8
2013,Број,KUPRES,Ж,10-14,6
2013,Број,LAKTASI,Оба пола,10-14,1864
2013,Број,LAKTASI,M,10-14,969
2013,Број,LAKTASI,Ж,10-14,895
2013,Број,LOPARE,Оба пола,10-14,701
2013,Број,LOPARE,M,10-14,382
2013,Број,LOPARE,Ж,10-14,319
2013,Број,LJUBINJE,Оба пола,10-14,150
2013,Број,LJUBINJE,M,10-14,77
2013,Број,LJUBINJE,Ж,10-14,73
2013,Број,MILICI,Оба пола,10-14,498
2013,Број,MILICI,M,10-14,259
2013,Број,MILICI,Ж,10-14,239
2013,Број,MODRICA,Оба пола,10-14,1326
2013,Број,MODRICA,M,10-14,683
2013,Број,MODRICA,Ж,10-14,643
2013,Број,MRKONJIC GRAD,Оба пола,10-14,844
2013,Број,MRKONJIC GRAD,M,10-14,403
2013,Број,MRKONJIC GRAD,Ж,10-14,441
2013,Број,NEVESINJE,Оба пола,10-14,689
2013,Број,NEVESINJE,M,10-14,340
2013,Број,NEVESINJE,Ж,10-14,349
2013,Број,NOVI GRAD,Оба пола,10-14,1193
2013,Број,NOVI GRAD,M,10-14,655
2013,Број,NOVI GRAD,Ж,10-14,538
2013,Број,NOVO GORAZDE,Оба пола,10-14,83
2013,Број,NOVO GORAZDE,M,10-14,36
2013,Број,NOVO GORAZDE,Ж,10-14,47
2013,Број,OSMACI,Оба пола,10-14,313
2013,Број,OSMACI,M,10-14,159
2013,Број,OSMACI,Ж,10-14,154
2013,Број,OSTRA LUKA,Оба пола,10-14,163
2013,Број,OSTRA LUKA,M,10-14,89
2013,Број,OSTRA LUKA,Ж,10-14,74
2013,Број,PELAGICEVO,Оба пола,10-14,185
2013,Број,PELAGICEVO,M,10-14,94
2013,Број,PELAGICEVO,Ж,10-14,91
2013,Број,PETROVAC,Оба пола,10-14,21
2013,Број,PETROVAC,M,10-14,9
2013,Број,PETROVAC,Ж,10-14,12
2013,Број,PETROVO,Оба пола,10-14,265
2013,Број,PETROVO,M,10-14,125
2013,Број,PETROVO,Ж,10-14,140
2013,Број,GRAD PRIJEDOR,Оба пола,10-14,3719
2013,Број,GRAD PRIJEDOR,M,10-14,1888
2013,Број,GRAD PRIJEDOR,Ж,10-14,1831
2013,Број,PRNJAVOR,Оба пола,10-14,1869
2013,Број,PRNJAVOR,M,10-14,959
2013,Број,PRNJAVOR,Ж,10-14,910
2013,Број,RIBNIK,Оба пола,10-14,310
2013,Број,RIBNIK,M,10-14,151
2013,Број,RIBNIK,Ж,10-14,159
2013,Број,ROGATICA,Оба пола,10-14,416
2013,Број,ROGATICA,M,10-14,213
2013,Број,ROGATICA,Ж,10-14,203
2013,Број,RUDO,Оба пола,10-14,305
2013,Број,RUDO,M,10-14,166
2013,Број,RUDO,Ж,10-14,139
2013,Број,SRBAC,Оба пола,10-14,850
2013,Број,SRBAC,M,10-14,446
2013,Број,SRBAC,Ж,10-14,404
2013,Број,SREBRENICA,Оба пола,10-14,515
2013,Број,SREBRENICA,M,10-14,278
