Year,UNIT_MEASURE,ADMIN_AREA,NO_OF_CHILDREN,Value
2013,Број,nevesinje,one_child,478
2013,Број,novi_grad,one_child,1568
2013,Број,novo_gorazde,one_child,147
2013,Број,osmaci,one_child,227
2013,Број,ostra_luka,one_child,79
2013,Број,pale,one_child,1269
2013,Број,pelagicevo,one_child,240
2013,Број,petrovac,one_child,23
2013,Број,petrovo,one_child,407
2013,Број,grad_prijedor,one_child,5181
2013,Број,prnjavor,one_child,1922
2013,Број,ribnik,one_child,226
2013,Број,rogatica,one_child,505
2013,Број,rudo,one_child,299
2013,Број,sokolac,one_child,646
2013,Број,srbac,one_child,1066
2013,Број,srebrenica,one_child,519
2013,Број,teslic,one_child,1963
2013,Број,grad_trebinje,one_child,1415
2013,Број,trnovo,one_child,114
2013,Број,ugljevik,one_child,797
2013,Број,foca,one_child,829
2013,Број,han_pijesak,one_child,200
2013,Број,cajnice,one_child,203
2013,Број,celinac,one_child,640
2013,Број,samac,one_child,1094
2013,Број,sekovici,one_child,241
2013,Број,sipovo,one_child,367
2013,Број,republika_srpska,two_children,201271
2013,Број,grad_banja_luka,two_children,32459
2013,Број,berkovici,two_children,239
2013,Број,grad_bijeljina,two_children,19232
2013,Број,bileca,two_children,1326
2013,Број,bratunac,two_children,2792
2013,Број,brod,two_children,2580
2013,Број,visegrad,two_children,1848
2013,Број,vlasenica,two_children,1665
2013,Број,vukosavlje,two_children,559
2013,Број,gacko,two_children,1059
2013,Број,grad_gradiska,two_children,8900
2013,Број,grad_derventa,two_children,4439
2013,Број,grad_doboj,two_children,12173
2013,Број,donji_zabar,two_children,593
2013,Број,grad_zvornik,two_children,8830
2013,Број,istocna_ilidza,two_children,2779
2013,Број,istocni_drvar,two_children,10
2013,Број,istocni_mostar,two_children,33
2013,Број,istocni_stari_grad,two_children,228
2013,Број,istocno_novo_sarajevo,two_children,1900
2013,Број,jezero,two_children,148
2013,Број,kalinovik,two_children,319
2013,Број,knezevo,two_children,1392
2013,Број,kozarska_dubica,two_children,4143
2013,Број,kostajnica,two_children,1052
2013,Број,kotor_varos,two_children,2402
2013,Број,krupa_na_uni,two_children,192
2013,Број,kupres,two_children,40
2013,Број,laktasi,two_children,6184
2013,Број,lopare,two_children,2505
2013,Број,ljubinje,two_children,553
2013,Број,milici,two_children,1495
2013,Број,modrica,two_children,4165
2013,Број,mrkonjic_grad,two_children,2860
2013,Број,nevesinje,two_children,1754
2013,Број,novi_grad,two_children,4409
2013,Број,novo_gorazde,two_children,422
2013,Број,osmaci,two_children,797
2013,Број,ostra_luka,two_children,344
2013,Број,pale,two_children,3827
2013,Број,pelagicevo,two_children,665
2013,Број,petrovac,two_children,82
2013,Број,petrovo,two_children,1379
2013,Број,grad_prijedor,two_children,13567
2013,Број,prnjavor,two_children,6044
2013,Број,ribnik,two_children,909
2013,Број,rogatica,two_children,1710
2013,Број,rudo,two_children,1350
2013,Број,sokolac,two_children,2140
2013,Број,srbac,two_children,3026
2013,Број,srebrenica,two_children,1722
2013,Број,teslic,two_children,5747
2013,Број,grad_trebinje,two_children,4888
2013,Број,trnovo,two_children,376
2013,Број,ugljevik,two_children,2613
2013,Број,foca,two_children,2985
2013,Број,han_pijesak,two_children,636
2013,Број,cajnice,two_children,677
2013,Број,celinac,two_children,2447
2013,Број,samac,two_children,3141
2013,Број,sekovici,two_children,982
2013,Број,sipovo,two_children,1538
2013,Број,republika_srpska,three_children,75481
2013,Број,grad_banja_luka,three_children,8070
2013,Број,berkovici,three_children,217
2013,Број,grad_bijeljina,three_children,5831
2013,Број,bileca,three_children,977
2013,Број,bratunac,three_children,1431
2013,Број,brod,three_children,1080
2013,Број,visegrad,three_children,712
2013,Број,vlasenica,three_children,713
2013,Број,vukosavlje,three_children,347
2013,Број,gacko,three_children,776
2013,Број,grad_gradiska,three_children,3006
2013,Број,grad_derventa,three_children,1724
2013,Број,grad_doboj,three_children,4326
2013,Број,donji_zabar,three_children,250
2013,Број,grad_zvornik,three_children,4031
2013,Број,istocna_ilidza,three_children,680
2013,Број,istocni_drvar,three_children,3
2013,Број,istocni_mostar,three_children,15
2013,Број,istocni_stari_grad,three_children,83
2013,Број,istocno_novo_sarajevo,three_children,443
2013,Број,jezero,three_children,77
2013,Број,kalinovik,three_children,171
2013,Број,knezevo,three_children,808
2013,Број,kozarska_dubica,three_children,1200
2013,Број,kostajnica,three_children,277
2013,Број,kotor_varos,three_children,1502
2013,Број,krupa_na_uni,three_children,142
2013,Број,kupres,three_children,27
2013,Број,laktasi,three_children,2018
2013,Број,lopare,three_children,1040
2013,Број,ljubinje,three_children,328
2013,Број,milici,three_children,838
2013,Број,modrica,three_children,1652
2013,Број,mrkonjic_grad,three_children,1314
2013,Број,nevesinje,three_children,1064
2013,Број,novi_grad,three_children,1483
2013,Број,novo_gorazde,three_children,192
2013,Број,osmaci,three_children,427
2013,Број,ostra_luka,three_children,266
2013,Број,pale,three_children,1048
2013,Број,pelagicevo,three_children,364
2013,Број,petrovac,three_children,19
2013,Број,petrovo,three_children,379
2013,Број,grad_prijedor,three_children,5168
2013,Број,prnjavor,three_children,2451
2013,Број,ribnik,three_children,572
2013,Број,rogatica,three_children,824
2013,Број,rudo,three_children,604
2013,Број,sokolac,three_children,768
2013,Број,srbac,three_children,1137
2013,Број,srebrenica,three_children,914
2013,Број,teslic,three_children,2955
2013,Број,grad_trebinje,three_children,2131
2013,Број,trnovo,three_children,136
2013,Број,ugljevik,three_children,1018
2013,Број,foca,three_children,1283
2013,Број,han_pijesak,three_children,282
2013,Број,cajnice,three_children,408
2013,Број,celinac,three_children,1172
2013,Број,samac,three_children,962
2013,Број,sekovici,three_children,558
2013,Број,sipovo,three_children,787
2013,Број,republika_srpska,four_children,22659
2013,Број,grad_banja_luka,four_children,2049
2013,Број,berkovici,four_children,76
2013,Број,grad_bijeljina,four_children,1410
2013,Број,bileca,four_children,351
2013,Број,bratunac,four_children,492
2013,Број,brod,four_children,303
