Year,UNIT_MEASURE,Oblast obrazovanja,Pol,Value
2018,Broj,"Poslovanje, administracija i pravo",M,36
2018,Broj,"Prirodne nauke, matematika i statistika",M,18
2018,Broj,Usluge,M,3
2018,Broj,Zdravstvo i socijalna zaštita,M,85
2018,Broj,Ukupno,Ž,208
2018,Broj,"Društvene nauke, novinarstvo i informisanje",Ž,37
2018,Broj,Umjetnost i humanističke nauke,Ž,30
2018,Broj,Informacione i komunikacione tehnologije,Ž,17
2018,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ž,16
2018,Broj,Obrazovanje,Ž,20
2018,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ž,14
2018,Broj,"Poslovanje, administracija i pravo",Ž,31
2018,Broj,"Prirodne nauke, matematika i statistika",Ž,5
2018,Broj,Usluge,Ž,0
2018,Broj,Zdravstvo i socijalna zaštita,Ž,38
2019,Broj,Ukupno,Ukupno,466
2019,Broj,"Društvene nauke, novinarstvo i informisanje",Ukupno,148
2019,Broj,Umjetnost i humanističke nauke,Ukupno,59
2019,Broj,Informacione i komunikacione tehnologije,Ukupno,10
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",Ukupno,30
2019,Broj,Obrazovanje,Ukupno,48
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",Ukupno,11
2019,Broj,"Poslovanje, administracija i pravo",Ukupno,35
2019,Broj,"Prirodne nauke, matematika i statistika",Ukupno,24
2019,Broj,Usluge,Ukupno,1
2019,Broj,Zdravstvo i socijalna zaštita,Ukupno,100
2019,Broj,Ukupno,M,188
2019,Broj,"Društvene nauke, novinarstvo i informisanje",M,65
2019,Broj,Umjetnost i humanističke nauke,M,21
2019,Broj,Informacione i komunikacione tehnologije,M,6
2019,Broj,"Inženjerstvo, proizvodnja i građevinarstvo",M,12
2019,Broj,Obrazovanje,M,12
2019,Broj,"Poljoprivreda, šumarstvo, ribarstvo i veterinarstvo",M,4
2019,Broj,"Poslovanje, administracija i pravo",M,22
