Year,UNIT_MEASURE,Административно подручје,Пол,Величина домаћинства,Value
2013,Број,Република Српска,Оба пола,3 члана,79155.0
2013,Број,Град Бања Лука,M,3 члана,14267.0
2013,Број,Берковићи,Ж,3 члана,92.0
2013,Број,Град Бијељина,Оба пола,3 члана,6586.0
2013,Број,Билећа,M,3 члана,620.0
2013,Број,Братунац,Ж,3 члана,1137.0
2013,Број,Брод,Оба пола,3 члана,1107.0
2013,Број,Вишеград,M,3 члана,724.0
2013,Број,Власеница,Ж,3 члана,747.0
2013,Број,Вукосавље,Оба пола,3 члана,280.0
2013,Број,Гацко,M,3 члана,561.0
2013,Број,Град Градишка,Ж,3 члана,3140.0
2013,Број,Град Дервента,Оба пола,3 члана,1688.0
2013,Број,Град Добој,M,3 члана,4956.0
2013,Број,Доњи Жабар,Ж,3 члана,178.0
2013,Број,Град Зворник,Оба пола,3 члана,3400.0
2013,Број,Источна Илиџа,M,3 члана,1075.0
2013,Број,Источни Дрвар,Ж,3 члана,6.0
2013,Број,Источни Мостар,Оба пола,3 члана,12.0
2013,Број,Источни Стари Град,M,3 члана,75.0
2013,Број,Источно Ново Сарајево,Ж,3 члана,813.0
2013,Број,Језеро,Оба пола,3 члана,75.0
2013,Број,Калиновик,M,3 члана,136.0
2013,Број,Кнежево,Ж,3 члана,554.0
2013,Број,Козарска Дубица,Оба пола,3 члана,1351.0
2013,Број,Костајница,M,3 члана,384.0
2013,Број,Котор Варош,Ж,3 члана,1079.0
2013,Број,Крупа на Уни,Оба пола,3 члана,84.0
2013,Број,Купрес,M,3 члана,16.0
2013,Број,Лакташи,Ж,3 члана,2241.0
2013,Број,Лопаре,Оба пола,3 члана,908.0
2013,Број,Љубиње,M,3 члана,234.0
2013,Број,Милићи,Ж,3 члана,709.0
2013,Број,Модрича,Оба пола,3 члана,1567.0
2013,Број,Мркоњић Град,M,3 члана,1218.0
2013,Број,Невесиње,Ж,3 члана,701.0
2013,Број,Нови Град,Оба пола,3 члана,1669.0
2013,Број,Ново Горажде,M,3 члана,193.0
2013,Број,Осмаци,Ж,3 члана,317.0
2013,Број,Оштра Лука,Оба пола,3 члана,151.0
2013,Број,Пале,M,3 члана,1438.0
2013,Број,Пелагићево,Ж,3 члана,225.0
2013,Број,Петровац,Оба пола,3 члана,22.0
2013,Број,Петрово,M,3 члана,448.0
2013,Број,Град Приједор,Ж,3 члана,5351.0
2013,Број,Прњавор,Оба пола,3 члана,2183.0
2013,Број,Рибник,M,3 члана,356.0
2013,Број,Рогатица,Ж,3 члана,709.0
2013,Број,Рудо,Оба пола,3 члана,523.0
2013,Број,Соколац,M,3 члана,808.0
2013,Број,Србац,Ж,3 члана,1106.0
2013,Број,Сребреница,Оба пола,3 члана,656.0
2013,Број,Теслић,M,3 члана,2559.0
2013,Број,Град Требиње,Ж,3 члана,1871.0
2013,Број,Трново,Оба пола,3 члана,143.0
2013,Број,Угљевик,M,3 члана,821.0
2013,Број,Фоча,Ж,3 члана,1263.0
2013,Број,Хан Пијесак,Оба пола,3 члана,249.0
2013,Број,Чајниче,M,3 члана,303.0
2013,Број,Челинац,Ж,3 члана,985.0
2013,Број,Шамац,Оба пола,3 члана,971.0
2013,Број,Шековићи,M,3 члана,418.0
2013,Број,Шипово,Ж,3 члана,696.0
2013,Број,Република Српска,Оба пола,4 члана,72771.0
2013,Број,Град Бања Лука,M,4 члана,12952.0
2013,Број,Берковићи,Ж,4 члана,84.0
2013,Број,Град Бијељина,Оба пола,4 члана,6377.0
2013,Број,Билећа,M,4 члана,616.0
2013,Број,Братунац,Ж,4 члана,1161.0
2013,Број,Брод,Оба пола,4 члана,928.0
2013,Број,Вишеград,M,4 члана,582.0
2013,Број,Власеница,Ж,4 члана,687.0
2013,Број,Вукосавље,Оба пола,4 члана,249.0
2013,Број,Гацко,M,4 члана,480.0
2013,Број,Град Градишка,Ж,4 члана,2878.0
2013,Број,Град Дервента,Оба пола,4 члана,1520.0
2013,Број,Град Добој,M,4 члана,4148.0
2013,Број,Доњи Жабар,Ж,4 члана,184.0
2013,Број,Град Зворник,Оба пола,4 члана,3448.0
2013,Број,Источна Илиџа,M,4 члана,1028.0
2013,Број,Источни Дрвар,Ж,4 члана,0.0
2013,Број,Источни Мостар,Оба пола,4 члана,10.0
2013,Број,Источни Стари Град,M,4 члана,43.0
2013,Број,Источно Ново Сарајево,Ж,4 члана,702.0
2013,Број,Језеро,Оба пола,4 члана,58.0
2013,Број,Калиновик,M,4 члана,109.0
2013,Број,Кнежево,Ж,4 члана,551.0
2013,Број,Козарска Дубица,Оба пола,4 члана,1175.0
2013,Број,Костајница,M,4 члана,311.0
2013,Број,Котор Варош,Ж,4 члана,1206.0
2013,Број,Крупа на Уни,Оба пола,4 члана,72.0
2013,Број,Купрес,M,4 члана,6.0
2013,Број,Лакташи,Ж,4 члана,2345.0
2013,Број,Лопаре,Оба пола,4 члана,805.0
2013,Број,Љубиње,M,4 члана,194.0
2013,Број,Милићи,Ж,4 члана,714.0
2013,Број,Модрича,Оба пола,4 члана,1422.0
2013,Број,Мркоњић Град,M,4 члана,939.0
2013,Број,Невесиње,Ж,4 члана,736.0
2013,Број,Нови Град,Оба пола,4 члана,1422.0
2013,Број,Ново Горажде,M,4 члана,204.0
2013,Број,Осмаци,Ж,4 члана,358.0
2013,Број,Оштра Лука,Оба пола,4 члана,131.0
2013,Број,Пале,M,4 члана,1418.0
2013,Број,Пелагићево,Ж,4 члана,191.0
2013,Број,Петровац,Оба пола,4 члана,19.0
2013,Број,Петрово,M,4 члана,370.0
2013,Број,Град Приједор,Ж,4 члана,4862.0
2013,Број,Прњавор,Оба пола,4 члана,1953.0
2013,Број,Рибник,M,4 члана,308.0
2013,Број,Рогатица,Ж,4 члана,630.0
2013,Број,Рудо,Оба пола,4 члана,467.0
2013,Број,Соколац,M,4 члана,728.0
2013,Број,Србац,Ж,4 члана,1011.0
2013,Број,Сребреница,Оба пола,4 члана,652.0
