Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Broj,istocni_mostar,5+_members,17
2013,Broj,istocni_stari_grad,5+_members,51
2013,Broj,istocno_novo_sarajevo,5+_members,389
2013,Broj,jezero,5+_members,57
2013,Broj,kalinovik,5+_members,80
2013,Broj,knezevo,5+_members,515
2013,Broj,kozarska_dubica,5+_members,1047
2013,Broj,kostajnica,5+_members,340
2013,Broj,kotor_varos,5+_members,1131
2013,Broj,krupa_na_uni,5+_members,100
2013,Broj,kupres,5+_members,14
2013,Broj,laktasi,5+_members,1846
2013,Broj,lopare,5+_members,851
2013,Broj,ljubinje,5+_members,199
2013,Broj,milici,5+_members,508
2013,Broj,modrica,5+_members,1249
2013,Broj,mrkonjic_grad,5+_members,603
2013,Broj,nevesinje,5+_members,843
2013,Broj,novi_grad,5+_members,1346
2013,Broj,novo_gorazde,5+_members,123
2013,Broj,osmaci,5+_members,374
2013,Broj,ostra_luka,5+_members,169
2013,Broj,pale,5+_members,897
2013,Broj,pelagicevo,5+_members,215
2013,Broj,petrovac,5+_members,20
2013,Broj,petrovo,5+_members,228
2013,Broj,grad_prijedor,5+_members,4200
2013,Broj,prnjavor,5+_members,1834
2013,Broj,ribnik,5+_members,273
2013,Broj,rogatica,5+_members,426
2013,Broj,rudo,5+_members,310
2013,Broj,sokolac,5+_members,491
2013,Broj,srbac,5+_members,804
2013,Broj,srebrenica,5+_members,752
2013,Broj,teslic,5+_members,1887
2013,Broj,grad_trebinje,5+_members,1593
2013,Broj,trnovo,5+_members,74
2013,Broj,ugljevik,5+_members,977
2013,Broj,foca,5+_members,654
2013,Broj,han_pijesak,5+_members,119
2013,Broj,cajnice,5+_members,244
2013,Broj,celinac,5+_members,849
2013,Broj,samac,5+_members,1001
2013,Broj,sekovici,5+_members,229
2013,Broj,sipovo,5+_members,451
