Year,UNIT_MEASURE,Administrativna oblast,Pol,Pismenost,Value
2013,% od ukupno,Kostajnica,Ukupno,Nepismen,2.21
2013,% od ukupno,Kostajnica,M,Nepismen,0.55
2013,% od ukupno,Kostajnica,Ž,Nepismen,3.81
2013,% od ukupno,Kotor Varoš,Ukupno,Nepismen,6.3
2013,% od ukupno,Kotor Varoš,M,Nepismen,1.83
2013,% od ukupno,Kotor Varoš,Ž,Nepismen,10.56
2013,% od ukupno,Krupa Na Uni,Ukupno,Nepismen,9.96
2013,% od ukupno,Krupa Na Uni,M,Nepismen,2.67
2013,% od ukupno,Krupa Na Uni,Ž,Nepismen,18.51
2013,% od ukupno,Kupres,Ukupno,Nepismen,28.93
2013,% od ukupno,Kupres,M,Nepismen,18.37
2013,% od ukupno,Kupres,Ž,Nepismen,40.6
2013,% od ukupno,Laktaši,Ukupno,Nepismen,2.45
2013,% od ukupno,Laktaši,M,Nepismen,0.77
2013,% od ukupno,Laktaši,Ž,Nepismen,4.08
2013,% od ukupno,Lopare,Ukupno,Nepismen,5.0
2013,% od ukupno,Lopare,M,Nepismen,1.8
2013,% od ukupno,Lopare,Ž,Nepismen,8.23
2013,% od ukupno,Ljubinje,Ukupno,Nepismen,1.61
2013,% od ukupno,Ljubinje,M,Nepismen,0.33
2013,% od ukupno,Ljubinje,Ž,Nepismen,2.85
2013,% od ukupno,Milići,Ukupno,Nepismen,4.21
2013,% od ukupno,Milići,M,Nepismen,1.07
2013,% od ukupno,Milići,Ž,Nepismen,7.36
2013,% od ukupno,Modriča,Ukupno,Nepismen,3.28
2013,% od ukupno,Modriča,M,Nepismen,1.09
2013,% od ukupno,Modriča,Ž,Nepismen,5.36
2013,% od ukupno,Mrkonjić Grad,Ukupno,Nepismen,5.65
2013,% od ukupno,Mrkonjić Grad,M,Nepismen,1.37
2013,% od ukupno,Mrkonjić Grad,Ž,Nepismen,9.56
2013,% od ukupno,Nevesinje,Ukupno,Nepismen,2.69
2013,% od ukupno,Nevesinje,M,Nepismen,0.57
2013,% od ukupno,Nevesinje,Ž,Nepismen,4.76
2013,% od ukupno,Novi Grad,Ukupno,Nepismen,2.86
2013,% od ukupno,Novi Grad,M,Nepismen,0.92
2013,% od ukupno,Novi Grad,Ž,Nepismen,4.78
2013,% od ukupno,Novo Goražde,Ukupno,Nepismen,2.8
2013,% od ukupno,Novo Goražde,M,Nepismen,0.36
2013,% od ukupno,Novo Goražde,Ž,Nepismen,5.42
2013,% od ukupno,Osmaci,Ukupno,Nepismen,5.26
2013,% od ukupno,Osmaci,M,Nepismen,1.16
2013,% od ukupno,Osmaci,Ž,Nepismen,9.31
2013,% od ukupno,Oštra Luka,Ukupno,Nepismen,7.94
2013,% od ukupno,Oštra Luka,M,Nepismen,2.53
2013,% od ukupno,Oštra Luka,Ž,Nepismen,13.62
2013,% od ukupno,Pale,Ukupno,Nepismen,1.58
2013,% od ukupno,Pale,M,Nepismen,0.45
2013,% od ukupno,Pale,Ž,Nepismen,2.59
2013,% od ukupno,Pelagićevo,Ukupno,Nepismen,4.39
2013,% od ukupno,Pelagićevo,M,Nepismen,1.44
2013,% od ukupno,Pelagićevo,Ž,Nepismen,7.26
2013,% od ukupno,Petrovac,Ukupno,Nepismen,1.86
2013,% od ukupno,Petrovac,M,Nepismen,0.0
2013,% od ukupno,Petrovac,Ž,Nepismen,3.49
2013,% od ukupno,Petrovo,Ukupno,Nepismen,4.2
2013,% od ukupno,Petrovo,M,Nepismen,1.0
2013,% od ukupno,Petrovo,Ž,Nepismen,7.14
2013,% od ukupno,Grad Prijedor,Ukupno,Nepismen,2.92
2013,% od ukupno,Grad Prijedor,M,Nepismen,1.17
2013,% od ukupno,Grad Prijedor,Ž,Nepismen,4.56
2013,% od ukupno,Prnjavor,Ukupno,Nepismen,4.51
2013,% od ukupno,Prnjavor,M,Nepismen,1.35
2013,% od ukupno,Prnjavor,Ž,Nepismen,7.46
2013,% od ukupno,Ribnik,Ukupno,Nepismen,8.5
2013,% od ukupno,Ribnik,M,Nepismen,2.6
2013,% od ukupno,Ribnik,Ž,Nepismen,14.25
2013,% od ukupno,Rogatica,Ukupno,Nepismen,3.76
2013,% od ukupno,Rogatica,M,Nepismen,0.83
2013,% od ukupno,Rogatica,Ž,Nepismen,6.56
2013,% od ukupno,Rudo,Ukupno,Nepismen,2.22
2013,% od ukupno,Rudo,M,Nepismen,0.77
2013,% od ukupno,Rudo,Ž,Nepismen,3.7
2013,% od ukupno,Sokolac,Ukupno,Nepismen,2.18
2013,% od ukupno,Sokolac,M,Nepismen,0.48
2013,% od ukupno,Sokolac,Ž,Nepismen,3.82
2013,% od ukupno,Srbac,Ukupno,Nepismen,3.5
2013,% od ukupno,Srbac,M,Nepismen,1.35
2013,% od ukupno,Srbac,Ž,Nepismen,5.55
2013,% od ukupno,Srebrenica,Ukupno,Nepismen,5.85
2013,% od ukupno,Srebrenica,M,Nepismen,1.22
2013,% od ukupno,Srebrenica,Ž,Nepismen,10.26
2013,% od ukupno,Teslić,Ukupno,Nepismen,5.93
2013,% od ukupno,Teslić,M,Nepismen,1.43
2013,% od ukupno,Teslić,Ž,Nepismen,10.0
2013,% od ukupno,Grad Trebinje,Ukupno,Nepismen,0.93
2013,% od ukupno,Grad Trebinje,M,Nepismen,0.25
2013,% od ukupno,Grad Trebinje,Ž,Nepismen,1.57
2013,% od ukupno,Trnovo,Ukupno,Nepismen,4.1
2013,% od ukupno,Trnovo,M,Nepismen,1.13
2013,% od ukupno,Trnovo,Ž,Nepismen,6.84
2013,% od ukupno,Ugljevik,Ukupno,Nepismen,3.29
2013,% od ukupno,Ugljevik,M,Nepismen,0.99
2013,% od ukupno,Ugljevik,Ž,Nepismen,5.61
2013,% od ukupno,Foča,Ukupno,Nepismen,2.41
2013,% od ukupno,Foča,M,Nepismen,0.63
2013,% od ukupno,Foča,Ž,Nepismen,4.21
2013,% od ukupno,Han Pijesak,Ukupno,Nepismen,2.76
2013,% od ukupno,Han Pijesak,M,Nepismen,0.67
2013,% od ukupno,Han Pijesak,Ž,Nepismen,4.61
