Year,UNIT_MEASURE,Pol,Starosna dob,Value
2025,Broj,Ž,26,5706
2025,Broj,Ž,27,6190
2025,Broj,Ž,28,6928
2025,Broj,Ž,29,6900
2025,Broj,Ž,30,7153
2025,Broj,Ž,31,6685
2025,Broj,Ž,32,5418
2025,Broj,Ž,33,5604
2025,Broj,Ž,34,6634
2025,Broj,Ž,35,6543
2025,Broj,Ž,36,6804
2025,Broj,Ž,37,7154
2025,Broj,Ž,38,7324
2025,Broj,Ž,39,7513
2025,Broj,Ž,40,7485
2025,Broj,Ž,41,7750
2025,Broj,Ž,42,7921
2025,Broj,Ž,43,7954
2025,Broj,Ž,44,7886
2025,Broj,Ž,45,7938
2025,Broj,Ž,46,7830
2025,Broj,Ž,47,7699
2025,Broj,Ž,48,7864
2025,Broj,Ž,49,8117
2025,Broj,Ž,50,7794
2025,Broj,Ž,51,7406
2025,Broj,Ž,52,7480
2025,Broj,Ž,53,7522
2025,Broj,Ž,54,7348
2025,Broj,Ž,55,6861
2025,Broj,Ž,56,7124
2025,Broj,Ž,57,7472
2025,Broj,Ž,58,7739
2025,Broj,Ž,59,8057
2025,Broj,Ž,60,8403
2025,Broj,Ž,61,8074
2025,Broj,Ž,62,8375
2025,Broj,Ž,63,8799
2025,Broj,Ž,64,8724
2025,Broj,Ž,65,8862
2025,Broj,Ž,66,8915
2025,Broj,Ž,67,9114
2025,Broj,Ž,68,8221
2025,Broj,Ž,69,8980
2025,Broj,Ž,70,8694
2025,Broj,Ž,71,9211
2025,Broj,Ž,72,8453
2025,Broj,Ž,73,8814
2025,Broj,Ž,74,6846
2025,Broj,Ž,75,7425
2025,Broj,Ž,76,6990
2025,Broj,Ž,77,6141
2025,Broj,Ž,78,5825
2025,Broj,Ž,79,5117
2025,Broj,Ž,80,3620
2025,Broj,Ž,81,3381
2025,Broj,Ž,82,3388
2025,Broj,Ž,83,3136
2025,Broj,Ž,84,3285
2025,Broj,Ž,85,3359
2025,Broj,Ž,86,2867
2025,Broj,Ž,87,2458
2025,Broj,Ž,88,2087
2025,Broj,Ž,89,1686
2025,Broj,Ž,90,1287
2025,Broj,Ž,91,1004
2025,Broj,Ž,92,750
2025,Broj,Ž,93,499
2025,Broj,Ž,94,328
2025,Broj,Ž,95,259
2025,Broj,Ž,96,149
2025,Broj,Ž,97,98
2025,Broj,Ž,98,52
2025,Broj,Ž,99,27
2025,Broj,Ž,100,16
2025,Broj,Ž,101,8
2025,Broj,Ž,102,5
2025,Broj,Ž,103,3
2025,Broj,Ž,104,2
2025,Broj,Ž,105,1
2025,Broj,Ž,106,0
2025,Broj,Ž,107,0
2025,Broj,Ž,108,0
2025,Broj,Ž,109,0
2025,Broj,Ž,110,0
2025,Broj,Ž,111,0
2025,Broj,Ž,112,0
2025,Broj,Ž,113,0
2025,Broj,Ž,114,0
2025,Broj,Ž,115,0
2025,Broj,Ž,116,0
2025,Broj,Ž,117,0
2025,Broj,Ž,118,0
2025,Broj,Ž,119,0
2025,Broj,Ž,120+,0
2030,Broj,Ž,Ukupno,551388
2030,Broj,Ž,0,3988
2030,Broj,Ž,1,4034
2030,Broj,Ž,2,4082
2030,Broj,Ž,3,4131
2030,Broj,Ž,4,4180
2030,Broj,Ž,5,4230
2030,Broj,Ž,6,4283
2030,Broj,Ž,7,4337
2030,Broj,Ž,8,4391
2030,Broj,Ž,9,4444
2030,Broj,Ž,10,4497
2030,Broj,Ž,11,4551
2030,Broj,Ž,12,4567
2030,Broj,Ž,13,4451
2030,Broj,Ž,14,4517
2030,Broj,Ž,15,4508
2030,Broj,Ž,16,4517
2030,Broj,Ž,17,4637
2030,Broj,Ž,18,5172
2030,Broj,Ž,19,5046
2030,Broj,Ž,20,5390
2030,Broj,Ž,21,5416
2030,Broj,Ž,22,5373
2030,Broj,Ž,23,5288
2030,Broj,Ž,24,5254
2030,Broj,Ž,25,5250
2030,Broj,Ž,26,5230
2030,Broj,Ž,27,5312
2030,Broj,Ž,28,5322
2030,Broj,Ž,29,5535
2030,Broj,Ž,30,5750
2030,Broj,Ž,31,5701
2030,Broj,Ž,32,6190
2030,Broj,Ž,33,6926
2030,Broj,Ž,34,6899
2030,Broj,Ž,35,7155
2030,Broj,Ž,36,6695
2030,Broj,Ž,37,5441
2030,Broj,Ž,38,5624
2030,Broj,Ž,39,6644
2030,Broj,Ž,40,6547
2030,Broj,Ž,41,6801
2030,Broj,Ž,42,7143
2030,Broj,Ž,43,7306
2030,Broj,Ž,44,7489
2030,Broj,Ž,45,7457
2030,Broj,Ž,46,7714
2030,Broj,Ž,47,7877
2030,Broj,Ž,48,7904
2030,Broj,Ž,49,7830
2030,Broj,Ž,50,7875
2030,Broj,Ž,51,7761
2030,Broj,Ž,52,7626
2030,Broj,Ž,53,7783
2030,Broj,Ž,54,8026
2030,Broj,Ž,55,7701
2030,Broj,Ž,56,7310
2030,Broj,Ž,57,7373
2030,Broj,Ž,58,7405
2030,Broj,Ž,59,7227
2030,Broj,Ž,60,6744
2030,Broj,Ž,61,6994
2030,Broj,Ž,62,7322
2030,Broj,Ž,63,7567
2030,Broj,Ž,64,7856
2030,Broj,Ž,65,8169
2030,Broj,Ž,66,7827
2030,Broj,Ž,67,8090
2030,Broj,Ž,68,8461
2030,Broj,Ž,69,8347
2030,Broj,Ž,70,8425
2030,Broj,Ž,71,8410
2030,Broj,Ž,72,8520
2030,Broj,Ž,73,7607
2030,Broj,Ž,74,8207
2030,Broj,Ž,75,7837
2030,Broj,Ž,76,8173
2030,Broj,Ž,77,7370
2030,Broj,Ž,78,7535
2030,Broj,Ž,79,5728
2030,Broj,Ž,80,6057
2030,Broj,Ž,81,5544
2030,Broj,Ž,82,4720
2030,Broj,Ž,83,4319
2030,Broj,Ž,84,3647
2030,Broj,Ž,85,2474
2030,Broj,Ž,86,2198
2030,Broj,Ž,87,2079
2030,Broj,Ž,88,1808
2030,Broj,Ž,89,1764
2030,Broj,Ž,90,1670
2030,Broj,Ž,91,1312
2030,Broj,Ž,92,1028
2030,Broj,Ž,93,792
2030,Broj,Ž,94,576
2030,Broj,Ž,95,394
2030,Broj,Ž,96,273
2030,Broj,Ž,97,180
2030,Broj,Ž,98,105
2030,Broj,Ž,99,60
2030,Broj,Ž,100,41
2030,Broj,Ž,101,21
2030,Broj,Ž,102,12
2030,Broj,Ž,103,5
2030,Broj,Ž,104,2
2030,Broj,Ž,105,1
2030,Broj,Ž,106,0
2030,Broj,Ž,107,0
2030,Broj,Ž,108,0
2030,Broj,Ž,109,0
2030,Broj,Ž,110,0
2030,Broj,Ž,111,0
2030,Broj,Ž,112,0
2030,Broj,Ž,113,0
2030,Broj,Ž,114,0
2030,Broj,Ž,115,0
2030,Broj,Ž,116,0
2030,Broj,Ž,117,0
2030,Broj,Ž,118,0
