Year,Value,UNIT_MEASURE
2022	NUMBER	pelagicevo	M	30-34	60,,
2022	NUMBER	pelagicevo	F	30-34	118,,
2022	NUMBER	petrovac	_T	30-34	21,,
2022	NUMBER	petrovac	M	30-34	4,,
2022	NUMBER	petrovac	F	30-34	17,,
2022	NUMBER	petrovo	_T	30-34	351,,
2022	NUMBER	petrovo	M	30-34	143,,
2022	NUMBER	petrovo	F	30-34	208,,
2022	NUMBER	prnjavor	_T	30-34	1742,,
2022	NUMBER	prnjavor	M	30-34	832,,
2022	NUMBER	prnjavor	F	30-34	910,,
2022	NUMBER	republika_srpska	_T	30-34	69610,,
2022	NUMBER	republika_srpska	M	30-34	33062,,
2022	NUMBER	republika_srpska	F	30-34	36548,,
2022	NUMBER	ribnik	_T	30-34	220,,
2022	NUMBER	ribnik	M	30-34	108,,
2022	NUMBER	ribnik	F	30-34	112,,
2022	NUMBER	rogatica	_T	30-34	540,,
2022	NUMBER	rogatica	M	30-34	249,,
2022	NUMBER	rogatica	F	30-34	291,,
2022	NUMBER	rudo	_T	30-34	405,,
2022	NUMBER	rudo	M	30-34	186,,
2022	NUMBER	rudo	F	30-34	219,,
2022	NUMBER	samac	_T	30-34	806,,
2022	NUMBER	samac	M	30-34	366,,
2022	NUMBER	samac	F	30-34	440,,
2022	NUMBER	sekovici	_T	30-34	317,,
2022	NUMBER	sekovici	M	30-34	141,,
2022	NUMBER	sekovici	F	30-34	176,,
2022	NUMBER	sipovo	_T	30-34	484,,
2022	NUMBER	sipovo	M	30-34	203,,
2022	NUMBER	sipovo	F	30-34	281,,
2022	NUMBER	sokolac	_T	30-34	672,,
2022	NUMBER	sokolac	M	30-34	313,,
2022	NUMBER	sokolac	F	30-34	359,,
2022	NUMBER	srbac	_T	30-34	874,,
2022	NUMBER	srbac	M	30-34	390,,
2022	NUMBER	srbac	F	30-34	484,,
2022	NUMBER	srebrenica	_T	30-34	768,,
2022	NUMBER	srebrenica	M	30-34	339,,
2022	NUMBER	srebrenica	F	30-34	429,,
2022	NUMBER	stanari	_T	30-34	398,,
2022	NUMBER	stanari	M	30-34	181,,
2022	NUMBER	stanari	F	30-34	217,,
2022	NUMBER	teslic	_T	30-34	2051,,
2022	NUMBER	teslic	M	30-34	958,,
2022	NUMBER	teslic	F	30-34	1093,,
2022	NUMBER	trnovo	_T	30-34	126,,
2022	NUMBER	trnovo	M	30-34	46,,
2022	NUMBER	trnovo	F	30-34	80,,
2022	NUMBER	ugljevik	_T	30-34	947,,
2022	NUMBER	ugljevik	M	30-34	446,,
2022	NUMBER	ugljevik	F	30-34	501,,
2022	NUMBER	visegrad	_T	30-34	499,,
2022	NUMBER	visegrad	M	30-34	216,,
2022	NUMBER	visegrad	F	30-34	283,,
2022	NUMBER	vlasenica	_T	30-34	553,,
2022	NUMBER	vlasenica	M	30-34	256,,
2022	NUMBER	vlasenica	F	30-34	297,,
2022	NUMBER	vukosavlje	_T	30-34	280,,
2022	NUMBER	vukosavlje	M	30-34	129,,
2022	NUMBER	vukosavlje	F	30-34	151,,
2022	NUMBER	berkovici	_T	35-39	83,,
2022	NUMBER	berkovici	M	35-39	34,,
2022	NUMBER	berkovici	F	35-39	49,,
2022	NUMBER	bileca	_T	35-39	625,,
2022	NUMBER	bileca	M	35-39	260,,
2022	NUMBER	bileca	F	35-39	365,,
2022	NUMBER	bratunac	_T	35-39	1414,,
2022	NUMBER	bratunac	M	35-39	656,,
2022	NUMBER	bratunac	F	35-39	758,,
2022	NUMBER	brod	_T	35-39	1039,,
2022	NUMBER	brod	M	35-39	500,,
2022	NUMBER	brod	F	35-39	539,,
2022	NUMBER	cajnice	_T	35-39	272,,
2022	NUMBER	cajnice	M	35-39	125,,
2022	NUMBER	cajnice	F	35-39	147,,
2022	NUMBER	celinac	_T	35-39	965,,
2022	NUMBER	celinac	M	35-39	461,,
2022	NUMBER	celinac	F	35-39	504,,
2022	NUMBER	donji_zabar	_T	35-39	209,,
2022	NUMBER	donji_zabar	M	35-39	85,,
2022	NUMBER	donji_zabar	F	35-39	124,,
2022	NUMBER	foca	_T	35-39	1127,,
2022	NUMBER	foca	M	35-39	495,,
2022	NUMBER	foca	F	35-39	632,,
2022	NUMBER	gacko	_T	35-39	512,,
2022	NUMBER	gacko	M	35-39	229,,
2022	NUMBER	gacko	F	35-39	283,,
2022	NUMBER	grad_banja_luka	_T	35-39	14317,,
2022	NUMBER	grad_banja_luka	M	35-39	7381,,
2022	NUMBER	grad_banja_luka	F	35-39	6936,,
2022	NUMBER	grad_bijeljina	_T	35-39	7508,,
2022	NUMBER	grad_bijeljina	M	35-39	3749,,
2022	NUMBER	grad_bijeljina	F	35-39	3759,,
2022	NUMBER	grad_derventa	_T	35-39	1641,,
2022	NUMBER	grad_derventa	M	35-39	794,,
2022	NUMBER	grad_derventa	F	35-39	847,,
2022	NUMBER	grad_doboj	_T	35-39	4211,,
2022	NUMBER	grad_doboj	M	35-39	2034,,
2022	NUMBER	grad_doboj	F	35-39	2177,,
2022	NUMBER	grad_gradiska	_T	35-39	3000,,
2022	NUMBER	grad_gradiska	M	35-39	1441,,
2022	NUMBER	grad_gradiska	F	35-39	1559,,
2022	NUMBER	grad_prijedor	_T	35-39	5319,,
2022	NUMBER	grad_prijedor	M	35-39	2589,,
2022	NUMBER	grad_prijedor	F	35-39	2730,,
2022	NUMBER	grad_trebinje	_T	35-39	1926,,
2022	NUMBER	grad_trebinje	M	35-39	953,,
2022	NUMBER	grad_trebinje	F	35-39	973,,
2022	NUMBER	grad_zvornik	_T	35-39	3918,,
2022	NUMBER	grad_zvornik	M	35-39	1917,,
2022	NUMBER	grad_zvornik	F	35-39	2001,,
2022	NUMBER	han_pijesak	_T	35-39	189,,
2022	NUMBER	han_pijesak	M	35-39	88,,
2022	NUMBER	han_pijesak	F	35-39	101,,
2022	NUMBER	istocna_ilidza	_T	35-39	1033,,
2022	NUMBER	istocna_ilidza	M	35-39	502,,
2022	NUMBER	istocna_ilidza	F	35-39	531,,
2022	NUMBER	istocni_drvar	_T	35-39	7,,
2022	NUMBER	istocni_drvar	M	35-39	2,,
2022	NUMBER	istocni_drvar	F	35-39	5,,
2022	NUMBER	istocni_mostar	_T	35-39	7,,
2022	NUMBER	istocni_mostar	M	35-39	4,,
2022	NUMBER	istocni_mostar	F	35-39	3,,
2022	NUMBER	istocni_stari_grad	_T	35-39	63,,
2022	NUMBER	istocni_stari_grad	M	35-39	19,,
2022	NUMBER	istocni_stari_grad	F	35-39	44,,
2022	NUMBER	istocno_novo_sarajevo	_T	35-39	1061,,
2022	NUMBER	istocno_novo_sarajevo	M	35-39	561,,
2022	NUMBER	istocno_novo_sarajevo	F	35-39	500,,
2022	NUMBER	jezero	_T	35-39	63,,
2022	NUMBER	jezero	M	35-39	23,,
2022	NUMBER	jezero	F	35-39	40,,
2022	NUMBER	kalinovik	_T	35-39	109,,
2022	NUMBER	kalinovik	M	35-39	38,,
2022	NUMBER	kalinovik	F	35-39	71,,
2022	NUMBER	knezevo	_T	35-39	407,,
2022	NUMBER	knezevo	M	35-39	196,,
2022	NUMBER	knezevo	F	35-39	211,,
2022	NUMBER	kostajnica	_T	35-39	369,,
2022	NUMBER	kostajnica	M	35-39	175,,
2022	NUMBER	kostajnica	F	35-39	194,,
2022	NUMBER	kotor_varos	_T	35-39	1273,,
2022	NUMBER	kotor_varos	M	35-39	619,,
2022	NUMBER	kotor_varos	F	35-39	654,,
2022	NUMBER	kozarska_dubica	_T	35-39	1262,,
2022	NUMBER	kozarska_dubica	M	35-39	586,,
2022	NUMBER	kozarska_dubica	F	35-39	676,,
2022	NUMBER	krupa_na_uni	_T	35-39	54,,
2022	NUMBER	krupa_na_uni	M	35-39	23,,
2022	NUMBER	krupa_na_uni	F	35-39	31,,
2022	NUMBER	kupres	_T	35-39	8,,
2022	NUMBER	kupres	M	35-39	0,,
2022	NUMBER	kupres	F	35-39	8,,
2022	NUMBER	laktasi	_T	35-39	2462,,
2022	NUMBER	laktasi	M	35-39	1254,,
2022	NUMBER	laktasi	F	35-39	1208,,
2022	NUMBER	ljubinje	_T	35-39	192,,
2022	NUMBER	ljubinje	M	35-39	89,,
2022	NUMBER	ljubinje	F	35-39	103,,
2022	NUMBER	lopare	_T	35-39	810,,
2022	NUMBER	lopare	M	35-39	373,,
2022	NUMBER	lopare	F	35-39	437,,
2022	NUMBER	milici	_T	35-39	780,,
2022	NUMBER	milici	M	35-39	354,,
2022	NUMBER	milici	F	35-39	426,,
2022	NUMBER	modrica	_T	35-39	1419,,
2022	NUMBER	modrica	M	35-39	682,,
2022	NUMBER	modrica	F	35-39	737,,
2022	NUMBER	mrkonjic_grad	_T	35-39	839,,
2022	NUMBER	mrkonjic_grad	M	35-39	394,,
2022	NUMBER	mrkonjic_grad	F	35-39	445,,
2022	NUMBER	nevesinje	_T	35-39	677,,
2022	NUMBER	nevesinje	M	35-39	317,,
2022	NUMBER	nevesinje	F	35-39	360,,
2022	NUMBER	novi_grad	_T	35-39	1432,,
2022	NUMBER	novi_grad	M	35-39	652,,
2022	NUMBER	novi_grad	F	35-39	780,,
2022	NUMBER	novo_gorazde	_T	35-39	196,,
2022	NUMBER	novo_gorazde	M	35-39	81,,
2022	NUMBER	novo_gorazde	F	35-39	115,,
2022	NUMBER	osmaci	_T	35-39	382,,
2022	NUMBER	osmaci	M	35-39	162,,
2022	NUMBER	osmaci	F	35-39	220,,
2022	NUMBER	ostra_luka	_T	35-39	107,,
2022	NUMBER	ostra_luka	M	35-39	50,,
2022	NUMBER	ostra_luka	F	35-39	57,,
2022	NUMBER	pale	_T	35-39	1464,,
2022	NUMBER	pale	M	35-39	698,,
2022	NUMBER	pale	F	35-39	766,,
2022	NUMBER	pelagicevo	_T	35-39	182,,
2022	NUMBER	pelagicevo	M	35-39	81,,
2022	NUMBER	pelagicevo	F	35-39	101,,
2022	NUMBER	petrovac	_T	35-39	31,,
2022	NUMBER	petrovac	M	35-39	17,,
2022	NUMBER	petrovac	F	35-39	14,,
2022	NUMBER	petrovo	_T	35-39	348,,
2022	NUMBER	petrovo	M	35-39	152,,
2022	NUMBER	petrovo	F	35-39	196,,
2022	NUMBER	prnjavor	_T	35-39	2004,,
2022	NUMBER	prnjavor	M	35-39	988,,
2022	NUMBER	prnjavor	F	35-39	1016,,
2022	NUMBER	republika_srpska	_T	35-39	78304,,
2022	NUMBER	republika_srpska	M	35-39	38061,,
2022	NUMBER	republika_srpska	F	35-39	40243,,
2022	NUMBER	ribnik	_T	35-39	256,,
2022	NUMBER	ribnik	M	35-39	130,,
2022	NUMBER	ribnik	F	35-39	126,,
2022	NUMBER	rogatica	_T	35-39	612,,
2022	NUMBER	rogatica	M	35-39	299,,
2022	NUMBER	rogatica	F	35-39	313,,
2022	NUMBER	rudo	_T	35-39	442,,
2022	NUMBER	rudo	M	35-39	199,,
2022	NUMBER	rudo	F	35-39	243,,
2022	NUMBER	samac	_T	35-39	908,,
2022	NUMBER	samac	M	35-39	414,,
2022	NUMBER	samac	F	35-39	494,,
2022	NUMBER	sekovici	_T	35-39	310,,
2022	NUMBER	sekovici	M	35-39	137,,
2022	NUMBER	sekovici	F	35-39	173,,
2022	NUMBER	sipovo	_T	35-39	597,,
2022	NUMBER	sipovo	M	35-39	272,,
2022	NUMBER	sipovo	F	35-39	325,,
2022	NUMBER	sokolac	_T	35-39	753,,
2022	NUMBER	sokolac	M	35-39	324,,
2022	NUMBER	sokolac	F	35-39	429,,
2022	NUMBER	srbac	_T	35-39	965,,
2022	NUMBER	srbac	M	35-39	451,,
2022	NUMBER	srbac	F	35-39	514,,
2022	NUMBER	srebrenica	_T	35-39	889,,
2022	NUMBER	srebrenica	M	35-39	385,,
2022	NUMBER	srebrenica	F	35-39	504,,
2022	NUMBER	stanari	_T	35-39	373,,
2022	NUMBER	stanari	M	35-39	178,,
2022	NUMBER	stanari	F	35-39	195,,
2022	NUMBER	teslic	_T	35-39	2184,,
2022	NUMBER	teslic	M	35-39	1118,,
2022	NUMBER	teslic	F	35-39	1066,,
2022	NUMBER	trnovo	_T	35-39	142,,
2022	NUMBER	trnovo	M	35-39	53,,
2022	NUMBER	trnovo	F	35-39	89,,
2022	NUMBER	ugljevik	_T	35-39	940,,
2022	NUMBER	ugljevik	M	35-39	462,,
2022	NUMBER	ugljevik	F	35-39	478,,
2022	NUMBER	visegrad	_T	35-39	604,,
2022	NUMBER	visegrad	M	35-39	274,,
2022	NUMBER	visegrad	F	35-39	330,,
2022	NUMBER	vlasenica	_T	35-39	738,,
2022	NUMBER	vlasenica	M	35-39	361,,
2022	NUMBER	vlasenica	F	35-39	377,,
2022	NUMBER	vukosavlje	_T	35-39	275,,
2022	NUMBER	vukosavlje	M	35-39	121,,
2022	NUMBER	vukosavlje	F	35-39	154,,
2022	NUMBER	berkovici	_T	40-44	111,,
2022	NUMBER	berkovici	M	40-44	55,,
2022	NUMBER	berkovici	F	40-44	56,,
2022	NUMBER	bileca	_T	40-44	576,,
2022	NUMBER	bileca	M	40-44	266,,
2022	NUMBER	bileca	F	40-44	310,,
2022	NUMBER	bratunac	_T	40-44	1436,,
2022	NUMBER	bratunac	M	40-44	648,,
2022	NUMBER	bratunac	F	40-44	788,,
2022	NUMBER	brod	_T	40-44	1068,,
2022	NUMBER	brod	M	40-44	528,,
2022	NUMBER	brod	F	40-44	540,,
2022	NUMBER	cajnice	_T	40-44	244,,
2022	NUMBER	cajnice	M	40-44	102,,
2022	NUMBER	cajnice	F	40-44	142,,
2022	NUMBER	celinac	_T	40-44	912,,
2022	NUMBER	celinac	M	40-44	445,,
2022	NUMBER	celinac	F	40-44	467,,
2022	NUMBER	donji_zabar	_T	40-44	178,,
2022	NUMBER	donji_zabar	M	40-44	96,,
2022	NUMBER	donji_zabar	F	40-44	82,,
2022	NUMBER	foca	_T	40-44	1052,,
2022	NUMBER	foca	M	40-44	471,,
2022	NUMBER	foca	F	40-44	581,,
2022	NUMBER	gacko	_T	40-44	499,,
2022	NUMBER	gacko	M	40-44	221,,
2022	NUMBER	gacko	F	40-44	278,,
2022	NUMBER	grad_banja_luka	_T	40-44	15057,,
2022	NUMBER	grad_banja_luka	M	40-44	7683,,
2022	NUMBER	grad_banja_luka	F	40-44	7374,,
2022	NUMBER	grad_bijeljina	_T	40-44	7392,,
2022	NUMBER	grad_bijeljina	M	40-44	3665,,
2022	NUMBER	grad_bijeljina	F	40-44	3727,,
2022	NUMBER	grad_derventa	_T	40-44	1583,,
2022	NUMBER	grad_derventa	M	40-44	783,,
2022	NUMBER	grad_derventa	F	40-44	800,,
2022	NUMBER	grad_doboj	_T	40-44	4440,,
2022	NUMBER	grad_doboj	M	40-44	2191,,
2022	NUMBER	grad_doboj	F	40-44	2249,,
2022	NUMBER	grad_gradiska	_T	40-44	3291,,
2022	NUMBER	grad_gradiska	M	40-44	1613,,
2022	NUMBER	grad_gradiska	F	40-44	1678,,
2022	NUMBER	grad_prijedor	_T	40-44	5331,,
2022	NUMBER	grad_prijedor	M	40-44	2601,,
2022	NUMBER	grad_prijedor	F	40-44	2730,,
2022	NUMBER	grad_trebinje	_T	40-44	1986,,
2022	NUMBER	grad_trebinje	M	40-44	965,,
2022	NUMBER	grad_trebinje	F	40-44	1021,,
2022	NUMBER	grad_zvornik	_T	40-44	3994,,
2022	NUMBER	grad_zvornik	M	40-44	1970,,
2022	NUMBER	grad_zvornik	F	40-44	2024,,
2022	NUMBER	han_pijesak	_T	40-44	199,,
2022	NUMBER	han_pijesak	M	40-44	90,,
2022	NUMBER	han_pijesak	F	40-44	109,,
2022	NUMBER	istocna_ilidza	_T	40-44	1106,,
2022	NUMBER	istocna_ilidza	M	40-44	519,,
2022	NUMBER	istocna_ilidza	F	40-44	587,,
2022	NUMBER	istocni_drvar	_T	40-44	15,,
2022	NUMBER	istocni_drvar	M	40-44	3,,
2022	NUMBER	istocni_drvar	F	40-44	12,,
2022	NUMBER	istocni_mostar	_T	40-44	20,,
2022	NUMBER	istocni_mostar	M	40-44	10,,
2022	NUMBER	istocni_mostar	F	40-44	10,,
2022	NUMBER	istocni_stari_grad	_T	40-44	58,,
2022	NUMBER	istocni_stari_grad	M	40-44	24,,
2022	NUMBER	istocni_stari_grad	F	40-44	34,,
2022	NUMBER	istocno_novo_sarajevo	_T	40-44	1116,,
2022	NUMBER	istocno_novo_sarajevo	M	40-44	550,,
2022	NUMBER	istocno_novo_sarajevo	F	40-44	566,,
2022	NUMBER	jezero	_T	40-44	63,,
2022	NUMBER	jezero	M	40-44	30,,
2022	NUMBER	jezero	F	40-44	33,,
2022	NUMBER	kalinovik	_T	40-44	88,,
2022	NUMBER	kalinovik	M	40-44	36,,
2022	NUMBER	kalinovik	F	40-44	52,,
2022	NUMBER	knezevo	_T	40-44	469,,
2022	NUMBER	knezevo	M	40-44	229,,
2022	NUMBER	knezevo	F	40-44	240,,
2022	NUMBER	kostajnica	_T	40-44	422,,
2022	NUMBER	kostajnica	M	40-44	206,,
2022	NUMBER	kostajnica	F	40-44	216,,
2022	NUMBER	kotor_varos	_T	40-44	1220,,
2022	NUMBER	kotor_varos	M	40-44	622,,
2022	NUMBER	kotor_varos	F	40-44	598,,
2022	NUMBER	kozarska_dubica	_T	40-44	1177,,
2022	NUMBER	kozarska_dubica	M	40-44	548,,
2022	NUMBER	kozarska_dubica	F	40-44	629,,
2022	NUMBER	krupa_na_uni	_T	40-44	84,,
2022	NUMBER	krupa_na_uni	M	40-44	37,,
2022	NUMBER	krupa_na_uni	F	40-44	47,,
2022	NUMBER	kupres	_T	40-44	6,,
2022	NUMBER	kupres	M	40-44	4,,
2022	NUMBER	kupres	F	40-44	2,,
2022	NUMBER	laktasi	_T	40-44	2472,,
2022	NUMBER	laktasi	M	40-44	1170,,
2022	NUMBER	laktasi	F	40-44	1302,,
2022	NUMBER	ljubinje	_T	40-44	185,,
2022	NUMBER	ljubinje	M	40-44	86,,
2022	NUMBER	ljubinje	F	40-44	99,,
2022	NUMBER	lopare	_T	40-44	770,,
2022	NUMBER	lopare	M	40-44	361,,
2022	NUMBER	lopare	F	40-44	409,,
2022	NUMBER	milici	_T	40-44	798,,
2022	NUMBER	milici	M	40-44	355,,
2022	NUMBER	milici	F	40-44	443,,
2022	NUMBER	modrica	_T	40-44	1468,,
2022	NUMBER	modrica	M	40-44	731,,
2022	NUMBER	modrica	F	40-44	737,,
2022	NUMBER	mrkonjic_grad	_T	40-44	849,,
2022	NUMBER	mrkonjic_grad	M	40-44	445,,
2022	NUMBER	mrkonjic_grad	F	40-44	404,,
2022	NUMBER	nevesinje	_T	40-44	753,,
2022	NUMBER	nevesinje	M	40-44	341,,
2022	NUMBER	nevesinje	F	40-44	412,,
2022	NUMBER	novi_grad	_T	40-44	1490,,
2022	NUMBER	novi_grad	M	40-44	723,,
2022	NUMBER	novi_grad	F	40-44	767,,
2022	NUMBER	novo_gorazde	_T	40-44	187,,
2022	NUMBER	novo_gorazde	M	40-44	95,,
2022	NUMBER	novo_gorazde	F	40-44	92,,
2022	NUMBER	osmaci	_T	40-44	412,,
2022	NUMBER	osmaci	M	40-44	196,,
2022	NUMBER	osmaci	F	40-44	216,,
2022	NUMBER	ostra_luka	_T	40-44	118,,
2022	NUMBER	ostra_luka	M	40-44	56,,
2022	NUMBER	ostra_luka	F	40-44	62,,
2022	NUMBER	pale	_T	40-44	1376,,
2022	NUMBER	pale	M	40-44	695,,
2022	NUMBER	pale	F	40-44	681,,
2022	NUMBER	pelagicevo	_T	40-44	201,,
2022	NUMBER	pelagicevo	M	40-44	102,,
2022	NUMBER	pelagicevo	F	40-44	99,,
2022	NUMBER	petrovac	_T	40-44	40,,
2022	NUMBER	petrovac	M	40-44	19,,
2022	NUMBER	petrovac	F	40-44	21,,
2022	NUMBER	petrovo	_T	40-44	307,,
2022	NUMBER	petrovo	M	40-44	143,,
2022	NUMBER	petrovo	F	40-44	164,,
2022	NUMBER	prnjavor	_T	40-44	2135,,
2022	NUMBER	prnjavor	M	40-44	1102,,
2022	NUMBER	prnjavor	F	40-44	1033,,
2022	NUMBER	republika_srpska	_T	40-44	79978,,
2022	NUMBER	republika_srpska	M	40-44	39092,,
2022	NUMBER	republika_srpska	F	40-44	40886,,
2022	NUMBER	ribnik	_T	40-44	283,,
2022	NUMBER	ribnik	M	40-44	121,,
2022	NUMBER	ribnik	F	40-44	162,,
2022	NUMBER	rogatica	_T	40-44	631,,
2022	NUMBER	rogatica	M	40-44	288,,
2022	NUMBER	rogatica	F	40-44	343,,
2022	NUMBER	rudo	_T	40-44	423,,
2022	NUMBER	rudo	M	40-44	188,,
2022	NUMBER	rudo	F	40-44	235,,
2022	NUMBER	samac	_T	40-44	951,,
2022	NUMBER	samac	M	40-44	435,,
2022	NUMBER	samac	F	40-44	516,,
2022	NUMBER	sekovici	_T	40-44	364,,
2022	NUMBER	sekovici	M	40-44	158,,
2022	NUMBER	sekovici	F	40-44	206,,
2022	NUMBER	sipovo	_T	40-44	606,,
2022	NUMBER	sipovo	M	40-44	273,,
2022	NUMBER	sipovo	F	40-44	333,,
2022	NUMBER	sokolac	_T	40-44	700,,
2022	NUMBER	sokolac	M	40-44	328,,
2022	NUMBER	sokolac	F	40-44	372,,
2022	NUMBER	srbac	_T	40-44	1085,,
2022	NUMBER	srbac	M	40-44	549,,
2022	NUMBER	srbac	F	40-44	536,,
2022	NUMBER	srebrenica	_T	40-44	873,,
2022	NUMBER	srebrenica	M	40-44	386,,
2022	NUMBER	srebrenica	F	40-44	487,,
2022	NUMBER	stanari	_T	40-44	434,,
2022	NUMBER	stanari	M	40-44	199,,
2022	NUMBER	stanari	F	40-44	235,,
2022	NUMBER	teslic	_T	40-44	2291,,
2022	NUMBER	teslic	M	40-44	1131,,
2022	NUMBER	teslic	F	40-44	1160,,
2022	NUMBER	trnovo	_T	40-44	111,,
2022	NUMBER	trnovo	M	40-44	40,,
2022	NUMBER	trnovo	F	40-44	71,,
2022	NUMBER	ugljevik	_T	40-44	838,,
2022	NUMBER	ugljevik	M	40-44	412,,
2022	NUMBER	ugljevik	F	40-44	426,,
2022	NUMBER	visegrad	_T	40-44	601,,
2022	NUMBER	visegrad	M	40-44	287,,
2022	NUMBER	visegrad	F	40-44	314,,
2022	NUMBER	vlasenica	_T	40-44	744,,
2022	NUMBER	vlasenica	M	40-44	346,,
2022	NUMBER	vlasenica	F	40-44	398,,
2022	NUMBER	vukosavlje	_T	40-44	289,,
2022	NUMBER	vukosavlje	M	40-44	120,,
2022	NUMBER	vukosavlje	F	40-44	169,,
2022	NUMBER	berkovici	_T	45-49	134,,
2022	NUMBER	berkovici	M	45-49	57,,
2022	NUMBER	berkovici	F	45-49	77,,
2022	NUMBER	bileca	_T	45-49	614,,
2022	NUMBER	bileca	M	45-49	279,,
2022	NUMBER	bileca	F	45-49	335,,
2022	NUMBER	bratunac	_T	45-49	1321,,
2022	NUMBER	bratunac	M	45-49	600,,
2022	NUMBER	bratunac	F	45-49	721,,
2022	NUMBER	brod	_T	45-49	1080,,
2022	NUMBER	brod	M	45-49	547,,
2022	NUMBER	brod	F	45-49	533,,
2022	NUMBER	cajnice	_T	45-49	240,,
2022	NUMBER	cajnice	M	45-49	104,,
2022	NUMBER	cajnice	F	45-49	136,,
2022	NUMBER	celinac	_T	45-49	909,,
2022	NUMBER	celinac	M	45-49	467,,
2022	NUMBER	celinac	F	45-49	442,,
2022	NUMBER	donji_zabar	_T	45-49	244,,
2022	NUMBER	donji_zabar	M	45-49	102,,
2022	NUMBER	donji_zabar	F	45-49	142,,
2022	NUMBER	foca	_T	45-49	1005,,
2022	NUMBER	foca	M	45-49	444,,
2022	NUMBER	foca	F	45-49	561,,
2022	NUMBER	gacko	_T	45-49	478,,
2022	NUMBER	gacko	M	45-49	221,,
2022	NUMBER	gacko	F	45-49	257,,
2022	NUMBER	grad_banja_luka	_T	45-49	14029,,
2022	NUMBER	grad_banja_luka	M	45-49	7055,,
2022	NUMBER	grad_banja_luka	F	45-49	6974,,
2022	NUMBER	grad_bijeljina	_T	45-49	7361,,
2022	NUMBER	grad_bijeljina	M	45-49	3634,,
2022	NUMBER	grad_bijeljina	F	45-49	3727,,
2022	NUMBER	grad_derventa	_T	45-49	1790,,
2022	NUMBER	grad_derventa	M	45-49	877,,
2022	NUMBER	grad_derventa	F	45-49	913,,
2022	NUMBER	grad_doboj	_T	45-49	3845,,
2022	NUMBER	grad_doboj	M	45-49	1914,,
2022	NUMBER	grad_doboj	F	45-49	1931,,
2022	NUMBER	grad_gradiska	_T	45-49	3159,,
2022	NUMBER	grad_gradiska	M	45-49	1546,,
2022	NUMBER	grad_gradiska	F	45-49	1613,,
2022	NUMBER	grad_prijedor	_T	45-49	5547,,
2022	NUMBER	grad_prijedor	M	45-49	2745,,
2022	NUMBER	grad_prijedor	F	45-49	2802,,
2022	NUMBER	grad_trebinje	_T	45-49	1862,,
2022	NUMBER	grad_trebinje	M	45-49	897,,
2022	NUMBER	grad_trebinje	F	45-49	965,,
2022	NUMBER	grad_zvornik	_T	45-49	3835,,
2022	NUMBER	grad_zvornik	M	45-49	1883,,
2022	NUMBER	grad_zvornik	F	45-49	1952,,
2022	NUMBER	han_pijesak	_T	45-49	178,,
2022	NUMBER	han_pijesak	M	45-49	87,,
2022	NUMBER	han_pijesak	F	45-49	91,,
2022	NUMBER	istocna_ilidza	_T	45-49	940,,
2022	NUMBER	istocna_ilidza	M	45-49	438,,
2022	NUMBER	istocna_ilidza	F	45-49	502,,
2022	NUMBER	istocni_drvar	_T	45-49	9,,
2022	NUMBER	istocni_drvar	M	45-49	1,,
2022	NUMBER	istocni_drvar	F	45-49	8,,
2022	NUMBER	istocni_mostar	_T	45-49	22,,
2022	NUMBER	istocni_mostar	M	45-49	5,,
2022	NUMBER	istocni_mostar	F	45-49	17,,
2022	NUMBER	istocni_stari_grad	_T	45-49	46,,
2022	NUMBER	istocni_stari_grad	M	45-49	20,,
2022	NUMBER	istocni_stari_grad	F	45-49	26,,
2022	NUMBER	istocno_novo_sarajevo	_T	45-49	856,,
2022	NUMBER	istocno_novo_sarajevo	M	45-49	398,,
2022	NUMBER	istocno_novo_sarajevo	F	45-49	458,,
2022	NUMBER	jezero	_T	45-49	65,,
2022	NUMBER	jezero	M	45-49	29,,
2022	NUMBER	jezero	F	45-49	36,,
2022	NUMBER	kalinovik	_T	45-49	105,,
2022	NUMBER	kalinovik	M	45-49	33,,
2022	NUMBER	kalinovik	F	45-49	72,,
2022	NUMBER	knezevo	_T	45-49	512,,
2022	NUMBER	knezevo	M	45-49	237,,
2022	NUMBER	knezevo	F	45-49	275,,
2022	NUMBER	kostajnica	_T	45-49	369,,
2022	NUMBER	kostajnica	M	45-49	186,,
2022	NUMBER	kostajnica	F	45-49	183,,
2022	NUMBER	kotor_varos	_T	45-49	1250,,
2022	NUMBER	kotor_varos	M	45-49	630,,
2022	NUMBER	kotor_varos	F	45-49	620,,
2022	NUMBER	kozarska_dubica	_T	45-49	1192,,
2022	NUMBER	kozarska_dubica	M	45-49	576,,
2022	NUMBER	kozarska_dubica	F	45-49	616,,
2022	NUMBER	krupa_na_uni	_T	45-49	86,,
2022	NUMBER	krupa_na_uni	M	45-49	33,,
2022	NUMBER	krupa_na_uni	F	45-49	53,,
2022	NUMBER	kupres	_T	45-49	12,,
2022	NUMBER	kupres	M	45-49	7,,
2022	NUMBER	kupres	F	45-49	5,,
2022	NUMBER	laktasi	_T	45-49	2515,,
2022	NUMBER	laktasi	M	45-49	1208,,
2022	NUMBER	laktasi	F	45-49	1307,,
2022	NUMBER	ljubinje	_T	45-49	175,,
2022	NUMBER	ljubinje	M	45-49	83,,
2022	NUMBER	ljubinje	F	45-49	92,,
2022	NUMBER	lopare	_T	45-49	811,,
