Year,Value,UNIT_MEASURE
2022	NUMBER	istocno_novo_sarajevo	_T	10-14	696,,
2022	NUMBER	istocno_novo_sarajevo	M	10-14	362,,
2022	NUMBER	istocno_novo_sarajevo	F	10-14	334,,
2022	NUMBER	jezero	_T	10-14	42,,
2022	NUMBER	jezero	M	10-14	22,,
2022	NUMBER	jezero	F	10-14	20,,
2022	NUMBER	kalinovik	_T	10-14	46,,
2022	NUMBER	kalinovik	M	10-14	21,,
2022	NUMBER	kalinovik	F	10-14	25,,
2022	NUMBER	knezevo	_T	10-14	365,,
2022	NUMBER	knezevo	M	10-14	178,,
2022	NUMBER	knezevo	F	10-14	187,,
2022	NUMBER	kostajnica	_T	10-14	223,,
2022	NUMBER	kostajnica	M	10-14	117,,
2022	NUMBER	kostajnica	F	10-14	106,,
2022	NUMBER	kotor_varos	_T	10-14	888,,
2022	NUMBER	kotor_varos	M	10-14	437,,
2022	NUMBER	kotor_varos	F	10-14	451,,
2022	NUMBER	kozarska_dubica	_T	10-14	751,,
2022	NUMBER	kozarska_dubica	M	10-14	367,,
2022	NUMBER	kozarska_dubica	F	10-14	384,,
2022	NUMBER	krupa_na_uni	_T	10-14	58,,
2022	NUMBER	krupa_na_uni	M	10-14	28,,
2022	NUMBER	krupa_na_uni	F	10-14	30,,
2022	NUMBER	kupres	_T	10-14	2,,
2022	NUMBER	kupres	M	10-14	0,,
2022	NUMBER	kupres	F	10-14	2,,
2022	NUMBER	laktasi	_T	10-14	1816,,
2022	NUMBER	laktasi	M	10-14	880,,
2022	NUMBER	laktasi	F	10-14	936,,
2022	NUMBER	ljubinje	_T	10-14	144,,
2022	NUMBER	ljubinje	M	10-14	72,,
2022	NUMBER	ljubinje	F	10-14	72,,
2022	NUMBER	lopare	_T	10-14	525,,
2022	NUMBER	lopare	M	10-14	266,,
2022	NUMBER	lopare	F	10-14	259,,
2022	NUMBER	milici	_T	10-14	483,,
2022	NUMBER	milici	M	10-14	244,,
2022	NUMBER	milici	F	10-14	239,,
2022	NUMBER	modrica	_T	10-14	1023,,
2022	NUMBER	modrica	M	10-14	498,,
2022	NUMBER	modrica	F	10-14	525,,
2022	NUMBER	mrkonjic_grad	_T	10-14	673,,
2022	NUMBER	mrkonjic_grad	M	10-14	328,,
2022	NUMBER	mrkonjic_grad	F	10-14	345,,
2022	NUMBER	nevesinje	_T	10-14	568,,
2022	NUMBER	nevesinje	M	10-14	260,,
2022	NUMBER	nevesinje	F	10-14	308,,
2022	NUMBER	novi_grad	_T	10-14	925,,
2022	NUMBER	novi_grad	M	10-14	434,,
2022	NUMBER	novi_grad	F	10-14	491,,
2022	NUMBER	novo_gorazde	_T	10-14	101,,
2022	NUMBER	novo_gorazde	M	10-14	50,,
2022	NUMBER	novo_gorazde	F	10-14	51,,
2022	NUMBER	osmaci	_T	10-14	269,,
2022	NUMBER	osmaci	M	10-14	131,,
2022	NUMBER	osmaci	F	10-14	138,,
2022	NUMBER	ostra_luka	_T	10-14	87,,
2022	NUMBER	ostra_luka	M	10-14	38,,
2022	NUMBER	ostra_luka	F	10-14	49,,
2022	NUMBER	pale	_T	10-14	876,,
2022	NUMBER	pale	M	10-14	432,,
2022	NUMBER	pale	F	10-14	444,,
2022	NUMBER	pelagicevo	_T	10-14	159,,
2022	NUMBER	pelagicevo	M	10-14	78,,
2022	NUMBER	pelagicevo	F	10-14	81,,
2022	NUMBER	petrovac	_T	10-14	30,,
2022	NUMBER	petrovac	M	10-14	13,,
2022	NUMBER	petrovac	F	10-14	17,,
2022	NUMBER	petrovo	_T	10-14	241,,
2022	NUMBER	petrovo	M	10-14	113,,
2022	NUMBER	petrovo	F	10-14	128,,
2022	NUMBER	prnjavor	_T	10-14	1532,,
2022	NUMBER	prnjavor	M	10-14	731,,
