Year,UNIT_MEASURE,Administrative area,Sex,Vital statistics,Value
2013,Number,Ugljevik,F,Four children,264
2013,Number,Foca,F,Four children,348
2013,Number,Han Pijesak,F,Four children,75
2013,Number,Cajnice,F,Four children,140
2013,Number,Celinac,F,Four children,385
2013,Number,Samac,F,Four children,235
2013,Number,Sekovici,F,Four children,193
2013,Number,Sipovo,F,Four children,275
2013,Number,Republika Srpska,F,Five and more members of household,17275
2013,Number,City of Banja Luka,F,Five and more members of household,1552
2013,Number,Berkovici,F,Five and more members of household,37
2013,Number,City of Bijeljina,F,Five and more members of household,882
2013,Number,Bileca,F,Five and more members of household,169
2013,Number,Bratunac,F,Five and more members of household,489
2013,Number,Brod,F,Five and more members of household,224
2013,Number,Visegrad,F,Five and more members of household,123
2013,Number,Vlasenica,F,Five and more members of household,254
2013,Number,Vukosavlje,F,Five and more members of household,140
2013,Number,Gacko,F,Five and more members of household,133
2013,Number,City of Gradiska,F,Five and more members of household,677
2013,Number,City of Derventa,F,Five and more members of household,372
2013,Number,City of Doboj,F,Five and more members of household,1006
2013,Number,Donji Zabar,F,Five and more members of household,50
2013,Number,City of Zvornik,F,Five and more members of household,1008
2013,Number,East Ilidza,F,Five and more members of household,54
2013,Number,East Drvar,F,Five and more members of household,0
2013,Number,East Mostar,F,Five and more members of household,7
2013,Number,East Stari Grad,F,Five and more members of household,7
2013,Number,East Novo Sarajevo,F,Five and more members of household,30
2013,Number,Jezero,F,Five and more members of household,26
2013,Number,Kalinovik,F,Five and more members of household,43
2013,Number,Knezevo,F,Five and more members of household,365
2013,Number,Kozarska Dubica,F,Five and more members of household,165
2013,Number,Kostajnica,F,Five and more members of household,47
2013,Number,Kotor Varos,F,Five and more members of household,617
2013,Number,Krupa Na Uni,F,Five and more members of household,65
2013,Number,Kupres,F,Five and more members of household,10
2013,Number,Laktasi,F,Five and more members of household,306
2013,Number,Lopare,F,Five and more members of household,209
2013,Number,Ljubinje,F,Five and more members of household,41
2013,Number,Milici,F,Five and more members of household,239
2013,Number,Modrica,F,Five and more members of household,366
2013,Number,Mrkonjic Grad,F,Five and more members of household,295
2013,Number,Nevesinje,F,Five and more members of household,204
2013,Number,Novi Grad,F,Five and more members of household,543
2013,Number,Novo Gorazde,F,Five and more members of household,42
2013,Number,Osmaci,F,Five and more members of household,175
2013,Number,Ostra Luka,F,Five and more members of household,102
2013,Number,Pale,F,Five and more members of household,95
2013,Number,Pelagicevo,F,Five and more members of household,109
2013,Number,Petrovac,F,Five and more members of household,0
2013,Number,Petrovo,F,Five and more members of household,65
2013,Number,City of Prijedor,F,Five and more members of household,1535
2013,Number,Prnjavor,F,Five and more members of household,610
2013,Number,Ribnik,F,Five and more members of household,162
2013,Number,Rogatica,F,Five and more members of household,143
2013,Number,Rudo,F,Five and more members of household,92
2013,Number,Sokolac,F,Five and more members of household,104
2013,Number,Srbac,F,Five and more members of household,217
2013,Number,Srebrenica,F,Five and more members of household,362
2013,Number,Teslic,F,Five and more members of household,1100
2013,Number,City of Trebinje,F,Five and more members of household,145
2013,Number,Trnovo,F,Five and more members of household,22
2013,Number,Ugljevik,F,Five and more members of household,161
2013,Number,Foca,F,Five and more members of household,218
2013,Number,Han Pijesak,F,Five and more members of household,47
2013,Number,Cajnice,F,Five and more members of household,72
2013,Number,Celinac,F,Five and more members of household,311
2013,Number,Samac,F,Five and more members of household,151
2013,Number,Sekovici,F,Five and more members of household,174
2013,Number,Sipovo,F,Five and more members of household,306
