Year,UNIT_MEASURE,ADMIN_AREA,Sex,Literacy,Value
2013,_%,grad_trebinje,F,illiterate,1.57
2013,_%,trnovo,Both sexes,illiterate,4.1
2013,_%,trnovo,M,illiterate,1.13
2013,_%,trnovo,F,illiterate,6.84
2013,_%,ugljevik,Both sexes,illiterate,3.29
2013,_%,ugljevik,M,illiterate,0.99
2013,_%,ugljevik,F,illiterate,5.61
2013,_%,foca,Both sexes,illiterate,2.41
2013,_%,foca,M,illiterate,0.63
2013,_%,foca,F,illiterate,4.21
2013,_%,han_pijesak,Both sexes,illiterate,2.76
2013,_%,han_pijesak,M,illiterate,0.67
2013,_%,han_pijesak,F,illiterate,4.61
2013,_%,cajnice,Both sexes,illiterate,3.26
2013,_%,cajnice,M,illiterate,1.02
2013,_%,cajnice,F,illiterate,5.55
2013,_%,celinac,Both sexes,illiterate,3.46
2013,_%,celinac,M,illiterate,0.83
2013,_%,celinac,F,illiterate,6.01
2013,_%,samac,Both sexes,illiterate,1.99
2013,_%,samac,M,illiterate,0.76
2013,_%,samac,F,illiterate,3.14
2013,_%,sekovici,Both sexes,illiterate,7.34
2013,_%,sekovici,M,illiterate,2.89
2013,_%,sekovici,F,illiterate,11.67
2013,_%,sipovo,Both sexes,illiterate,4.74
2013,_%,sipovo,M,illiterate,1.07
2013,_%,sipovo,F,illiterate,8.46
2013,Number,republika_srpska,Both sexes,unknown_literacy,10476.0
2013,Number,republika_srpska,M,unknown_literacy,3675.0
2013,Number,republika_srpska,F,unknown_literacy,6801.0
2013,Number,grad_banja_luka,Both sexes,unknown_literacy,1192.0
2013,Number,grad_banja_luka,M,unknown_literacy,413.0
2013,Number,grad_banja_luka,F,unknown_literacy,779.0
2013,Number,berkovici,Both sexes,unknown_literacy,27.0
2013,Number,berkovici,M,unknown_literacy,10.0
2013,Number,berkovici,F,unknown_literacy,17.0
2013,Number,grad_bijeljina,Both sexes,unknown_literacy,916.0
2013,Number,grad_bijeljina,M,unknown_literacy,302.0
2013,Number,grad_bijeljina,F,unknown_literacy,614.0
2013,Number,bileca,Both sexes,unknown_literacy,83.0
2013,Number,bileca,M,unknown_literacy,27.0
2013,Number,bileca,F,unknown_literacy,56.0
2013,Number,bratunac,Both sexes,unknown_literacy,239.0
2013,Number,bratunac,M,unknown_literacy,80.0
2013,Number,bratunac,F,unknown_literacy,159.0
2013,Number,brod,Both sexes,unknown_literacy,178.0
2013,Number,brod,M,unknown_literacy,59.0
2013,Number,brod,F,unknown_literacy,119.0
2013,Number,visegrad,Both sexes,unknown_literacy,91.0
2013,Number,visegrad,M,unknown_literacy,32.0
2013,Number,visegrad,F,unknown_literacy,59.0
2013,Number,vlasenica,Both sexes,unknown_literacy,185.0
2013,Number,vlasenica,M,unknown_literacy,65.0
2013,Number,vlasenica,F,unknown_literacy,120.0
2013,Number,vukosavlje,Both sexes,unknown_literacy,76.0
2013,Number,vukosavlje,M,unknown_literacy,29.0
2013,Number,vukosavlje,F,unknown_literacy,47.0
2013,Number,gacko,Both sexes,unknown_literacy,71.0
2013,Number,gacko,M,unknown_literacy,24.0
2013,Number,gacko,F,unknown_literacy,47.0
2013,Number,grad_gradiska,Both sexes,unknown_literacy,423.0
2013,Number,grad_gradiska,M,unknown_literacy,163.0
2013,Number,grad_gradiska,F,unknown_literacy,260.0
2013,Number,grad_derventa,Both sexes,unknown_literacy,368.0
2013,Number,grad_derventa,M,unknown_literacy,135.0
2013,Number,grad_derventa,F,unknown_literacy,233.0
2013,Number,grad_doboj,Both sexes,unknown_literacy,481.0
2013,Number,grad_doboj,M,unknown_literacy,166.0
2013,Number,grad_doboj,F,unknown_literacy,315.0
2013,Number,donji_zabar,Both sexes,unknown_literacy,81.0
2013,Number,donji_zabar,M,unknown_literacy,33.0
2013,Number,donji_zabar,F,unknown_literacy,48.0
2013,Number,grad_zvornik,Both sexes,unknown_literacy,666.0
2013,Number,grad_zvornik,M,unknown_literacy,204.0
2013,Number,grad_zvornik,F,unknown_literacy,462.0
2013,Number,istocna_ilidza,Both sexes,unknown_literacy,67.0
2013,Number,istocna_ilidza,M,unknown_literacy,21.0
2013,Number,istocna_ilidza,F,unknown_literacy,46.0
2013,Number,istocni_drvar,Both sexes,unknown_literacy,0.0
2013,Number,istocni_drvar,M,unknown_literacy,0.0
2013,Number,istocni_drvar,F,unknown_literacy,0.0
2013,Number,istocni_mostar,Both sexes,unknown_literacy,0.0
2013,Number,istocni_mostar,M,unknown_literacy,0.0
2013,Number,istocni_mostar,F,unknown_literacy,0.0
2013,Number,istocni_stari_grad,Both sexes,unknown_literacy,6.0
2013,Number,istocni_stari_grad,M,unknown_literacy,2.0
2013,Number,istocni_stari_grad,F,unknown_literacy,4.0
2013,Number,istocno_novo_sarajevo,Both sexes,unknown_literacy,36.0
2013,Number,istocno_novo_sarajevo,M,unknown_literacy,12.0
2013,Number,istocno_novo_sarajevo,F,unknown_literacy,24.0
2013,Number,jezero,Both sexes,unknown_literacy,6.0
2013,Number,jezero,M,unknown_literacy,2.0
2013,Number,jezero,F,unknown_literacy,4.0
2013,Number,kalinovik,Both sexes,unknown_literacy,12.0
2013,Number,kalinovik,M,unknown_literacy,5.0
2013,Number,kalinovik,F,unknown_literacy,7.0
2013,Number,knezevo,Both sexes,unknown_literacy,78.0
2013,Number,knezevo,M,unknown_literacy,32.0
2013,Number,knezevo,F,unknown_literacy,46.0
2013,Number,kozarska_dubica,Both sexes,unknown_literacy,124.0
2013,Number,kozarska_dubica,M,unknown_literacy,48.0
2013,Number,kozarska_dubica,F,unknown_literacy,76.0
2013,Number,kostajnica,Both sexes,unknown_literacy,34.0
2013,Number,kostajnica,M,unknown_literacy,15.0
2013,Number,kostajnica,F,unknown_literacy,19.0
2013,Number,kotor_varos,Both sexes,unknown_literacy,216.0
2013,Number,kotor_varos,M,unknown_literacy,73.0
2013,Number,kotor_varos,F,unknown_literacy,143.0
2013,Number,krupa_na_uni,Both sexes,unknown_literacy,4.0
2013,Number,krupa_na_uni,M,unknown_literacy,1.0
2013,Number,krupa_na_uni,F,unknown_literacy,3.0
2013,Number,kupres,Both sexes,unknown_literacy,1.0
2013,Number,kupres,M,unknown_literacy,0.0
2013,Number,kupres,F,unknown_literacy,1.0
2013,Number,laktasi,Both sexes,unknown_literacy,314.0
2013,Number,laktasi,M,unknown_literacy,117.0
2013,Number,laktasi,F,unknown_literacy,197.0
2013,Number,lopare,Both sexes,unknown_literacy,156.0
2013,Number,lopare,M,unknown_literacy,62.0
2013,Number,lopare,F,unknown_literacy,94.0
2013,Number,ljubinje,Both sexes,unknown_literacy,22.0
2013,Number,ljubinje,M,unknown_literacy,7.0
2013,Number,ljubinje,F,unknown_literacy,15.0
2013,Number,milici,Both sexes,unknown_literacy,157.0
2013,Number,milici,M,unknown_literacy,42.0
2013,Number,milici,F,unknown_literacy,115.0
2013,Number,modrica,Both sexes,unknown_literacy,346.0
2013,Number,modrica,M,unknown_literacy,128.0
2013,Number,modrica,F,unknown_literacy,218.0
2013,Number,mrkonjic_grad,Both sexes,unknown_literacy,177.0
2013,Number,mrkonjic_grad,M,unknown_literacy,65.0
2013,Number,mrkonjic_grad,F,unknown_literacy,112.0
2013,Number,nevesinje,Both sexes,unknown_literacy,95.0
2013,Number,nevesinje,M,unknown_literacy,40.0
2013,Number,nevesinje,F,unknown_literacy,55.0
2013,Number,novi_grad,Both sexes,unknown_literacy,265.0
2013,Number,novi_grad,M,unknown_literacy,96.0
2013,Number,novi_grad,F,unknown_literacy,169.0
2013,Number,novo_gorazde,Both sexes,unknown_literacy,16.0
