Year,UNIT_MEASURE,Administrative area,Sex,Ethnicity/nationality,Value
2013,Number,Vlasenica,M,Bosniak,1646
2013,Number,Vlasenica,F,Bosniak,1714
2013,Number,Vukosavlje,Total,Bosniak,2025
2013,Number,Vukosavlje,M,Bosniak,1034
2013,Number,Vukosavlje,F,Bosniak,991
2013,Number,Gacko,Total,Bosniak,332
2013,Number,Gacko,M,Bosniak,179
2013,Number,Gacko,F,Bosniak,153
2013,Number,City of Gradiska,Total,Bosniak,6266
2013,Number,City of Gradiska,M,Bosniak,3047
2013,Number,City of Gradiska,F,Bosniak,3219
2013,Number,City of Derventa,Total,Bosniak,1686
2013,Number,City of Derventa,M,Bosniak,812
2013,Number,City of Derventa,F,Bosniak,874
2013,Number,City of Doboj,Total,Bosniak,14417
2013,Number,City of Doboj,M,Bosniak,6904
2013,Number,City of Doboj,F,Bosniak,7513
2013,Number,Donji Zabar,Total,Bosniak,4
2013,Number,Donji Zabar,M,Bosniak,0
2013,Number,Donji Zabar,F,Bosniak,4
2013,Number,City of Zvornik,Total,Bosniak,16775
2013,Number,City of Zvornik,M,Bosniak,8206
2013,Number,City of Zvornik,F,Bosniak,8569
2013,Number,East Ilidza,Total,Bosniak,632
2013,Number,East Ilidza,M,Bosniak,293
2013,Number,East Ilidza,F,Bosniak,339
2013,Number,East Drvar,Total,Bosniak,0
2013,Number,East Drvar,M,Bosniak,0
2013,Number,East Drvar,F,Bosniak,0
2013,Number,East Mostar,Total,Bosniak,78
2013,Number,East Mostar,M,Bosniak,45
2013,Number,East Mostar,F,Bosniak,33
2013,Number,East Stari Grad,Total,Bosniak,41
2013,Number,East Stari Grad,M,Bosniak,25
2013,Number,East Stari Grad,F,Bosniak,16
2013,Number,East Novo Sarajevo,Total,Bosniak,44
2013,Number,East Novo Sarajevo,M,Bosniak,14
2013,Number,East Novo Sarajevo,F,Bosniak,30
2013,Number,Jezero,Total,Bosniak,251
2013,Number,Jezero,M,Bosniak,118
2013,Number,Jezero,F,Bosniak,133
2013,Number,Kalinovik,Total,Bosniak,43
2013,Number,Kalinovik,M,Bosniak,19
2013,Number,Kalinovik,F,Bosniak,24
2013,Number,Knezevo,Total,Bosniak,413
2013,Number,Knezevo,M,Bosniak,186
2013,Number,Knezevo,F,Bosniak,227
2013,Number,Kozarska Dubica,Total,Bosniak,1883
2013,Number,Kozarska Dubica,M,Bosniak,906
2013,Number,Kozarska Dubica,F,Bosniak,977
2013,Number,Kostajnica,Total,Bosniak,1276
2013,Number,Kostajnica,M,Bosniak,626
2013,Number,Kostajnica,F,Bosniak,650
2013,Number,Kotor Varos,Total,Bosniak,4516
2013,Number,Kotor Varos,M,Bosniak,2173
2013,Number,Kotor Varos,F,Bosniak,2343
2013,Number,Krupa Na Uni,Total,Bosniak,3
2013,Number,Krupa Na Uni,M,Bosniak,1
2013,Number,Krupa Na Uni,F,Bosniak,2
2013,Number,Kupres,Total,Bosniak,0
2013,Number,Kupres,M,Bosniak,0
2013,Number,Kupres,F,Bosniak,0
2013,Number,Laktasi,Total,Bosniak,104
2013,Number,Laktasi,M,Bosniak,47
2013,Number,Laktasi,F,Bosniak,57
2013,Number,Lopare,Total,Bosniak,1310
2013,Number,Lopare,M,Bosniak,646
2013,Number,Lopare,F,Bosniak,664
2013,Number,Ljubinje,Total,Bosniak,9
2013,Number,Ljubinje,M,Bosniak,5
2013,Number,Ljubinje,F,Bosniak,4
2013,Number,Milici,Total,Bosniak,3532
2013,Number,Milici,M,Bosniak,1746
2013,Number,Milici,F,Bosniak,1786
2013,Number,Modrica,Total,Bosniak,2880
2013,Number,Modrica,M,Bosniak,1364
2013,Number,Modrica,F,Bosniak,1516
2013,Number,Mrkonjic Grad,Total,Bosniak,354
2013,Number,Mrkonjic Grad,M,Bosniak,170
2013,Number,Mrkonjic Grad,F,Bosniak,184
2013,Number,Nevesinje,Total,Bosniak,508
2013,Number,Nevesinje,M,Bosniak,261
2013,Number,Nevesinje,F,Bosniak,247
2013,Number,Novi Grad,Total,Bosniak,5214
2013,Number,Novi Grad,M,Bosniak,2606
2013,Number,Novi Grad,F,Bosniak,2608
2013,Number,Novo Gorazde,Total,Bosniak,1317
2013,Number,Novo Gorazde,M,Bosniak,662
2013,Number,Novo Gorazde,F,Bosniak,655
2013,Number,Osmaci,Total,Bosniak,2673
2013,Number,Osmaci,M,Bosniak,1321
2013,Number,Osmaci,F,Bosniak,1352
2013,Number,Ostra Luka,Total,Bosniak,23
2013,Number,Ostra Luka,M,Bosniak,7
2013,Number,Ostra Luka,F,Bosniak,16
2013,Number,Pale,Total,Bosniak,165
2013,Number,Pale,M,Bosniak,86
2013,Number,Pale,F,Bosniak,79
2013,Number,Pelagicevo,Total,Bosniak,13
2013,Number,Pelagicevo,M,Bosniak,2
2013,Number,Pelagicevo,F,Bosniak,11
2013,Number,Petrovac,Total,Bosniak,0
2013,Number,Petrovac,M,Bosniak,0
2013,Number,Petrovac,F,Bosniak,0
2013,Number,Petrovo,Total,Bosniak,6
2013,Number,Petrovo,M,Bosniak,2
2013,Number,Petrovo,F,Bosniak,4
2013,Number,City of Prijedor,Total,Bosniak,22303
2013,Number,City of Prijedor,M,Bosniak,10669
2013,Number,City of Prijedor,F,Bosniak,11634
2013,Number,Prnjavor,Total,Bosniak,2749
2013,Number,Prnjavor,M,Bosniak,1329
2013,Number,Prnjavor,F,Bosniak,1420
2013,Number,Ribnik,Total,Bosniak,0
2013,Number,Ribnik,M,Bosniak,0
2013,Number,Ribnik,F,Bosniak,0
