Year,UNIT_MEASURE,Administrative area,Household size,Value
2013,Number,Sokolac,5+ members,491
2013,Number,Srbac,5+ members,804
2013,Number,Srebrenica,5+ members,752
2013,Number,Teslic,5+ members,1887
2013,Number,City of Trebinje,5+ members,1593
2013,Number,Trnovo,5+ members,74
2013,Number,Ugljevik,5+ members,977
2013,Number,Foca,5+ members,654
2013,Number,Han Pijesak,5+ members,119
2013,Number,Cajnice,5+ members,244
2013,Number,Celinac,5+ members,849
2013,Number,Samac,5+ members,1001
2013,Number,Sekovici,5+ members,229
2013,Number,Sipovo,5+ members,451
