Year,UNIT_MEASURE,Teritory,Пол,Literacy,Value
2013,Број,KOTOR VAROS,Оба пола,illiterates_percentage,6.30
2013,Број,KOTOR VAROS,M,illiterates_percentage,1.83
2013,Број,KOTOR VAROS,Ж,illiterates_percentage,10.56
2013,Број,KRUPA NA UNI,Оба пола,illiterates_percentage,9.96
2013,Број,KRUPA NA UNI,M,illiterates_percentage,2.67
2013,Број,KRUPA NA UNI,Ж,illiterates_percentage,18.51
2013,Број,KUPRES,Оба пола,illiterates_percentage,28.93
2013,Број,KUPRES,M,illiterates_percentage,18.37
2013,Број,KUPRES,Ж,illiterates_percentage,40.60
2013,Број,LAKTASI,Оба пола,illiterates_percentage,2.45
2013,Број,LAKTASI,M,illiterates_percentage,0.77
2013,Број,LAKTASI,Ж,illiterates_percentage,4.08
2013,Број,LOPARE,Оба пола,illiterates_percentage,5.00
2013,Број,LOPARE,M,illiterates_percentage,1.80
2013,Број,LOPARE,Ж,illiterates_percentage,8.23
2013,Број,LJUBINJE,Оба пола,illiterates_percentage,1.61
2013,Број,LJUBINJE,M,illiterates_percentage,0.33
2013,Број,LJUBINJE,Ж,illiterates_percentage,2.85
2013,Број,MILICI,Оба пола,illiterates_percentage,4.21
2013,Број,MILICI,M,illiterates_percentage,1.07
2013,Број,MILICI,Ж,illiterates_percentage,7.36
2013,Број,MODRICA,Оба пола,illiterates_percentage,3.28
2013,Број,MODRICA,M,illiterates_percentage,1.09
2013,Број,MODRICA,Ж,illiterates_percentage,5.36
2013,Број,MRKONJIC GRAD,Оба пола,illiterates_percentage,5.65
2013,Број,MRKONJIC GRAD,M,illiterates_percentage,1.37
2013,Број,MRKONJIC GRAD,Ж,illiterates_percentage,9.56
2013,Број,NEVESINJE,Оба пола,illiterates_percentage,2.69
2013,Број,NEVESINJE,M,illiterates_percentage,0.57
2013,Број,NEVESINJE,Ж,illiterates_percentage,4.76
2013,Број,NOVI GRAD,Оба пола,illiterates_percentage,2.86
2013,Број,NOVI GRAD,M,illiterates_percentage,0.92
2013,Број,NOVI GRAD,Ж,illiterates_percentage,4.78
2013,Број,NOVO GORAZDE,Оба пола,illiterates_percentage,2.80
2013,Број,NOVO GORAZDE,M,illiterates_percentage,0.36
2013,Број,NOVO GORAZDE,Ж,illiterates_percentage,5.42
2013,Број,OSMACI,Оба пола,illiterates_percentage,5.26
2013,Број,OSMACI,M,illiterates_percentage,1.16
2013,Број,OSMACI,Ж,illiterates_percentage,9.31
2013,Број,OSTRA LUKA,Оба пола,illiterates_percentage,7.94
2013,Број,OSTRA LUKA,M,illiterates_percentage,2.53
2013,Број,OSTRA LUKA,Ж,illiterates_percentage,13.62
2013,Број,PALE,Оба пола,illiterates_percentage,1.58
2013,Број,PALE,M,illiterates_percentage,0.45
2013,Број,PALE,Ж,illiterates_percentage,2.59
2013,Број,PELAGICEVO,Оба пола,illiterates_percentage,4.39
2013,Број,PELAGICEVO,M,illiterates_percentage,1.44
2013,Број,PELAGICEVO,Ж,illiterates_percentage,7.26
2013,Број,PETROVAC,Оба пола,illiterates_percentage,1.86
2013,Број,PETROVAC,Ж,illiterates_percentage,3.49
2013,Број,PETROVO,Оба пола,illiterates_percentage,4.20
2013,Број,PETROVO,M,illiterates_percentage,1.00
2013,Број,PETROVO,Ж,illiterates_percentage,7.14
2013,Број,PRIJEDOR,Оба пола,illiterates_percentage,2.92
