Year,UNIT_MEASURE,City/municipality,Number of children,Value
2013,Number,Grad Prijedor,5+ children,1535
2013,Number,Prnjavor,5+ children,610
2013,Number,Ribnik,5+ children,162
2013,Number,Rogatica,5+ children,143
2013,Number,Rudo,5+ children,92
2013,Number,Sokolac,5+ children,104
2013,Number,Srbac,5+ children,217
2013,Number,Srebrenica,5+ children,362
2013,Number,Teslić,5+ children,1100
2013,Number,Grad Trebinje,5+ children,145
2013,Number,Trnovo,5+ children,22
2013,Number,Ugljevik,5+ children,161
2013,Number,Foča,5+ children,218
2013,Number,Han Pijesak,5+ children,47
2013,Number,Čajniče,5+ children,72
2013,Number,Čelinac,5+ children,311
2013,Number,Šamac,5+ children,151
2013,Number,Šekovići,5+ children,174
2013,Number,Šipovo,5+ children,306
