Year,UNIT_MEASURE,Administrativna oblast,NO_OF_CHILDREN,Value
2013,Broj,Han Pijesak,3 djece,282
2013,Broj,Čajniče,3 djece,408
2013,Broj,Čelinac,3 djece,1172
2013,Broj,Šamac,3 djece,962
2013,Broj,Šekovići,3 djece,558
2013,Broj,Šipovo,3 djece,787
2013,Broj,Republika Srpska,4 djece,22659
2013,Broj,Grad Banja Luka,4 djece,2049
2013,Broj,Berkovići,4 djece,76
2013,Broj,Grad Bijeljina,4 djece,1410
2013,Broj,Bileća,4 djece,351
2013,Broj,Bratunac,4 djece,492
2013,Broj,Brod,4 djece,303
2013,Broj,Višegrad,4 djece,194
2013,Broj,Vlasenica,4 djece,266
2013,Broj,Vukosavlje,4 djece,148
2013,Broj,Gacko,4 djece,273
2013,Broj,Grad Gradiška,4 djece,817
2013,Broj,Grad Derventa,4 djece,506
2013,Broj,Grad Doboj,4 djece,1337
2013,Broj,Donji Žabar,4 djece,69
2013,Broj,Grad Zvornik,4 djece,1267
2013,Broj,Istočna Ilidža,4 djece,111
2013,Broj,Istočni Drvar,4 djece,0
2013,Broj,Istočni Mostar,4 djece,5
2013,Broj,Istočni Stari Grad,4 djece,23
2013,Broj,Istočno Novo Sarajevo,4 djece,82
2013,Broj,Jezero,4 djece,34
2013,Broj,Kalinovik,4 djece,53
2013,Broj,Kneževo,4 djece,317
2013,Broj,Kozarska Dubica,4 djece,294
2013,Broj,Kostajnica,4 djece,70
2013,Broj,Kotor Varoš,4 djece,635
2013,Broj,Krupa Na Uni,4 djece,61
2013,Broj,Kupres,4 djece,13
2013,Broj,Laktaši,4 djece,549
2013,Broj,Lopare,4 djece,301
2013,Broj,Ljubinje,4 djece,74
2013,Broj,Milići,4 djece,277
2013,Broj,Modriča,4 djece,548
2013,Broj,Mrkonjić Grad,4 djece,393
2013,Broj,Nevesinje,4 djece,395
2013,Broj,Novi Grad,4 djece,583
2013,Broj,Novo Goražde,4 djece,55
2013,Broj,Osmaci,4 djece,171
2013,Broj,Oštra Luka,4 djece,105
2013,Broj,Pale,4 djece,235
2013,Broj,Pelagićevo,4 djece,133
2013,Broj,Petrovac,4 djece,2
2013,Broj,Petrovo,4 djece,91
2013,Broj,Grad Prijedor,4 djece,1761
2013,Broj,Prnjavor,4 djece,769
2013,Broj,Ribnik,4 djece,198
2013,Broj,Rogatica,4 djece,259
2013,Broj,Rudo,4 djece,201
2013,Broj,Sokolac,4 djece,206
2013,Broj,Srbac,4 djece,306
2013,Broj,Srebrenica,4 djece,358
2013,Broj,Teslić,4 djece,1010
2013,Broj,Grad Trebinje,4 djece,463
2013,Broj,Trnovo,4 djece,45
2013,Broj,Ugljevik,4 djece,264
2013,Broj,Foča,4 djece,348
2013,Broj,Han Pijesak,4 djece,75
2013,Broj,Čajniče,4 djece,140
2013,Broj,Čelinac,4 djece,385
2013,Broj,Šamac,4 djece,235
2013,Broj,Šekovići,4 djece,193
2013,Broj,Šipovo,4 djece,275
2013,Broj,Republika Srpska,5 i više djece,17275
2013,Broj,Grad Banja Luka,5 i više djece,1552
2013,Broj,Berkovići,5 i više djece,37
2013,Broj,Grad Bijeljina,5 i više djece,882
2013,Broj,Bileća,5 i više djece,169
2013,Broj,Bratunac,5 i više djece,489
2013,Broj,Brod,5 i više djece,224
2013,Broj,Višegrad,5 i više djece,123
2013,Broj,Vlasenica,5 i više djece,254
2013,Broj,Vukosavlje,5 i više djece,140
2013,Broj,Gacko,5 i više djece,133
2013,Broj,Grad Gradiška,5 i više djece,677
2013,Broj,Grad Derventa,5 i više djece,372
2013,Broj,Grad Doboj,5 i više djece,1006
2013,Broj,Donji Žabar,5 i više djece,50
2013,Broj,Grad Zvornik,5 i više djece,1008
2013,Broj,Istočna Ilidža,5 i više djece,54
2013,Broj,Istočni Drvar,5 i više djece,0
2013,Broj,Istočni Mostar,5 i više djece,7
2013,Broj,Istočni Stari Grad,5 i više djece,7
2013,Broj,Istočno Novo Sarajevo,5 i više djece,30
2013,Broj,Jezero,5 i više djece,26
2013,Broj,Kalinovik,5 i više djece,43
2013,Broj,Kneževo,5 i više djece,365
2013,Broj,Kozarska Dubica,5 i više djece,165
2013,Broj,Kostajnica,5 i više djece,47
2013,Broj,Kotor Varoš,5 i više djece,617
2013,Broj,Krupa Na Uni,5 i više djece,65
2013,Broj,Kupres,5 i više djece,10
2013,Broj,Laktaši,5 i više djece,306
2013,Broj,Lopare,5 i više djece,209
2013,Broj,Ljubinje,5 i više djece,41
2013,Broj,Milići,5 i više djece,239
2013,Broj,Modriča,5 i više djece,366
2013,Broj,Mrkonjić Grad,5 i više djece,295
2013,Broj,Nevesinje,5 i više djece,204
2013,Broj,Novi Grad,5 i više djece,543
2013,Broj,Novo Goražde,5 i više djece,42
2013,Broj,Osmaci,5 i više djece,175
2013,Broj,Oštra Luka,5 i više djece,102
2013,Broj,Pale,5 i više djece,95
2013,Broj,Pelagićevo,5 i više djece,109
2013,Broj,Petrovac,5 i više djece,0
2013,Broj,Petrovo,5 i više djece,65
2013,Broj,Grad Prijedor,5 i više djece,1535
2013,Broj,Prnjavor,5 i više djece,610
2013,Broj,Ribnik,5 i više djece,162
2013,Broj,Rogatica,5 i više djece,143
2013,Broj,Rudo,5 i više djece,92
2013,Broj,Sokolac,5 i više djece,104
2013,Broj,Srbac,5 i više djece,217
2013,Broj,Srebrenica,5 i više djece,362
2013,Broj,Teslić,5 i više djece,1100
2013,Broj,Grad Trebinje,5 i više djece,145
2013,Broj,Trnovo,5 i više djece,22
2013,Broj,Ugljevik,5 i više djece,161
2013,Broj,Foča,5 i više djece,218
2013,Broj,Han Pijesak,5 i više djece,47
2013,Broj,Čajniče,5 i više djece,72
2013,Broj,Čelinac,5 i više djece,311
2013,Broj,Šamac,5 i više djece,151
2013,Broj,Šekovići,5 i više djece,174
2013,Broj,Šipovo,5 i više djece,306
