Year,UNIT_MEASURE,ADMIN_AREA,SEX,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,NUMBER,novi_grad,_T,3_members,1669.0
2013,NUMBER,novo_gorazde,M,3_members,193.0
2013,NUMBER,osmaci,F,3_members,317.0
2013,NUMBER,ostra_luka,_T,3_members,151.0
2013,NUMBER,pale,M,3_members,1438.0
2013,NUMBER,pelagicevo,F,3_members,225.0
2013,NUMBER,petrovac,_T,3_members,22.0
2013,NUMBER,petrovo,M,3_members,448.0
2013,NUMBER,grad_prijedor,F,3_members,5351.0
2013,NUMBER,prnjavor,_T,3_members,2183.0
2013,NUMBER,ribnik,M,3_members,356.0
2013,NUMBER,rogatica,F,3_members,709.0
2013,NUMBER,rudo,_T,3_members,523.0
2013,NUMBER,sokolac,M,3_members,808.0
2013,NUMBER,srbac,F,3_members,1106.0
2013,NUMBER,srebrenica,_T,3_members,656.0
2013,NUMBER,teslic,M,3_members,2559.0
2013,NUMBER,grad_trebinje,F,3_members,1871.0
2013,NUMBER,trnovo,_T,3_members,143.0
2013,NUMBER,ugljevik,M,3_members,821.0
2013,NUMBER,foca,F,3_members,1263.0
2013,NUMBER,han_pijesak,_T,3_members,249.0
2013,NUMBER,cajnice,M,3_members,303.0
2013,NUMBER,celinac,F,3_members,985.0
2013,NUMBER,samac,_T,3_members,971.0
2013,NUMBER,sekovici,M,3_members,418.0
2013,NUMBER,sipovo,F,3_members,696.0
2013,NUMBER,republika_srpska,_T,4_members,72771.0
2013,NUMBER,grad_banja_luka,M,4_members,12952.0
2013,NUMBER,berkovici,F,4_members,84.0
2013,NUMBER,grad_bijeljina,_T,4_members,6377.0
2013,NUMBER,bileca,M,4_members,616.0
2013,NUMBER,bratunac,F,4_members,1161.0
2013,NUMBER,brod,_T,4_members,928.0
2013,NUMBER,visegrad,M,4_members,582.0
2013,NUMBER,vlasenica,F,4_members,687.0
2013,NUMBER,vukosavlje,_T,4_members,249.0
2013,NUMBER,gacko,M,4_members,480.0
2013,NUMBER,grad_gradiska,F,4_members,2878.0
2013,NUMBER,grad_derventa,_T,4_members,1520.0
2013,NUMBER,grad_doboj,M,4_members,4148.0
2013,NUMBER,donji_zabar,F,4_members,184.0
2013,NUMBER,grad_zvornik,_T,4_members,3448.0
2013,NUMBER,istocna_ilidza,M,4_members,1028.0
2013,NUMBER,istocni_drvar,F,4_members,0.0
2013,NUMBER,istocni_mostar,_T,4_members,10.0
2013,NUMBER,istocni_stari_grad,M,4_members,43.0
2013,NUMBER,istocno_novo_sarajevo,F,4_members,702.0
2013,NUMBER,jezero,_T,4_members,58.0
2013,NUMBER,kalinovik,M,4_members,109.0
2013,NUMBER,knezevo,F,4_members,551.0
2013,NUMBER,kozarska_dubica,_T,4_members,1175.0
2013,NUMBER,kostajnica,M,4_members,311.0
2013,NUMBER,kotor_varos,F,4_members,1206.0
2013,NUMBER,krupa_na_uni,_T,4_members,72.0
2013,NUMBER,kupres,M,4_members,6.0
2013,NUMBER,laktasi,F,4_members,2345.0
2013,NUMBER,lopare,_T,4_members,805.0
2013,NUMBER,ljubinje,M,4_members,194.0
2013,NUMBER,milici,F,4_members,714.0
2013,NUMBER,modrica,_T,4_members,1422.0
2013,NUMBER,mrkonjic_grad,M,4_members,939.0
2013,NUMBER,nevesinje,F,4_members,736.0
2013,NUMBER,novi_grad,_T,4_members,1422.0
2013,NUMBER,novo_gorazde,M,4_members,204.0
2013,NUMBER,osmaci,F,4_members,358.0
2013,NUMBER,ostra_luka,_T,4_members,131.0
2013,NUMBER,pale,M,4_members,1418.0
2013,NUMBER,pelagicevo,F,4_members,191.0
2013,NUMBER,petrovac,_T,4_members,19.0
2013,NUMBER,petrovo,M,4_members,370.0
2013,NUMBER,grad_prijedor,F,4_members,4862.0
2013,NUMBER,prnjavor,_T,4_members,1953.0
2013,NUMBER,ribnik,M,4_members,308.0
2013,NUMBER,rogatica,F,4_members,630.0
2013,NUMBER,rudo,_T,4_members,467.0
2013,NUMBER,sokolac,M,4_members,728.0
2013,NUMBER,srbac,F,4_members,1011.0
2013,NUMBER,srebrenica,_T,4_members,652.0
2013,NUMBER,teslic,M,4_members,2147.0
2013,NUMBER,grad_trebinje,F,4_members,1765.0
2013,NUMBER,trnovo,_T,4_members,110.0
2013,NUMBER,ugljevik,M,4_members,932.0
2013,NUMBER,foca,F,4_members,1115.0
2013,NUMBER,han_pijesak,_T,4_members,194.0
2013,NUMBER,cajnice,M,4_members,278.0
2013,NUMBER,celinac,F,4_members,964.0
2013,NUMBER,samac,_T,4_members,823.0
2013,NUMBER,sekovici,M,4_members,379.0
2013,NUMBER,sipovo,F,4_members,620.0
2013,NUMBER,republika_srpska,_T,5+_members,58469.0
2013,NUMBER,grad_banja_luka,M,5+_members,6564.0
2013,NUMBER,berkovici,F,5+_members,165.0
2013,NUMBER,grad_bijeljina,_T,5+_members,6090.0
2013,NUMBER,bileca,M,5+_members,723.0
2013,NUMBER,bratunac,F,5+_members,1147.0
2013,NUMBER,brod,_T,5+_members,765.0
2013,NUMBER,visegrad,M,5+_members,356.0
2013,NUMBER,vlasenica,F,5+_members,509.0
2013,NUMBER,vukosavlje,_T,5+_members,235.0
2013,NUMBER,gacko,M,5+_members,581.0
2013,NUMBER,grad_gradiska,F,5+_members,2701.0
2013,NUMBER,grad_derventa,_T,5+_members,1269.0
2013,NUMBER,grad_doboj,M,5+_members,2871.0
2013,NUMBER,donji_zabar,F,5+_members,268.0
2013,NUMBER,grad_zvornik,_T,5+_members,3231.0
2013,NUMBER,istocna_ilidza,M,5+_members,613.0
2013,NUMBER,istocni_drvar,F,5+_members,1.0
2013,NUMBER,istocni_mostar,_T,5+_members,17.0
2013,NUMBER,istocni_stari_grad,M,5+_members,51.0
2013,NUMBER,istocno_novo_sarajevo,F,5+_members,389.0
2013,NUMBER,jezero,_T,5+_members,57.0
2013,NUMBER,kalinovik,M,5+_members,80.0
2013,NUMBER,knezevo,F,5+_members,515.0
2013,NUMBER,kozarska_dubica,_T,5+_members,1047.0
2013,NUMBER,kostajnica,M,5+_members,340.0
2013,NUMBER,kotor_varos,F,5+_members,1131.0
2013,NUMBER,krupa_na_uni,_T,5+_members,100.0
2013,NUMBER,kupres,M,5+_members,14.0
2013,NUMBER,laktasi,F,5+_members,1846.0
2013,NUMBER,lopare,_T,5+_members,851.0
2013,NUMBER,ljubinje,M,5+_members,199.0
2013,NUMBER,milici,F,5+_members,508.0
2013,NUMBER,modrica,_T,5+_members,1249.0
2013,NUMBER,mrkonjic_grad,M,5+_members,603.0
2013,NUMBER,nevesinje,F,5+_members,843.0
2013,NUMBER,novi_grad,_T,5+_members,1346.0
2013,NUMBER,novo_gorazde,M,5+_members,123.0
2013,NUMBER,osmaci,F,5+_members,374.0
2013,NUMBER,ostra_luka,_T,5+_members,169.0
2013,NUMBER,pale,M,5+_members,897.0
2013,NUMBER,pelagicevo,F,5+_members,215.0
2013,NUMBER,petrovac,_T,5+_members,20.0
2013,NUMBER,petrovo,M,5+_members,228.0
2013,NUMBER,grad_prijedor,F,5+_members,4200.0
2013,NUMBER,prnjavor,_T,5+_members,1834.0
2013,NUMBER,ribnik,M,5+_members,273.0
2013,NUMBER,rogatica,F,5+_members,426.0
2013,NUMBER,rudo,_T,5+_members,310.0
2013,NUMBER,sokolac,M,5+_members,491.0
2013,NUMBER,srbac,F,5+_members,804.0
2013,NUMBER,srebrenica,_T,5+_members,752.0
2013,NUMBER,teslic,M,5+_members,1887.0
2013,NUMBER,grad_trebinje,F,5+_members,1593.0
2013,NUMBER,trnovo,_T,5+_members,74.0
2013,NUMBER,ugljevik,M,5+_members,977.0
2013,NUMBER,foca,F,5+_members,654.0
2013,NUMBER,han_pijesak,_T,5+_members,119.0
2013,NUMBER,cajnice,M,5+_members,244.0
2013,NUMBER,celinac,F,5+_members,849.0
2013,NUMBER,samac,_T,5+_members,1001.0
