Year,UNIT_MEASURE,Teritory,SEX,BIRTHS,Value
2013,NUMBER,ugljevik,F,one_child,797
2013,NUMBER,foca,F,one_child,829
2013,NUMBER,han_pijesak,F,one_child,200
2013,NUMBER,cajnice,F,one_child,203
2013,NUMBER,celinac,F,one_child,640
2013,NUMBER,samac,F,one_child,1094
2013,NUMBER,sekovici,F,one_child,241
2013,NUMBER,sipovo,F,one_child,367
2013,NUMBER,republika_srpska,F,two_children,201271
2013,NUMBER,grad_banja_luka,F,two_children,32459
2013,NUMBER,berkovici,F,two_children,239
2013,NUMBER,grad_bijeljina,F,two_children,19232
2013,NUMBER,bileca,F,two_children,1326
2013,NUMBER,bratunac,F,two_children,2792
2013,NUMBER,brod,F,two_children,2580
2013,NUMBER,visegrad,F,two_children,1848
2013,NUMBER,vlasenica,F,two_children,1665
2013,NUMBER,vukosavlje,F,two_children,559
2013,NUMBER,gacko,F,two_children,1059
2013,NUMBER,grad_gradiska,F,two_children,8900
2013,NUMBER,grad_derventa,F,two_children,4439
2013,NUMBER,grad_doboj,F,two_children,12173
2013,NUMBER,donji_zabar,F,two_children,593
2013,NUMBER,grad_zvornik,F,two_children,8830
2013,NUMBER,istocna_ilidza,F,two_children,2779
2013,NUMBER,istocni_drvar,F,two_children,10
2013,NUMBER,istocni_mostar,F,two_children,33
2013,NUMBER,istocni_stari_grad,F,two_children,228
2013,NUMBER,istocno_novo_sarajevo,F,two_children,1900
2013,NUMBER,jezero,F,two_children,148
2013,NUMBER,kalinovik,F,two_children,319
2013,NUMBER,knezevo,F,two_children,1392
2013,NUMBER,kozarska_dubica,F,two_children,4143
2013,NUMBER,kostajnica,F,two_children,1052
2013,NUMBER,kotor_varos,F,two_children,2402
2013,NUMBER,krupa_na_uni,F,two_children,192
2013,NUMBER,kupres,F,two_children,40
2013,NUMBER,laktasi,F,two_children,6184
2013,NUMBER,lopare,F,two_children,2505
2013,NUMBER,ljubinje,F,two_children,553
2013,NUMBER,milici,F,two_children,1495
2013,NUMBER,modrica,F,two_children,4165
2013,NUMBER,mrkonjic_grad,F,two_children,2860
2013,NUMBER,nevesinje,F,two_children,1754
2013,NUMBER,novi_grad,F,two_children,4409
2013,NUMBER,novo_gorazde,F,two_children,422
2013,NUMBER,osmaci,F,two_children,797
2013,NUMBER,ostra_luka,F,two_children,344
2013,NUMBER,pale,F,two_children,3827
2013,NUMBER,pelagicevo,F,two_children,665
2013,NUMBER,petrovac,F,two_children,82
2013,NUMBER,petrovo,F,two_children,1379
2013,NUMBER,grad_prijedor,F,two_children,13567
2013,NUMBER,prnjavor,F,two_children,6044
2013,NUMBER,ribnik,F,two_children,909
2013,NUMBER,rogatica,F,two_children,1710
2013,NUMBER,rudo,F,two_children,1350
2013,NUMBER,sokolac,F,two_children,2140
2013,NUMBER,srbac,F,two_children,3026
2013,NUMBER,srebrenica,F,two_children,1722
2013,NUMBER,teslic,F,two_children,5747
2013,NUMBER,grad_trebinje,F,two_children,4888
2013,NUMBER,trnovo,F,two_children,376
2013,NUMBER,ugljevik,F,two_children,2613
2013,NUMBER,foca,F,two_children,2985
2013,NUMBER,han_pijesak,F,two_children,636
2013,NUMBER,cajnice,F,two_children,677
2013,NUMBER,celinac,F,two_children,2447
2013,NUMBER,samac,F,two_children,3141
2013,NUMBER,sekovici,F,two_children,982
2013,NUMBER,sipovo,F,two_children,1538
2013,NUMBER,republika_srpska,F,three_children,75481
2013,NUMBER,grad_banja_luka,F,three_children,8070
2013,NUMBER,berkovici,F,three_children,217
2013,NUMBER,grad_bijeljina,F,three_children,5831
2013,NUMBER,bileca,F,three_children,977
2013,NUMBER,bratunac,F,three_children,1431
2013,NUMBER,brod,F,three_children,1080
2013,NUMBER,visegrad,F,three_children,712
2013,NUMBER,vlasenica,F,three_children,713
2013,NUMBER,vukosavlje,F,three_children,347
2013,NUMBER,gacko,F,three_children,776
2013,NUMBER,grad_gradiska,F,three_children,3006
2013,NUMBER,grad_derventa,F,three_children,1724
2013,NUMBER,grad_doboj,F,three_children,4326
2013,NUMBER,donji_zabar,F,three_children,250
2013,NUMBER,grad_zvornik,F,three_children,4031
2013,NUMBER,istocna_ilidza,F,three_children,680
2013,NUMBER,istocni_drvar,F,three_children,3
2013,NUMBER,istocni_mostar,F,three_children,15
2013,NUMBER,istocni_stari_grad,F,three_children,83
2013,NUMBER,istocno_novo_sarajevo,F,three_children,443
2013,NUMBER,jezero,F,three_children,77
2013,NUMBER,kalinovik,F,three_children,171
2013,NUMBER,knezevo,F,three_children,808
2013,NUMBER,kozarska_dubica,F,three_children,1200
2013,NUMBER,kostajnica,F,three_children,277
2013,NUMBER,kotor_varos,F,three_children,1502
2013,NUMBER,krupa_na_uni,F,three_children,142
2013,NUMBER,kupres,F,three_children,27
2013,NUMBER,laktasi,F,three_children,2018
2013,NUMBER,lopare,F,three_children,1040
2013,NUMBER,ljubinje,F,three_children,328
2013,NUMBER,milici,F,three_children,838
2013,NUMBER,modrica,F,three_children,1652
2013,NUMBER,mrkonjic_grad,F,three_children,1314
2013,NUMBER,nevesinje,F,three_children,1064
2013,NUMBER,novi_grad,F,three_children,1483
2013,NUMBER,novo_gorazde,F,three_children,192
2013,NUMBER,osmaci,F,three_children,427
2013,NUMBER,ostra_luka,F,three_children,266
2013,NUMBER,pale,F,three_children,1048
2013,NUMBER,pelagicevo,F,three_children,364
2013,NUMBER,petrovac,F,three_children,19
2013,NUMBER,petrovo,F,three_children,379
2013,NUMBER,grad_prijedor,F,three_children,5168
2013,NUMBER,prnjavor,F,three_children,2451
2013,NUMBER,ribnik,F,three_children,572
2013,NUMBER,rogatica,F,three_children,824
2013,NUMBER,rudo,F,three_children,604
