Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,Teslić,Ž,Ukupno,17529.0
2013,Broj,Grad Trebinje,Oba spola,Ukupno,25447.0
2013,Broj,Grad Trebinje,M,Ukupno,12305.0
2013,Broj,Grad Trebinje,Ž,Ukupno,13142.0
2013,Broj,Trnovo,Oba spola,Ukupno,1852.0
2013,Broj,Trnovo,M,Ukupno,887.0
2013,Broj,Trnovo,Ž,Ukupno,965.0
2013,Broj,Ugljevik,Oba spola,Ukupno,13720.0
2013,Broj,Ugljevik,M,Ukupno,6891.0
2013,Broj,Ugljevik,Ž,Ukupno,6829.0
2013,Broj,Foča,Oba spola,Ukupno,16227.0
2013,Broj,Foča,M,Ukupno,8147.0
2013,Broj,Foča,Ž,Ukupno,8080.0
2013,Broj,Han Pijesak,Oba spola,Ukupno,3187.0
2013,Broj,Han Pijesak,M,Ukupno,1496.0
2013,Broj,Han Pijesak,Ž,Ukupno,1691.0
2013,Broj,Čajniče,Oba spola,Ukupno,4289.0
2013,Broj,Čajniče,M,Ukupno,2164.0
2013,Broj,Čajniče,Ž,Ukupno,2125.0
2013,Broj,Čelinac,Oba spola,Ukupno,13636.0
2013,Broj,Čelinac,M,Ukupno,6711.0
2013,Broj,Čelinac,Ž,Ukupno,6925.0
2013,Broj,Šamac,Oba spola,Ukupno,15072.0
2013,Broj,Šamac,M,Ukupno,7273.0
2013,Broj,Šamac,Ž,Ukupno,7799.0
2013,Broj,Šekovići,Oba spola,Ukupno,5816.0
2013,Broj,Šekovići,M,Ukupno,2868.0
2013,Broj,Šekovići,Ž,Ukupno,2948.0
2013,Broj,Šipovo,Oba spola,Ukupno,9092.0
2013,Broj,Šipovo,M,Ukupno,4575.0
2013,Broj,Šipovo,Ž,Ukupno,4517.0
2013,Broj,Republika Srpska,Oba spola,illiterate,34928.0
2013,Broj,Republika Srpska,M,illiterate,4987.0
2013,Broj,Republika Srpska,Ž,illiterate,29941.0
2013,Broj,Grad Banja Luka,Oba spola,illiterate,3503.0
2013,Broj,Grad Banja Luka,M,illiterate,509.0
2013,Broj,Grad Banja Luka,Ž,illiterate,2994.0
2013,Broj,Berkovići,Oba spola,illiterate,47.0
