Year,UNIT_MEASURE,Teritory,Spol,Starosna dob,Value
2013,Broj,GRAD GRADISKA,Oba spola,5-9,2159
2013,Broj,GRAD GRADISKA,M,5-9,1102
2013,Broj,GRAD GRADISKA,Ž,5-9,1057
2013,Broj,GRAD DERVENTA,Oba spola,5-9,1168
2013,Broj,GRAD DERVENTA,M,5-9,607
2013,Broj,GRAD DERVENTA,Ž,5-9,561
2013,Broj,GRAD DOBOJ,Oba spola,5-9,2914
2013,Broj,GRAD DOBOJ,M,5-9,1452
2013,Broj,GRAD DOBOJ,Ž,5-9,1462
2013,Broj,DONJI ZABAR,Oba spola,5-9,174
2013,Broj,DONJI ZABAR,M,5-9,99
2013,Broj,DONJI ZABAR,Ž,5-9,75
2013,Broj,GRAD ZVORNIK,Oba spola,5-9,2948
2013,Broj,GRAD ZVORNIK,M,5-9,1518
2013,Broj,GRAD ZVORNIK,Ž,5-9,1430
2013,Broj,ISTOCNI DRVAR,Oba spola,5-9,1
2013,Broj,ISTOCNI DRVAR,M,5-9,1
2013,Broj,ISTOCNI DRVAR,Ž,5-9,-
2013,Broj,ISTOCNI MOSTAR,Oba spola,5-9,11
2013,Broj,ISTOCNI MOSTAR,M,5-9,6
2013,Broj,ISTOCNI MOSTAR,Ž,5-9,5
2013,Broj,GRAD ISTOCNO SARAJEVO,Oba spola,5-9,2643
2013,Broj,GRAD ISTOCNO SARAJEVO,M,5-9,1330
2013,Broj,GRAD ISTOCNO SARAJEVO,Ž,5-9,1313
2013,Broj,ISTOCNA ILIDZA,Oba spola,5-9,658
2013,Broj,ISTOCNA ILIDZA,M,5-9,321
2013,Broj,ISTOCNA ILIDZA,Ž,5-9,337
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,5-9,479
2013,Broj,ISTOCNO NOVO SARAJEVO,M,5-9,239
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,5-9,240
2013,Broj,ISTOČNI STARI GRAD,Oba spola,5-9,39
2013,Broj,ISTOČNI STARI GRAD,M,5-9,22
2013,Broj,ISTOČNI STARI GRAD,Ž,5-9,17
2013,Broj,PALE,Oba spola,5-9,870
2013,Broj,PALE,M,5-9,442
2013,Broj,PALE,Ž,5-9,428
2013,Broj,SOKOLAC,Oba spola,5-9,533
2013,Broj,SOKOLAC,M,5-9,269
2013,Broj,SOKOLAC,Ž,5-9,264
2013,Broj,TRNOVO,Oba spola,5-9,64
2013,Broj,TRNOVO,M,5-9,37
2013,Broj,TRNOVO,Ž,5-9,27
2013,Broj,JEZERO,Oba spola,5-9,52
2013,Broj,JEZERO,M,5-9,24
2013,Broj,JEZERO,Ž,5-9,28
2013,Broj,KALINOVIK,Oba spola,5-9,67
2013,Broj,KALINOVIK,M,5-9,29
2013,Broj,KALINOVIK,Ž,5-9,38
2013,Broj,KNEZEVO,Oba spola,5-9,399
2013,Broj,KNEZEVO,M,5-9,206
2013,Broj,KNEZEVO,Ž,5-9,193
2013,Broj,KOSTAJNICA,Oba spola,5-9,225
2013,Broj,KOSTAJNICA,M,5-9,122
2013,Broj,KOSTAJNICA,Ž,5-9,103
2013,Broj,KOTOR VAROS,Oba spola,5-9,958
2013,Broj,KOTOR VAROS,M,5-9,489
2013,Broj,KOTOR VAROS,Ž,5-9,469
2013,Broj,KOZARSKA DUBICA,Oba spola,5-9,816
2013,Broj,KOZARSKA DUBICA,M,5-9,409
2013,Broj,KOZARSKA DUBICA,Ž,5-9,407
2013,Broj,KRUPA NA UNI,Oba spola,5-9,56
2013,Broj,KRUPA NA UNI,M,5-9,29
2013,Broj,KRUPA NA UNI,Ž,5-9,27
2013,Broj,KUPRES,Oba spola,5-9,8
2013,Broj,KUPRES,M,5-9,5
2013,Broj,KUPRES,Ž,5-9,3
2013,Broj,LAKTASI,Oba spola,5-9,1847
2013,Broj,LAKTASI,M,5-9,937
2013,Broj,LAKTASI,Ž,5-9,910
2013,Broj,LOPARE,Oba spola,5-9,590
2013,Broj,LOPARE,M,5-9,298
2013,Broj,LOPARE,Ž,5-9,292
2013,Broj,LJUBINJE,Oba spola,5-9,127
2013,Broj,LJUBINJE,M,5-9,62
2013,Broj,LJUBINJE,Ž,5-9,65
2013,Broj,MILICI,Oba spola,5-9,498
2013,Broj,MILICI,M,5-9,257
2013,Broj,MILICI,Ž,5-9,241
2013,Broj,MODRICA,Oba spola,5-9,1130
2013,Broj,MODRICA,M,5-9,570
2013,Broj,MODRICA,Ž,5-9,560
2013,Broj,MRKONJIC GRAD,Oba spola,5-9,734
2013,Broj,MRKONJIC GRAD,M,5-9,383
2013,Broj,MRKONJIC GRAD,Ž,5-9,351
2013,Broj,NEVESINJE,Oba spola,5-9,640
2013,Broj,NEVESINJE,M,5-9,320
2013,Broj,NEVESINJE,Ž,5-9,320
2013,Broj,NOVI GRAD,Oba spola,5-9,1001
2013,Broj,NOVI GRAD,M,5-9,523
2013,Broj,NOVI GRAD,Ž,5-9,478
2013,Broj,NOVO GORAZDE,Oba spola,5-9,94
2013,Broj,NOVO GORAZDE,M,5-9,40
2013,Broj,NOVO GORAZDE,Ž,5-9,54
2013,Broj,OSMACI,Oba spola,5-9,261
2013,Broj,OSMACI,M,5-9,136
2013,Broj,OSMACI,Ž,5-9,125
2013,Broj,OSTRA LUKA,Oba spola,5-9,137
2013,Broj,OSTRA LUKA,M,5-9,75
2013,Broj,OSTRA LUKA,Ž,5-9,62
2013,Broj,PELAGICEVO,Oba spola,5-9,157
2013,Broj,PELAGICEVO,M,5-9,82
2013,Broj,PELAGICEVO,Ž,5-9,75
2013,Broj,PETROVAC,Oba spola,5-9,18
2013,Broj,PETROVAC,M,5-9,9
2013,Broj,PETROVAC,Ž,5-9,9
2013,Broj,PETROVO,Oba spola,5-9,226
2013,Broj,PETROVO,M,5-9,110
2013,Broj,PETROVO,Ž,5-9,116
2013,Broj,GRAD PRIJEDOR,Oba spola,5-9,3337
2013,Broj,GRAD PRIJEDOR,M,5-9,1733
2013,Broj,GRAD PRIJEDOR,Ž,5-9,1604
2013,Broj,PRNJAVOR,Oba spola,5-9,1591
2013,Broj,PRNJAVOR,M,5-9,805
2013,Broj,PRNJAVOR,Ž,5-9,786
2013,Broj,RIBNIK,Oba spola,5-9,255
2013,Broj,RIBNIK,M,5-9,136
2013,Broj,RIBNIK,Ž,5-9,119
2013,Broj,ROGATICA,Oba spola,5-9,464
2013,Broj,ROGATICA,M,5-9,245
2013,Broj,ROGATICA,Ž,5-9,219
2013,Broj,RUDO,Oba spola,5-9,311
2013,Broj,RUDO,M,5-9,164
2013,Broj,RUDO,Ž,5-9,147
2013,Broj,SRBAC,Oba spola,5-9,736
2013,Broj,SRBAC,M,5-9,373
2013,Broj,SRBAC,Ž,5-9,363
2013,Broj,SREBRENICA,Oba spola,5-9,489
2013,Broj,SREBRENICA,M,5-9,238
2013,Broj,SREBRENICA,Ž,5-9,251
2013,Broj,STANARI,Oba spola,5-9,293
2013,Broj,STANARI,M,5-9,156
2013,Broj,STANARI,Ž,5-9,137
2013,Broj,TESLIC,Oba spola,5-9,1914
2013,Broj,TESLIC,M,5-9,1000
2013,Broj,TESLIC,Ž,5-9,914
2013,Broj,GRAD TREBINJE,Oba spola,5-9,1399
2013,Broj,GRAD TREBINJE,M,5-9,709
2013,Broj,GRAD TREBINJE,Ž,5-9,690
2013,Broj,UGLJEVIK,Oba spola,5-9,734
2013,Broj,UGLJEVIK,M,5-9,369
2013,Broj,UGLJEVIK,Ž,5-9,365
2013,Broj,FOCA,Oba spola,5-9,716
2013,Broj,FOCA,M,5-9,374
2013,Broj,FOCA,Ž,5-9,342
2013,Broj,HAN PIJESAK,Oba spola,5-9,122
2013,Broj,HAN PIJESAK,M,5-9,65
2013,Broj,HAN PIJESAK,Ž,5-9,57
2013,Broj,CAJNICE,Oba spola,5-9,205
2013,Broj,CAJNICE,M,5-9,95
2013,Broj,CAJNICE,Ž,5-9,110
2013,Broj,CELINAC,Oba spola,5-9,733
2013,Broj,CELINAC,M,5-9,376
2013,Broj,CELINAC,Ž,5-9,357
2013,Broj,SAMAC,Oba spola,5-9,663
2013,Broj,SAMAC,M,5-9,344
2013,Broj,SAMAC,Ž,5-9,319
2013,Broj,SEKOVICI,Oba spola,5-9,273
2013,Broj,SEKOVICI,M,5-9,119
2013,Broj,SEKOVICI,Ž,5-9,154
2013,Broj,SIPOVO,Oba spola,5-9,464
2013,Broj,SIPOVO,M,5-9,245
2013,Broj,SIPOVO,Ž,5-9,219
2013,Broj,REPUBLIKA SRPSKA,Oba spola,10-14,58024
2013,Broj,REPUBLIKA SRPSKA,M,10-14,29826
2013,Broj,REPUBLIKA SRPSKA,Ž,10-14,28198
2013,Broj,GRAD BANJA LUKA,Oba spola,10-14,8487
2013,Broj,GRAD BANJA LUKA,M,10-14,4344
2013,Broj,GRAD BANJA LUKA,Ž,10-14,4143
2013,Broj,BERKOVICI,Oba spola,10-14,141
2013,Broj,BERKOVICI,M,10-14,73
2013,Broj,BERKOVICI,Ž,10-14,68
2013,Broj,GRAD BIJELJINA,Oba spola,10-14,5341
2013,Broj,GRAD BIJELJINA,M,10-14,2718
2013,Broj,GRAD BIJELJINA,Ž,10-14,2623
2013,Broj,BILECA,Oba spola,10-14,633
2013,Broj,BILECA,M,10-14,303
2013,Broj,BILECA,Ž,10-14,330
2013,Broj,BRATUNAC,Oba spola,10-14,870
2013,Broj,BRATUNAC,M,10-14,457
2013,Broj,BRATUNAC,Ž,10-14,413
2013,Broj,BROD,Oba spola,10-14,781
2013,Broj,BROD,M,10-14,407
2013,Broj,BROD,Ž,10-14,374
2013,Broj,VISEGRAD,Oba spola,10-14,442
2013,Broj,VISEGRAD,M,10-14,222
