Year,UNIT_MEASURE,Teritory,Spol,Education,Value
2013,Broj,VLASENICA,M,Bez obrazovanja,101
2013,Broj,VLASENICA,Ž,Bez obrazovanja,528
2013,Broj,VUKOSAVLJE,Oba spola,Bez obrazovanja,329
2013,Broj,VUKOSAVLJE,M,Bez obrazovanja,69
2013,Broj,VUKOSAVLJE,Ž,Bez obrazovanja,260
2013,Broj,GACKO,Oba spola,Bez obrazovanja,268
2013,Broj,GACKO,M,Bez obrazovanja,22
2013,Broj,GACKO,Ž,Bez obrazovanja,246
2013,Broj,GRADISKA,Oba spola,Bez obrazovanja,2608
2013,Broj,GRADISKA,M,Bez obrazovanja,425
2013,Broj,GRADISKA,Ž,Bez obrazovanja,2183
2013,Broj,DERVENTA,Oba spola,Bez obrazovanja,1538
2013,Broj,DERVENTA,M,Bez obrazovanja,281
2013,Broj,DERVENTA,Ž,Bez obrazovanja,1257
2013,Broj,DOBOJ,Oba spola,Bez obrazovanja,3364
2013,Broj,DOBOJ,M,Bez obrazovanja,496
2013,Broj,DOBOJ,Ž,Bez obrazovanja,2868
2013,Broj,DONJI ZABAR,Oba spola,Bez obrazovanja,209
2013,Broj,DONJI ZABAR,M,Bez obrazovanja,37
2013,Broj,DONJI ZABAR,Ž,Bez obrazovanja,172
2013,Broj,ZVORNIK,Oba spola,Bez obrazovanja,3216
2013,Broj,ZVORNIK,M,Bez obrazovanja,484
2013,Broj,ZVORNIK,Ž,Bez obrazovanja,2732
2013,Broj,ISTOCNA ILIDZA,Oba spola,Bez obrazovanja,280
2013,Broj,ISTOCNA ILIDZA,M,Bez obrazovanja,33
2013,Broj,ISTOCNA ILIDZA,Ž,Bez obrazovanja,247
2013,Broj,ISTOCNI DRVAR,Oba spola,Bez obrazovanja,5
2013,Broj,ISTOCNI DRVAR,M,Bez obrazovanja,-
2013,Broj,ISTOCNI DRVAR,Ž,Bez obrazovanja,5
2013,Broj,ISTOCNI MOSTAR,Oba spola,Bez obrazovanja,19
2013,Broj,ISTOCNI MOSTAR,M,Bez obrazovanja,1
2013,Broj,ISTOCNI MOSTAR,Ž,Bez obrazovanja,18
2013,Broj,ISTOCNI STARI GRAD,Oba spola,Bez obrazovanja,61
2013,Broj,ISTOCNI STARI GRAD,M,Bez obrazovanja,5
2013,Broj,ISTOCNI STARI GRAD,Ž,Bez obrazovanja,56
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,Bez obrazovanja,191
2013,Broj,ISTOCNO NOVO SARAJEVO,M,Bez obrazovanja,25
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,Bez obrazovanja,166
2013,Broj,JEZERO,Oba spola,Bez obrazovanja,79
2013,Broj,JEZERO,M,Bez obrazovanja,14
2013,Broj,JEZERO,Ž,Bez obrazovanja,65
2013,Broj,KALINOVIK,Oba spola,Bez obrazovanja,158
2013,Broj,KALINOVIK,M,Bez obrazovanja,11
2013,Broj,KALINOVIK,Ž,Bez obrazovanja,147
2013,Broj,KNEZEVO,Oba spola,Bez obrazovanja,1390
2013,Broj,KNEZEVO,M,Bez obrazovanja,311
2013,Broj,KNEZEVO,Ž,Bez obrazovanja,1079
2013,Broj,KOZARSKA DUBICA,Oba spola,Bez obrazovanja,984
2013,Broj,KOZARSKA DUBICA,M,Bez obrazovanja,154
2013,Broj,KOZARSKA DUBICA,Ž,Bez obrazovanja,830
2013,Broj,KOSTAJNICA,Oba spola,Bez obrazovanja,163
2013,Broj,KOSTAJNICA,M,Bez obrazovanja,28
2013,Broj,KOSTAJNICA,Ž,Bez obrazovanja,135
2013,Broj,KOTOR VAROS,Oba spola,Bez obrazovanja,1503
2013,Broj,KOTOR VAROS,M,Bez obrazovanja,282
2013,Broj,KOTOR VAROS,Ž,Bez obrazovanja,1221
2013,Broj,KRUPA NA UNI,Oba spola,Bez obrazovanja,157
2013,Broj,KRUPA NA UNI,M,Bez obrazovanja,19
2013,Broj,KRUPA NA UNI,Ž,Bez obrazovanja,138
2013,Broj,KUPRES,Oba spola,Bez obrazovanja,103
2013,Broj,KUPRES,M,Bez obrazovanja,33
2013,Broj,KUPRES,Ž,Bez obrazovanja,70
2013,Broj,LAKTASI,Oba spola,Bez obrazovanja,1363
2013,Broj,LAKTASI,M,Bez obrazovanja,229
2013,Broj,LAKTASI,Ž,Bez obrazovanja,1134
2013,Broj,LOPARE,Oba spola,Bez obrazovanja,1235
2013,Broj,LOPARE,M,Bez obrazovanja,243
2013,Broj,LOPARE,Ž,Bez obrazovanja,992
2013,Broj,LJUBINJE,Oba spola,Bez obrazovanja,110
2013,Broj,LJUBINJE,M,Bez obrazovanja,12
2013,Broj,LJUBINJE,Ž,Bez obrazovanja,98
2013,Broj,MILICI,Oba spola,Bez obrazovanja,643
2013,Broj,MILICI,M,Bez obrazovanja,96
2013,Broj,MILICI,Ž,Bez obrazovanja,547
2013,Broj,MODRICA,Oba spola,Bez obrazovanja,1278
2013,Broj,MODRICA,M,Bez obrazovanja,241
2013,Broj,MODRICA,Ž,Bez obrazovanja,1037
2013,Broj,MRKONJIC GRAD,Oba spola,Bez obrazovanja,1462
2013,Broj,MRKONJIC GRAD,M,Bez obrazovanja,213
2013,Broj,MRKONJIC GRAD,Ž,Bez obrazovanja,1249
2013,Broj,NEVESINJE,Oba spola,Bez obrazovanja,545
2013,Broj,NEVESINJE,M,Bez obrazovanja,56
2013,Broj,NEVESINJE,Ž,Bez obrazovanja,489
2013,Broj,NOVI GRAD,Oba spola,Bez obrazovanja,1036
2013,Broj,NOVI GRAD,M,Bez obrazovanja,171
2013,Broj,NOVI GRAD,Ž,Bez obrazovanja,865
2013,Broj,NOVO GORAZDE,Oba spola,Bez obrazovanja,127
2013,Broj,NOVO GORAZDE,M,Bez obrazovanja,21
2013,Broj,NOVO GORAZDE,Ž,Bez obrazovanja,106
2013,Broj,OSMACI,Oba spola,Bez obrazovanja,397
2013,Broj,OSMACI,M,Bez obrazovanja,62
2013,Broj,OSMACI,Ž,Bez obrazovanja,335
2013,Broj,OSTRA LUKA,Oba spola,Bez obrazovanja,247
2013,Broj,OSTRA LUKA,M,Bez obrazovanja,43
2013,Broj,OSTRA LUKA,Ž,Bez obrazovanja,204
2013,Broj,PALE,Oba spola,Bez obrazovanja,606
2013,Broj,PALE,M,Bez obrazovanja,80
2013,Broj,PALE,Ž,Bez obrazovanja,526
2013,Broj,PELAGICEVO,Oba spola,Bez obrazovanja,290
2013,Broj,PELAGICEVO,M,Bez obrazovanja,46
2013,Broj,PELAGICEVO,Ž,Bez obrazovanja,244
2013,Broj,PETROVAC,Oba spola,Bez obrazovanja,11
2013,Broj,PETROVAC,M,Bez obrazovanja,-
2013,Broj,PETROVAC,Ž,Bez obrazovanja,11
2013,Broj,PETROVO,Oba spola,Bez obrazovanja,403
2013,Broj,PETROVO,M,Bez obrazovanja,48
2013,Broj,PETROVO,Ž,Bez obrazovanja,355
2013,Broj,PRIJEDOR,Oba spola,Bez obrazovanja,3918
2013,Broj,PRIJEDOR,M,Bez obrazovanja,760
2013,Broj,PRIJEDOR,Ž,Bez obrazovanja,3158
2013,Broj,PRNJAVOR,Oba spola,Bez obrazovanja,2654
2013,Broj,PRNJAVOR,M,Bez obrazovanja,391
2013,Broj,PRNJAVOR,Ž,Bez obrazovanja,2263
2013,Broj,RIBNIK,Oba spola,Bez obrazovanja,680
2013,Broj,RIBNIK,M,Bez obrazovanja,118
2013,Broj,RIBNIK,Ž,Bez obrazovanja,562
2013,Broj,ROGATICA,Oba spola,Bez obrazovanja,633
2013,Broj,ROGATICA,M,Bez obrazovanja,89
2013,Broj,ROGATICA,Ž,Bez obrazovanja,544
2013,Broj,RUDO,Oba spola,Bez obrazovanja,279
2013,Broj,RUDO,M,Bez obrazovanja,38
2013,Broj,RUDO,Ž,Bez obrazovanja,241
2013,Broj,SOKOLAC,Oba spola,Bez obrazovanja,392
2013,Broj,SOKOLAC,M,Bez obrazovanja,52
2013,Broj,SOKOLAC,Ž,Bez obrazovanja,340
2013,Broj,SRBAC,Oba spola,Bez obrazovanja,1115
2013,Broj,SRBAC,M,Bez obrazovanja,235
2013,Broj,SRBAC,Ž,Bez obrazovanja,880
2013,Broj,SREBRENICA,Oba spola,Bez obrazovanja,852
2013,Broj,SREBRENICA,M,Bez obrazovanja,105
2013,Broj,SREBRENICA,Ž,Bez obrazovanja,747
2013,Broj,TESLIC,Oba spola,Bez obrazovanja,3299
2013,Broj,TESLIC,M,Bez obrazovanja,471
2013,Broj,TESLIC,Ž,Bez obrazovanja,2828
2013,Broj,TREBINJE,Oba spola,Bez obrazovanja,382
2013,Broj,TREBINJE,M,Bez obrazovanja,44
2013,Broj,TREBINJE,Ž,Bez obrazovanja,338
2013,Broj,TRNOVO,Oba spola,Bez obrazovanja,143
2013,Broj,TRNOVO,M,Bez obrazovanja,14
2013,Broj,TRNOVO,Ž,Bez obrazovanja,129
2013,Broj,UGLJEVIK,Oba spola,Bez obrazovanja,856
2013,Broj,UGLJEVIK,M,Bez obrazovanja,135
2013,Broj,UGLJEVIK,Ž,Bez obrazovanja,721
2013,Broj,FOCA,Oba spola,Bez obrazovanja,775
2013,Broj,FOCA,M,Bez obrazovanja,92
2013,Broj,FOCA,Ž,Bez obrazovanja,683
2013,Broj,HAN PIJESAK,Oba spola,Bez obrazovanja,198
2013,Broj,HAN PIJESAK,M,Bez obrazovanja,22
2013,Broj,HAN PIJESAK,Ž,Bez obrazovanja,176
2013,Broj,CAJNICE,Oba spola,Bez obrazovanja,224
2013,Broj,CAJNICE,M,Bez obrazovanja,31
2013,Broj,CAJNICE,Ž,Bez obrazovanja,193
2013,Broj,CELINAC,Oba spola,Bez obrazovanja,832
2013,Broj,CELINAC,M,Bez obrazovanja,109
2013,Broj,CELINAC,Ž,Bez obrazovanja,723
2013,Broj,SAMAC,Oba spola,Bez obrazovanja,627
2013,Broj,SAMAC,M,Bez obrazovanja,90
2013,Broj,SAMAC,Ž,Bez obrazovanja,537
