Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,ROGATICA,Ž,two_members,1120.0
2013,Broj,RUDO,Oba spola,two_members,851.0
2013,Broj,SOKOLAC,M,two_members,1227.0
2013,Broj,SRBAC,Ž,two_members,1729.0
2013,Broj,SREBRENICA,Oba spola,two_members,858.0
2013,Broj,TESLIC,M,two_members,3602.0
2013,Broj,TREBINJE,Ž,two_members,2317.0
2013,Broj,TRNOVO,Oba spola,two_members,250.0
2013,Broj,UGLJEVIK,M,two_members,1118.0
2013,Broj,FOCA,Ž,two_members,1877.0
2013,Broj,HAN PIJESAK,Oba spola,two_members,439.0
2013,Broj,CAJNICE,M,two_members,442.0
2013,Broj,CELINAC,Ž,two_members,1260.0
2013,Broj,SAMAC,Oba spola,two_members,1408.0
2013,Broj,SEKOVICI,M,two_members,783.0
2013,Broj,SIPOVO,Ž,two_members,1059.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,three_members,79155.0
2013,Broj,BANJA LUKA,M,three_members,14267.0
2013,Broj,BERKOVICI,Ž,three_members,92.0
2013,Broj,BIJELJINA,Oba spola,three_members,6586.0
2013,Broj,BILECA,M,three_members,620.0
2013,Broj,BRATUNAC,Ž,three_members,1137.0
2013,Broj,BROD,Oba spola,three_members,1107.0
2013,Broj,VISEGRAD,M,three_members,724.0
2013,Broj,VLASENICA,Ž,three_members,747.0
2013,Broj,VUKOSAVLJE,Oba spola,three_members,280.0
2013,Broj,GACKO,M,three_members,561.0
2013,Broj,GRADISKA,Ž,three_members,3140.0
2013,Broj,DERVENTA,Oba spola,three_members,1688.0
2013,Broj,DOBOJ,M,three_members,4956.0
2013,Broj,DONJI ZABAR,Ž,three_members,178.0
2013,Broj,ZVORNIK,Oba spola,three_members,3400.0
2013,Broj,ISTOCNA ILIDZA,M,three_members,1075.0
2013,Broj,ISTOCNI DRVAR,Ž,three_members,6.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,three_members,12.0
2013,Broj,ISTOCNI STARI GRAD,M,three_members,75.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,three_members,813.0
2013,Broj,JEZERO,Oba spola,three_members,75.0
2013,Broj,KALINOVIK,M,three_members,136.0
2013,Broj,KNEZEVO,Ž,three_members,554.0
2013,Broj,KOZARSKA DUBICA,Oba spola,three_members,1351.0
2013,Broj,KOSTAJNICA,M,three_members,384.0
2013,Broj,KOTOR VAROS,Ž,three_members,1079.0
2013,Broj,KRUPA NA UNI,Oba spola,three_members,84.0
2013,Broj,KUPRES,M,three_members,16.0
2013,Broj,LAKTASI,Ž,three_members,2241.0
2013,Broj,LOPARE,Oba spola,three_members,908.0
2013,Broj,LJUBINJE,M,three_members,234.0
2013,Broj,MILICI,Ž,three_members,709.0
2013,Broj,MODRICA,Oba spola,three_members,1567.0
2013,Broj,MRKONJIC GRAD,M,three_members,1218.0
2013,Broj,NEVESINJE,Ž,three_members,701.0
2013,Broj,NOVI GRAD,Oba spola,three_members,1669.0
2013,Broj,NOVO GORAZDE,M,three_members,193.0
2013,Broj,OSMACI,Ž,three_members,317.0
2013,Broj,OSTRA LUKA,Oba spola,three_members,151.0
2013,Broj,PALE,M,three_members,1438.0
2013,Broj,PELAGICEVO,Ž,three_members,225.0
