Year,UNIT_MEASURE,ADMIN_AREA,SEX,Nationality,Value
2013,NUMBER,GRADISKA,F,bosniaks,3219
2013,NUMBER,DERVENTA,_T,bosniaks,1686
2013,NUMBER,DERVENTA,M,bosniaks,812
2013,NUMBER,DERVENTA,F,bosniaks,874
2013,NUMBER,DOBOJ,_T,bosniaks,14417
2013,NUMBER,DOBOJ,M,bosniaks,6904
2013,NUMBER,DOBOJ,F,bosniaks,7513
2013,NUMBER,DONJI ZABAR,_T,bosniaks,4
2013,NUMBER,DONJI ZABAR,F,bosniaks,4
2013,NUMBER,ZVORNIK,_T,bosniaks,16775
2013,NUMBER,ZVORNIK,M,bosniaks,8206
2013,NUMBER,ZVORNIK,F,bosniaks,8569
2013,NUMBER,ISTOCNA ILIDZA,_T,bosniaks,632
2013,NUMBER,ISTOCNA ILIDZA,M,bosniaks,293
2013,NUMBER,ISTOCNA ILIDZA,F,bosniaks,339
2013,NUMBER,ISTOCNI MOSTAR,_T,bosniaks,78
2013,NUMBER,ISTOCNI MOSTAR,M,bosniaks,45
2013,NUMBER,ISTOCNI MOSTAR,F,bosniaks,33
2013,NUMBER,ISTOCNI STARI GRAD,_T,bosniaks,41
2013,NUMBER,ISTOCNI STARI GRAD,M,bosniaks,25
2013,NUMBER,ISTOCNI STARI GRAD,F,bosniaks,16
2013,NUMBER,ISTOCNO NOVO SARAJEVO,_T,bosniaks,44
2013,NUMBER,ISTOCNO NOVO SARAJEVO,M,bosniaks,14
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,bosniaks,30
2013,NUMBER,JEZERO,_T,bosniaks,251
2013,NUMBER,JEZERO,M,bosniaks,118
2013,NUMBER,JEZERO,F,bosniaks,133
2013,NUMBER,KALINOVIK,_T,bosniaks,43
2013,NUMBER,KALINOVIK,M,bosniaks,19
2013,NUMBER,KALINOVIK,F,bosniaks,24
2013,NUMBER,KNEZEVO,_T,bosniaks,413
2013,NUMBER,KNEZEVO,M,bosniaks,186
2013,NUMBER,KNEZEVO,F,bosniaks,227
2013,NUMBER,KOZARSKA DUBICA,_T,bosniaks,1883
2013,NUMBER,KOZARSKA DUBICA,M,bosniaks,906
2013,NUMBER,KOZARSKA DUBICA,F,bosniaks,977
2013,NUMBER,KOSTAJNICA,_T,bosniaks,1276
2013,NUMBER,KOSTAJNICA,M,bosniaks,626
2013,NUMBER,KOSTAJNICA,F,bosniaks,650
2013,NUMBER,KOTOR VAROS,_T,bosniaks,4516
2013,NUMBER,KOTOR VAROS,M,bosniaks,2173
2013,NUMBER,KOTOR VAROS,F,bosniaks,2343
2013,NUMBER,KRUPA NA UNI,_T,bosniaks,3
2013,NUMBER,KRUPA NA UNI,M,bosniaks,1
2013,NUMBER,KRUPA NA UNI,F,bosniaks,2
2013,NUMBER,LAKTASI,_T,bosniaks,104
2013,NUMBER,LAKTASI,M,bosniaks,47
2013,NUMBER,LAKTASI,F,bosniaks,57
2013,NUMBER,LOPARE,_T,bosniaks,1310
2013,NUMBER,LOPARE,M,bosniaks,646
2013,NUMBER,LOPARE,F,bosniaks,664
2013,NUMBER,LJUBINJE,_T,bosniaks,9
2013,NUMBER,LJUBINJE,M,bosniaks,5
2013,NUMBER,LJUBINJE,F,bosniaks,4
2013,NUMBER,MILICI,_T,bosniaks,3532
2013,NUMBER,MILICI,M,bosniaks,1746
2013,NUMBER,MILICI,F,bosniaks,1786
2013,NUMBER,MODRICA,_T,bosniaks,2880
2013,NUMBER,MODRICA,M,bosniaks,1364
2013,NUMBER,MODRICA,F,bosniaks,1516
2013,NUMBER,MRKONJIC GRAD,_T,bosniaks,354
2013,NUMBER,MRKONJIC GRAD,M,bosniaks,170
2013,NUMBER,MRKONJIC GRAD,F,bosniaks,184
2013,NUMBER,NEVESINJE,_T,bosniaks,508
2013,NUMBER,NEVESINJE,M,bosniaks,261
2013,NUMBER,NEVESINJE,F,bosniaks,247
