Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value,,,,,,
2020,2040,F,90-94,7821,,,,,,
2020,2040,F,95-99,1505,,,,,,
2020,2040,F,100-104,283,,,,,,
2020,2040,F,105-109,15,,,,,,
2020,2040,F,110-114,0,,,,,,
2020,2040,F,115-119,0,,,,,,
2020,2040,F,120+,0,,,,,,
2020,2045,F,0-4,17219,,,,,,
2020,2045,F,5-9,18205,,,,,,
2020,2045,F,10-14,19301,,,,,,
2020,2045,F,15-19,20456,,,,,,
2020,2045,F,20-24,21743,,,,,,
2020,2045,F,25-29,22706,,,,,,
2020,2045,F,30-34,24061,,,,,,
2020,2045,F,35-39,26878,,,,,,
2020,2045,F,40-44,26882,,,,,,
2020,2045,F,45-49,31425,,,,,,
2020,2045,F,50-54,31252,,,,,,
2020,2045,F,55-59,34464,,,,,,
2020,2045,F,60-64,37326,,,,,,
2020,2045,F,65-69,36866,,,,,,
2020,2045,F,70-74,33581,,,,,,
2020,2045,F,75-79,30115,,,,,,
2020,2045,F,80-84,27965,,,,,,
2020,2045,F,85-89,20073,,,,,,
2020,2045,F,90-94,10112,,,,,,
2020,2045,F,95-99,2737,,,,,,
2020,2045,F,100-104,299,,,,,,
2020,2045,F,105-109,29,,,,,,
2020,2045,F,110-114,1,,,,,,
2020,2045,F,115-119,0,,,,,,
2020,2045,F,120+,0,,,,,,
2020,2050,F,0-4,16359,,,,,,
2020,2050,F,5-9,17261,,,,,,
2020,2050,F,10-14,18223,,,,,,
2020,2050,F,15-19,19303,,,,,,
2020,2050,F,20-24,20529,,,,,,
2020,2050,F,25-29,21825,,,,,,
2020,2050,F,30-34,22804,,,,,,
2020,2050,F,35-39,24193,,,,,,
2020,2050,F,40-44,26921,,,,,,
2020,2050,F,45-49,26839,,,,,,
2020,2050,F,50-54,31222,,,,,,
2020,2050,F,55-59,30951,,,,,,
2020,2050,F,60-64,33964,,,,,,
2020,2050,F,65-69,36415,,,,,,
2020,2050,F,70-74,35158,,,,,,
2020,2050,F,75-79,30519,,,,,,
2020,2050,F,80-84,24988,,,,,,
2020,2050,F,85-89,19836,,,,,,
2020,2050,F,90-94,11022,,,,,,
2020,2050,F,95-99,3791,,,,,,
2020,2050,F,100-104,610,,,,,,
2020,2050,F,105-109,33,,,,,,
2020,2050,F,110-114,1,,,,,,
2020,2050,F,115-119,0,,,,,,
2020,2050,F,120+,0,,,,,,
2020,2055,F,0-4,15635,,,,,,
2020,2055,F,5-9,16400,,,,,,
2020,2055,F,10-14,17280,,,,,,
2020,2055,F,15-19,18227,,,,,,
2020,2055,F,20-24,19382,,,,,,
2020,2055,F,25-29,20619,,,,,,
2020,2055,F,30-34,21921,,,,,,
2020,2055,F,35-39,22937,,,,,,
2020,2055,F,40-44,24257,,,,,,
2020,2055,F,45-49,26874,,,,,,
2020,2055,F,50-54,26703,,,,,,
2020,2055,F,55-59,30927,,,,,,
2020,2055,F,60-64,30570,,,,,,
2020,2055,F,65-69,33219,,,,,,
2020,2055,F,70-74,34840,,,,,,
2020,2055,F,75-79,32149,,,,,,
2020,2055,F,80-84,25724,,,,,,
2020,2055,F,85-89,18161,,,,,,
2020,2055,F,90-94,11340,,,,,,
2020,2055,F,95-99,4380,,,,,,
2020,2055,F,100-104,909,,,,,,
2020,2055,F,105-109,76,,,,,,
2020,2055,F,110-114,2,,,,,,
2020,2055,F,115-119,0,,,,,,
2020,2055,F,120+,0,,,,,,
2020,2060,F,0-4,14954,,,,,,
2020,2060,F,5-9,15674,,,,,,
2020,2060,F,10-14,16419,,,,,,
2020,2060,F,15-19,17286,,,,,,
2020,2060,F,20-24,18312,,,,,,
2020,2060,F,25-29,19477,,,,,,
2020,2060,F,30-34,20717,,,,,,
2020,2060,F,35-39,22049,,,,,,
2020,2060,F,40-44,23005,,,,,,
2020,2060,F,45-49,24234,,,,,,
2020,2060,F,50-54,26739,,,,,,
2020,2060,F,55-59,26495,,,,,,
2020,2060,F,60-64,30550,,,,,,
2020,2060,F,65-69,29984,,,,,,
2020,2060,F,70-74,31890,,,,,,
2020,2060,F,75-79,32048,,,,,,
2020,2060,F,80-84,27390,,,,,,
2020,2060,F,85-89,19173,,,,,,
2020,2060,F,90-94,10750,,,,,,
2020,2060,F,95-99,4745,,,,,,
2020,2060,F,100-104,1120,,,,,,
2020,2060,F,105-109,120,,,,,,
2020,2060,F,110-114,4,,,,,,
2020,2060,F,115-119,0,,,,,,
2020,2060,F,120+,0,,,,,,
2020,2065,F,0-4,14259,,,,,,
2020,2065,F,5-9,14992,,,,,,
2020,2065,F,10-14,15693,,,,,,
2020,2065,F,15-19,16426,,,,,,
2020,2065,F,20-24,17370,,,,,,
2020,2065,F,25-29,18410,,,,,,
2020,2065,F,30-34,19577,,,,,,
2020,2065,F,35-39,20844,,,,,,
2020,2065,F,40-44,22116,,,,,,
2020,2065,F,45-49,22991,,,,,,
2020,2065,F,50-54,24130,,,,,,
2020,2065,F,55-59,26536,,,,,,
2020,2065,F,60-64,26236,,,,,,
2020,2065,F,65-69,29978,,,,,,
2020,2065,F,70-74,28901,,,,,,
2020,2065,F,75-79,29501,,,,,,
2020,2065,F,80-84,27590,,,,,,
2020,2065,F,85-89,20795,,,,,,
2020,2065,F,90-94,11795,,,,,,
2020,2065,F,95-99,4708,,,,,,
2020,2065,F,100-104,1286,,,,,,
2020,2065,F,105-109,157,,,,,,
2020,2065,F,110-114,7,,,,,,
2020,2065,F,115-119,0,,,,,,
2020,2065,F,120+,0,,,,,,
2020,2070,F,0-4,13591,,,,,,
2020,2070,F,5-9,14295,,,,,,
2020,2070,F,10-14,15009,,,,,,
2020,2070,F,15-19,15699,,,,,,
2020,2070,F,20-24,16506,,,,,,
2020,2070,F,25-29,17464,,,,,,
2020,2070,F,30-34,18506,,,,,,
2020,2070,F,35-39,19700,,,,,,
2020,2070,F,40-44,20911,,,,,,
2020,2070,F,45-49,22102,,,,,,
2020,2070,F,50-54,22900,,,,,,
2020,2070,F,55-59,23967,,,,,,
2020,2070,F,60-64,26282,,,,,,
2020,2070,F,65-69,25821,,,,,,
2020,2070,F,70-74,28932,,,,,,
2020,2070,F,75-79,26913,,,,,,
2020,2070,F,80-84,25635,,,,,,
2020,2070,F,85-89,21305,,,,,,
2020,2070,F,90-94,13153,,,,,,
2020,2070,F,95-99,5436,,,,,,
2020,2070,F,100-104,1340,,,,,,
2020,2070,F,105-109,191,,,,,,
2020,2070,F,110-114,9,,,,,,
2020,2070,F,115-119,0,,,,,,
2020,2070,F,120+,0,,,,,,
