Year,UNIT_MEASURE,Administrativna oblast,Spol,Literacy,Value
2013,Broj,UGLJEVIK,Ž,Ukupno,6829.0
2013,Broj,FOCA,Oba spola,Ukupno,16227.0
2013,Broj,FOCA,M,Ukupno,8147.0
2013,Broj,FOCA,Ž,Ukupno,8080.0
2013,Broj,HAN PIJESAK,Oba spola,Ukupno,3187.0
2013,Broj,HAN PIJESAK,M,Ukupno,1496.0
2013,Broj,HAN PIJESAK,Ž,Ukupno,1691.0
2013,Broj,CAJNICE,Oba spola,Ukupno,4289.0
2013,Broj,CAJNICE,M,Ukupno,2164.0
2013,Broj,CAJNICE,Ž,Ukupno,2125.0
2013,Broj,CELINAC,Oba spola,Ukupno,13636.0
2013,Broj,CELINAC,M,Ukupno,6711.0
2013,Broj,CELINAC,Ž,Ukupno,6925.0
2013,Broj,SAMAC,Oba spola,Ukupno,15072.0
2013,Broj,SAMAC,M,Ukupno,7273.0
2013,Broj,SAMAC,Ž,Ukupno,7799.0
2013,Broj,SEKOVICI,Oba spola,Ukupno,5816.0
2013,Broj,SEKOVICI,M,Ukupno,2868.0
2013,Broj,SEKOVICI,Ž,Ukupno,2948.0
2013,Broj,SIPOVO,Oba spola,Ukupno,9092.0
2013,Broj,SIPOVO,M,Ukupno,4575.0
2013,Broj,SIPOVO,Ž,Ukupno,4517.0
2013,Broj,REPUBLIKA SRPSKA,Oba spola,illiterate,34928.0
2013,Broj,REPUBLIKA SRPSKA,M,illiterate,4987.0
2013,Broj,REPUBLIKA SRPSKA,Ž,illiterate,29941.0
2013,Broj,BANJA LUKA,Oba spola,illiterate,3503.0
2013,Broj,BANJA LUKA,M,illiterate,509.0
2013,Broj,BANJA LUKA,Ž,illiterate,2994.0
2013,Broj,BERKOVICI,Oba spola,illiterate,47.0
2013,Broj,BERKOVICI,M,illiterate,1.0
2013,Broj,BERKOVICI,Ž,illiterate,46.0
2013,Broj,BIJELJINA,Oba spola,illiterate,2541.0
2013,Broj,BIJELJINA,M,illiterate,413.0
2013,Broj,BIJELJINA,Ž,illiterate,2128.0
2013,Broj,BILECA,Oba spola,illiterate,144.0
2013,Broj,BILECA,M,illiterate,31.0
2013,Broj,BILECA,Ž,illiterate,113.0
2013,Broj,BRATUNAC,Oba spola,illiterate,865.0
2013,Broj,BRATUNAC,M,illiterate,82.0
2013,Broj,BRATUNAC,Ž,illiterate,783.0
2013,Broj,BROD,Oba spola,illiterate,330.0
2013,Broj,BROD,M,illiterate,53.0
2013,Broj,BROD,Ž,illiterate,277.0
2013,Broj,VISEGRAD,Oba spola,illiterate,358.0
2013,Broj,VISEGRAD,M,illiterate,35.0
2013,Broj,VISEGRAD,Ž,illiterate,323.0
2013,Broj,VLASENICA,Oba spola,illiterate,350.0
2013,Broj,VLASENICA,M,illiterate,49.0
2013,Broj,VLASENICA,Ž,illiterate,301.0
2013,Broj,VUKOSAVLJE,Oba spola,illiterate,196.0
2013,Broj,VUKOSAVLJE,M,illiterate,31.0
2013,Broj,VUKOSAVLJE,Ž,illiterate,165.0
2013,Broj,GACKO,Oba spola,illiterate,110.0
2013,Broj,GACKO,M,illiterate,10.0
2013,Broj,GACKO,Ž,illiterate,100.0
2013,Broj,GRADISKA,Oba spola,illiterate,1526.0
2013,Broj,GRADISKA,M,illiterate,204.0
2013,Broj,GRADISKA,Ž,illiterate,1322.0
2013,Broj,DERVENTA,Oba spola,illiterate,812.0
2013,Broj,DERVENTA,M,illiterate,120.0
2013,Broj,DERVENTA,Ž,illiterate,692.0
2013,Broj,DOBOJ,Oba spola,illiterate,1979.0
2013,Broj,DOBOJ,M,illiterate,270.0
2013,Broj,DOBOJ,Ž,illiterate,1709.0
2013,Broj,DONJI ZABAR,Oba spola,illiterate,128.0
2013,Broj,DONJI ZABAR,M,illiterate,26.0
2013,Broj,DONJI ZABAR,Ž,illiterate,102.0
2013,Broj,ZVORNIK,Oba spola,illiterate,2055.0
2013,Broj,ZVORNIK,M,illiterate,245.0
2013,Broj,ZVORNIK,Ž,illiterate,1810.0
2013,Broj,ISTOCNA ILIDZA,Oba spola,illiterate,171.0
2013,Broj,ISTOCNA ILIDZA,M,illiterate,22.0
2013,Broj,ISTOCNA ILIDZA,Ž,illiterate,149.0
2013,Broj,ISTOCNI DRVAR,Oba spola,illiterate,2.0
2013,Broj,ISTOCNI DRVAR,M,illiterate,0.0
2013,Broj,ISTOCNI DRVAR,Ž,illiterate,2.0
2013,Broj,ISTOCNI MOSTAR,Oba spola,illiterate,19.0
2013,Broj,ISTOCNI MOSTAR,M,illiterate,1.0
2013,Broj,ISTOCNI MOSTAR,Ž,illiterate,18.0
2013,Broj,ISTOCNI STARI GRAD,Oba spola,illiterate,40.0
2013,Broj,ISTOCNI STARI GRAD,M,illiterate,3.0
2013,Broj,ISTOCNI STARI GRAD,Ž,illiterate,37.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Oba spola,illiterate,80.0
2013,Broj,ISTOCNO NOVO SARAJEVO,M,illiterate,14.0
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,illiterate,66.0
2013,Broj,JEZERO,Oba spola,illiterate,43.0
2013,Broj,JEZERO,M,illiterate,7.0
2013,Broj,JEZERO,Ž,illiterate,36.0
2013,Broj,KALINOVIK,Oba spola,illiterate,86.0
2013,Broj,KALINOVIK,M,illiterate,5.0
2013,Broj,KALINOVIK,Ž,illiterate,81.0
2013,Broj,KNEZEVO,Oba spola,illiterate,971.0
2013,Broj,KNEZEVO,M,illiterate,146.0
2013,Broj,KNEZEVO,Ž,illiterate,825.0
2013,Broj,KOZARSKA DUBICA,Oba spola,illiterate,590.0
2013,Broj,KOZARSKA DUBICA,M,illiterate,77.0
2013,Broj,KOZARSKA DUBICA,Ž,illiterate,513.0
2013,Broj,KOSTAJNICA,Oba spola,illiterate,115.0
2013,Broj,KOSTAJNICA,M,illiterate,14.0
2013,Broj,KOSTAJNICA,Ž,illiterate,101.0
2013,Broj,KOTOR VAROS,Oba spola,illiterate,1042.0
2013,Broj,KOTOR VAROS,M,illiterate,148.0
2013,Broj,KOTOR VAROS,Ž,illiterate,894.0
2013,Broj,KRUPA NA UNI,Oba spola,illiterate,145.0
2013,Broj,KRUPA NA UNI,M,illiterate,21.0
2013,Broj,KRUPA NA UNI,Ž,illiterate,124.0
2013,Broj,KUPRES,Oba spola,illiterate,81.0
2013,Broj,KUPRES,M,illiterate,27.0
2013,Broj,KUPRES,Ž,illiterate,54.0
2013,Broj,LAKTASI,Oba spola,illiterate,752.0
2013,Broj,LAKTASI,M,illiterate,117.0
2013,Broj,LAKTASI,Ž,illiterate,635.0
2013,Broj,LOPARE,Oba spola,illiterate,680.0
2013,Broj,LOPARE,M,illiterate,123.0
2013,Broj,LOPARE,Ž,illiterate,557.0
2013,Broj,LJUBINJE,Oba spola,illiterate,49.0
2013,Broj,LJUBINJE,M,illiterate,5.0
2013,Broj,LJUBINJE,Ž,illiterate,44.0
2013,Broj,MILICI,Oba spola,illiterate,399.0
2013,Broj,MILICI,M,illiterate,51.0
2013,Broj,MILICI,Ž,illiterate,348.0
2013,Broj,MODRICA,Oba spola,illiterate,736.0
2013,Broj,MODRICA,M,illiterate,119.0
2013,Broj,MODRICA,Ž,illiterate,617.0
2013,Broj,MRKONJIC GRAD,Oba spola,illiterate,821.0
2013,Broj,MRKONJIC GRAD,M,illiterate,95.0
2013,Broj,MRKONJIC GRAD,Ž,illiterate,726.0
2013,Broj,NEVESINJE,Oba spola,illiterate,305.0
2013,Broj,NEVESINJE,M,illiterate,32.0
2013,Broj,NEVESINJE,Ž,illiterate,273.0
2013,Broj,NOVI GRAD,Oba spola,illiterate,666.0
2013,Broj,NOVI GRAD,M,illiterate,106.0
2013,Broj,NOVI GRAD,Ž,illiterate,560.0
2013,Broj,NOVO GORAZDE,Oba spola,illiterate,76.0
2013,Broj,NOVO GORAZDE,M,illiterate,5.0
2013,Broj,NOVO GORAZDE,Ž,illiterate,71.0
2013,Broj,OSMACI,Oba spola,illiterate,264.0
2013,Broj,OSMACI,M,illiterate,29.0
2013,Broj,OSMACI,Ž,illiterate,235.0
2013,Broj,OSTRA LUKA,Oba spola,illiterate,196.0
2013,Broj,OSTRA LUKA,M,illiterate,32.0
2013,Broj,OSTRA LUKA,Ž,illiterate,164.0
2013,Broj,PALE,Oba spola,illiterate,293.0
2013,Broj,PALE,M,illiterate,40.0
2013,Broj,PALE,Ž,illiterate,253.0
2013,Broj,PELAGICEVO,Oba spola,illiterate,179.0
2013,Broj,PELAGICEVO,M,illiterate,29.0
2013,Broj,PELAGICEVO,Ž,illiterate,150.0
2013,Broj,PETROVAC,Oba spola,illiterate,6.0
2013,Broj,PETROVAC,M,illiterate,0.0
2013,Broj,PETROVAC,Ž,illiterate,6.0
2013,Broj,PETROVO,Oba spola,illiterate,245.0
2013,Broj,PETROVO,M,illiterate,28.0
2013,Broj,PETROVO,Ž,illiterate,217.0
2013,Broj,PRIJEDOR,Oba spola,illiterate,2172.0
2013,Broj,PRIJEDOR,M,illiterate,422.0
2013,Broj,PRIJEDOR,Ž,illiterate,1750.0
2013,Broj,PRNJAVOR,Oba spola,illiterate,1408.0
2013,Broj,PRNJAVOR,M,illiterate,203.0
2013,Broj,PRNJAVOR,Ž,illiterate,1205.0
2013,Broj,RIBNIK,Oba spola,illiterate,456.0
2013,Broj,RIBNIK,M,illiterate,69.0
2013,Broj,RIBNIK,Ž,illiterate,387.0
2013,Broj,ROGATICA,Oba spola,illiterate,351.0
2013,Broj,ROGATICA,M,illiterate,38.0
