Year,UNIT_MEASURE,Град/општина,Пол,Писменост,Value
2013,% од укупно,Источна Илиџа,Укупно,Неписмен,1.3
2013,% од укупно,Источна Илиџа,M,Неписмен,0.35
2013,% од укупно,Источна Илиџа,Ж,Неписмен,2.17
2013,% од укупно,Источни Дрвар,Укупно,Неписмен,3.08
2013,% од укупно,Источни Дрвар,M,Неписмен,0.0
2013,% од укупно,Источни Дрвар,Ж,Неписмен,9.09
2013,% од укупно,Источни Мостар,Укупно,Неписмен,8.41
2013,% од укупно,Источни Мостар,M,Неписмен,0.78
2013,% од укупно,Источни Мостар,Ж,Неписмен,18.37
2013,% од укупно,Источни Стари Град,Укупно,Неписмен,3.87
2013,% од укупно,Источни Стари Град,M,Неписмен,0.59
2013,% од укупно,Источни Стари Град,Ж,Неписмен,7.01
2013,% од укупно,Источно Ново Сарајево,Укупно,Неписмен,0.86
2013,% од укупно,Источно Ново Сарајево,M,Неписмен,0.32
2013,% од укупно,Источно Ново Сарајево,Ж,Неписмен,1.35
2013,% од укупно,Језеро,Укупно,Неписмен,4.52
2013,% од укупно,Језеро,M,Неписмен,1.42
2013,% од укупно,Језеро,Ж,Неписмен,7.84
2013,% од укупно,Калиновик,Укупно,Неписмен,4.66
2013,% од укупно,Калиновик,M,Неписмен,0.56
2013,% од укупно,Калиновик,Ж,Неписмен,8.53
2013,% од укупно,Кнежево,Укупно,Неписмен,11.35
2013,% од укупно,Кнежево,M,Неписмен,3.47
2013,% од укупно,Кнежево,Ж,Неписмен,18.97
2013,% од укупно,Козарска Дубица,Укупно,Неписмен,3.09
2013,% од укупно,Козарска Дубица,M,Неписмен,0.83
2013,% од укупно,Козарска Дубица,Ж,Неписмен,5.24
2013,% од укупно,Костајница,Укупно,Неписмен,2.21
2013,% од укупно,Костајница,M,Неписмен,0.55
2013,% од укупно,Костајница,Ж,Неписмен,3.81
2013,% од укупно,Котор Варош,Укупно,Неписмен,6.3
2013,% од укупно,Котор Варош,M,Неписмен,1.83
2013,% од укупно,Котор Варош,Ж,Неписмен,10.56
