Year,UNIT_MEASURE,ADMIN_AREA,Spol,Literacy,Value
2013,_%,bileca,M,illiterate,0.64
2013,_%,bileca,Ž,illiterate,2.35
2013,_%,bratunac,Oba spola,illiterate,5.16
2013,_%,bratunac,M,illiterate,1.0
2013,_%,bratunac,Ž,illiterate,9.17
2013,_%,brod,Oba spola,illiterate,2.31
2013,_%,brod,M,illiterate,0.77
2013,_%,brod,Ž,illiterate,3.76
2013,_%,visegrad,Oba spola,illiterate,3.82
2013,_%,visegrad,M,illiterate,0.78
2013,_%,visegrad,Ž,illiterate,6.59
2013,_%,vlasenica,Oba spola,illiterate,3.63
2013,_%,vlasenica,M,illiterate,1.05
2013,_%,vlasenica,Ž,illiterate,6.04
2013,_%,vukosavlje,Oba spola,illiterate,4.96
2013,_%,vukosavlje,M,illiterate,1.57
2013,_%,vukosavlje,Ž,illiterate,8.35
2013,_%,gacko,Oba spola,illiterate,1.4
2013,_%,gacko,M,illiterate,0.25
2013,_%,gacko,Ž,illiterate,2.58
2013,_%,grad_gradiska,Oba spola,illiterate,3.39
2013,_%,grad_gradiska,M,illiterate,0.94
2013,_%,grad_gradiska,Ž,illiterate,5.71
2013,_%,grad_derventa,Oba spola,illiterate,3.44
2013,_%,grad_derventa,M,illiterate,1.05
2013,_%,grad_derventa,Ž,illiterate,5.69
2013,_%,grad_doboj,Oba spola,illiterate,3.19
2013,_%,grad_doboj,M,illiterate,0.9
2013,_%,grad_doboj,Ž,illiterate,5.33
2013,_%,donji_zabar,Oba spola,illiterate,3.82
2013,_%,donji_zabar,M,illiterate,1.54
2013,_%,donji_zabar,Ž,illiterate,6.12
2013,_%,grad_zvornik,Oba spola,illiterate,4.23
2013,_%,grad_zvornik,M,illiterate,1.03
2013,_%,grad_zvornik,Ž,illiterate,7.32
2013,_%,istocna_ilidza,Oba spola,illiterate,1.3
2013,_%,istocna_ilidza,M,illiterate,0.35
2013,_%,istocna_ilidza,Ž,illiterate,2.17
2013,_%,istocni_drvar,Oba spola,illiterate,3.08
2013,_%,istocni_drvar,M,illiterate,0.0
2013,_%,istocni_drvar,Ž,illiterate,9.09
2013,_%,istocni_mostar,Oba spola,illiterate,8.41
2013,_%,istocni_mostar,M,illiterate,0.78
2013,_%,istocni_mostar,Ž,illiterate,18.37
2013,_%,istocni_stari_grad,Oba spola,illiterate,3.87
2013,_%,istocni_stari_grad,M,illiterate,0.59
2013,_%,istocni_stari_grad,Ž,illiterate,7.01
2013,_%,istocno_novo_sarajevo,Oba spola,illiterate,0.86
2013,_%,istocno_novo_sarajevo,M,illiterate,0.32
2013,_%,istocno_novo_sarajevo,Ž,illiterate,1.35
2013,_%,jezero,Oba spola,illiterate,4.52
2013,_%,jezero,M,illiterate,1.42
2013,_%,jezero,Ž,illiterate,7.84
2013,_%,kalinovik,Oba spola,illiterate,4.66
2013,_%,kalinovik,M,illiterate,0.56
2013,_%,kalinovik,Ž,illiterate,8.53
2013,_%,knezevo,Oba spola,illiterate,11.35
2013,_%,knezevo,M,illiterate,3.47
2013,_%,knezevo,Ž,illiterate,18.97
2013,_%,kozarska_dubica,Oba spola,illiterate,3.09
2013,_%,kozarska_dubica,M,illiterate,0.83
2013,_%,kozarska_dubica,Ž,illiterate,5.24
2013,_%,kostajnica,Oba spola,illiterate,2.21
2013,_%,kostajnica,M,illiterate,0.55
2013,_%,kostajnica,Ž,illiterate,3.81
2013,_%,kotor_varos,Oba spola,illiterate,6.3
2013,_%,kotor_varos,M,illiterate,1.83
2013,_%,kotor_varos,Ž,illiterate,10.56
2013,_%,krupa_na_uni,Oba spola,illiterate,9.96
2013,_%,krupa_na_uni,M,illiterate,2.67
2013,_%,krupa_na_uni,Ž,illiterate,18.51
2013,_%,kupres,Oba spola,illiterate,28.93
2013,_%,kupres,M,illiterate,18.37
2013,_%,kupres,Ž,illiterate,40.6
2013,_%,laktasi,Oba spola,illiterate,2.45
