Year,UNIT_MEASURE,Grad/opština,Pol,Etnička/nacionalna pripadnost,Value
2013,Broj,Vlasenica,Ukupno,Bošnjaci,3360
2013,Broj,Vlasenica,M,Bošnjaci,1646
2013,Broj,Vlasenica,Ž,Bošnjaci,1714
2013,Broj,Vukosavlje,Ukupno,Bošnjaci,2025
2013,Broj,Vukosavlje,M,Bošnjaci,1034
2013,Broj,Vukosavlje,Ž,Bošnjaci,991
2013,Broj,Gacko,Ukupno,Bošnjaci,332
2013,Broj,Gacko,M,Bošnjaci,179
2013,Broj,Gacko,Ž,Bošnjaci,153
2013,Broj,Grad Gradiška,Ukupno,Bošnjaci,6266
2013,Broj,Grad Gradiška,M,Bošnjaci,3047
2013,Broj,Grad Gradiška,Ž,Bošnjaci,3219
2013,Broj,Grad Derventa,Ukupno,Bošnjaci,1686
2013,Broj,Grad Derventa,M,Bošnjaci,812
2013,Broj,Grad Derventa,Ž,Bošnjaci,874
2013,Broj,Grad Doboj,Ukupno,Bošnjaci,14417
2013,Broj,Grad Doboj,M,Bošnjaci,6904
2013,Broj,Grad Doboj,Ž,Bošnjaci,7513
2013,Broj,Donji Žabar,Ukupno,Bošnjaci,4
2013,Broj,Donji Žabar,M,Bošnjaci,0
2013,Broj,Donji Žabar,Ž,Bošnjaci,4
2013,Broj,Grad Zvornik,Ukupno,Bošnjaci,16775
2013,Broj,Grad Zvornik,M,Bošnjaci,8206
2013,Broj,Grad Zvornik,Ž,Bošnjaci,8569
2013,Broj,Istočna Ilidža,Ukupno,Bošnjaci,632
2013,Broj,Istočna Ilidža,M,Bošnjaci,293
2013,Broj,Istočna Ilidža,Ž,Bošnjaci,339
2013,Broj,Istočni Drvar,Ukupno,Bošnjaci,0
2013,Broj,Istočni Drvar,M,Bošnjaci,0
2013,Broj,Istočni Drvar,Ž,Bošnjaci,0
2013,Broj,Istočni Mostar,Ukupno,Bošnjaci,78
2013,Broj,Istočni Mostar,M,Bošnjaci,45
2013,Broj,Istočni Mostar,Ž,Bošnjaci,33
2013,Broj,Istočni Stari Grad,Ukupno,Bošnjaci,41
2013,Broj,Istočni Stari Grad,M,Bošnjaci,25
2013,Broj,Istočni Stari Grad,Ž,Bošnjaci,16
2013,Broj,Istočno Novo Sarajevo,Ukupno,Bošnjaci,44
2013,Broj,Istočno Novo Sarajevo,M,Bošnjaci,14
2013,Broj,Istočno Novo Sarajevo,Ž,Bošnjaci,30
2013,Broj,Jezero,Ukupno,Bošnjaci,251
2013,Broj,Jezero,M,Bošnjaci,118
2013,Broj,Jezero,Ž,Bošnjaci,133
2013,Broj,Kalinovik,Ukupno,Bošnjaci,43
2013,Broj,Kalinovik,M,Bošnjaci,19
2013,Broj,Kalinovik,Ž,Bošnjaci,24
2013,Broj,Kneževo,Ukupno,Bošnjaci,413
2013,Broj,Kneževo,M,Bošnjaci,186
2013,Broj,Kneževo,Ž,Bošnjaci,227
2013,Broj,Kozarska Dubica,Ukupno,Bošnjaci,1883
2013,Broj,Kozarska Dubica,M,Bošnjaci,906
2013,Broj,Kozarska Dubica,Ž,Bošnjaci,977
2013,Broj,Kostajnica,Ukupno,Bošnjaci,1276
2013,Broj,Kostajnica,M,Bošnjaci,626
2013,Broj,Kostajnica,Ž,Bošnjaci,650
2013,Broj,Kotor Varoš,Ukupno,Bošnjaci,4516
2013,Broj,Kotor Varoš,M,Bošnjaci,2173
2013,Broj,Kotor Varoš,Ž,Bošnjaci,2343
2013,Broj,Krupa Na Uni,Ukupno,Bošnjaci,3
2013,Broj,Krupa Na Uni,M,Bošnjaci,1
2013,Broj,Krupa Na Uni,Ž,Bošnjaci,2
2013,Broj,Kupres,Ukupno,Bošnjaci,0
2013,Broj,Kupres,M,Bošnjaci,0
2013,Broj,Kupres,Ž,Bošnjaci,0
2013,Broj,Laktaši,Ukupno,Bošnjaci,104
2013,Broj,Laktaši,M,Bošnjaci,47
2013,Broj,Laktaši,Ž,Bošnjaci,57
2013,Broj,Lopare,Ukupno,Bošnjaci,1310
2013,Broj,Lopare,M,Bošnjaci,646
2013,Broj,Lopare,Ž,Bošnjaci,664
2013,Broj,Ljubinje,Ukupno,Bošnjaci,9
2013,Broj,Ljubinje,M,Bošnjaci,5
