Year,UNIT_MEASURE,Teritory,Spol,Vitalna statistika,Value
2013,Broj,OSMACI,Ž,one_child,227
2013,Broj,OSTRA LUKA,Ž,one_child,79
2013,Broj,PALE,Ž,one_child,1269
2013,Broj,PELAGICEVO,Ž,one_child,240
2013,Broj,PETROVAC,Ž,one_child,23
2013,Broj,PETROVO,Ž,one_child,407
2013,Broj,PRIJEDOR,Ž,one_child,5181
2013,Broj,PRNJAVOR,Ž,one_child,1922
2013,Broj,RIBNIK,Ž,one_child,226
2013,Broj,ROGATICA,Ž,one_child,505
2013,Broj,RUDO,Ž,one_child,299
2013,Broj,SOKOLAC,Ž,one_child,646
2013,Broj,SRBAC,Ž,one_child,1066
2013,Broj,SREBRENICA,Ž,one_child,519
2013,Broj,TESLIC,Ž,one_child,1963
2013,Broj,TREBINJE,Ž,one_child,1415
2013,Broj,TRNOVO,Ž,one_child,114
2013,Broj,UGLJEVIK,Ž,one_child,797
2013,Broj,FOCA,Ž,one_child,829
2013,Broj,HAN PIJESAK,Ž,one_child,200
2013,Broj,CAJNICE,Ž,one_child,203
2013,Broj,CELINAC,Ž,one_child,640
2013,Broj,SAMAC,Ž,one_child,1094
2013,Broj,SEKOVICI,Ž,one_child,241
2013,Broj,SIPOVO,Ž,one_child,367
2013,Broj,REPUBLIKA SRPSKA,Ž,two_children,201271
2013,Broj,BANJA LUKA,Ž,two_children,32459
2013,Broj,BERKOVICI,Ž,two_children,239
2013,Broj,BIJELJINA,Ž,two_children,19232
2013,Broj,BILECA,Ž,two_children,1326
2013,Broj,BRATUNAC,Ž,two_children,2792
2013,Broj,BROD,Ž,two_children,2580
2013,Broj,VISEGRAD,Ž,two_children,1848
2013,Broj,VLASENICA,Ž,two_children,1665
2013,Broj,VUKOSAVLJE,Ž,two_children,559
2013,Broj,GACKO,Ž,two_children,1059
2013,Broj,GRADISKA,Ž,two_children,8900
2013,Broj,DERVENTA,Ž,two_children,4439
2013,Broj,DOBOJ,Ž,two_children,12173
2013,Broj,DONJI ZABAR,Ž,two_children,593
2013,Broj,ZVORNIK,Ž,two_children,8830
2013,Broj,ISTOCNA ILIDZA,Ž,two_children,2779
2013,Broj,ISTOCNI DRVAR,Ž,two_children,10
2013,Broj,ISTOCNI MOSTAR,Ž,two_children,33
2013,Broj,ISTOCNI STARI GRAD,Ž,two_children,228
2013,Broj,ISTOCNO NOVO SARAJEVO,Ž,two_children,1900
2013,Broj,JEZERO,Ž,two_children,148
2013,Broj,KALINOVIK,Ž,two_children,319
2013,Broj,KNEZEVO,Ž,two_children,1392
2013,Broj,KOZARSKA DUBICA,Ž,two_children,4143
2013,Broj,KOSTAJNICA,Ž,two_children,1052
2013,Broj,KOTOR VAROS,Ž,two_children,2402
2013,Broj,KRUPA NA UNI,Ž,two_children,192
2013,Broj,KUPRES,Ž,two_children,40
2013,Broj,LAKTASI,Ž,two_children,6184
2013,Broj,LOPARE,Ž,two_children,2505
2013,Broj,LJUBINJE,Ž,two_children,553
2013,Broj,MILICI,Ž,two_children,1495
2013,Broj,MODRICA,Ž,two_children,4165
2013,Broj,MRKONJIC GRAD,Ž,two_children,2860
2013,Broj,NEVESINJE,Ž,two_children,1754
2013,Broj,NOVI GRAD,Ž,two_children,4409
2013,Broj,NOVO GORAZDE,Ž,two_children,422
2013,Broj,OSMACI,Ž,two_children,797
2013,Broj,OSTRA LUKA,Ž,two_children,344
2013,Broj,PALE,Ž,two_children,3827
2013,Broj,PELAGICEVO,Ž,two_children,665
2013,Broj,PETROVAC,Ž,two_children,82
2013,Broj,PETROVO,Ž,two_children,1379
2013,Broj,PRIJEDOR,Ž,two_children,13567
2013,Broj,PRNJAVOR,Ž,two_children,6044
2013,Broj,RIBNIK,Ž,two_children,909
