Year,UNIT_MEASURE,Teritory,SEX,Live births,Value
2013,NUMBER,NOVO GORAZDE,F,two_children,422
2013,NUMBER,OSMACI,F,two_children,797
2013,NUMBER,OSTRA LUKA,F,two_children,344
2013,NUMBER,PALE,F,two_children,3827
2013,NUMBER,PELAGICEVO,F,two_children,665
2013,NUMBER,PETROVAC,F,two_children,82
2013,NUMBER,PETROVO,F,two_children,1379
2013,NUMBER,PRIJEDOR,F,two_children,13567
2013,NUMBER,PRNJAVOR,F,two_children,6044
2013,NUMBER,RIBNIK,F,two_children,909
2013,NUMBER,ROGATICA,F,two_children,1710
2013,NUMBER,RUDO,F,two_children,1350
2013,NUMBER,SOKOLAC,F,two_children,2140
2013,NUMBER,SRBAC,F,two_children,3026
2013,NUMBER,SREBRENICA,F,two_children,1722
2013,NUMBER,TESLIC,F,two_children,5747
2013,NUMBER,TREBINJE,F,two_children,4888
2013,NUMBER,TRNOVO,F,two_children,376
2013,NUMBER,UGLJEVIK,F,two_children,2613
2013,NUMBER,FOCA,F,two_children,2985
2013,NUMBER,HAN PIJESAK,F,two_children,636
2013,NUMBER,CAJNICE,F,two_children,677
2013,NUMBER,CELINAC,F,two_children,2447
2013,NUMBER,SAMAC,F,two_children,3141
2013,NUMBER,SEKOVICI,F,two_children,982
2013,NUMBER,SIPOVO,F,two_children,1538
2013,NUMBER,REPUBLIKA SRPSKA,F,three_children,75481
2013,NUMBER,BANJA LUKA,F,three_children,8070
2013,NUMBER,BERKOVICI,F,three_children,217
2013,NUMBER,BIJELJINA,F,three_children,5831
2013,NUMBER,BILECA,F,three_children,977
2013,NUMBER,BRATUNAC,F,three_children,1431
2013,NUMBER,BROD,F,three_children,1080
2013,NUMBER,VISEGRAD,F,three_children,712
2013,NUMBER,VLASENICA,F,three_children,713
2013,NUMBER,VUKOSAVLJE,F,three_children,347
2013,NUMBER,GACKO,F,three_children,776
2013,NUMBER,GRADISKA,F,three_children,3006
2013,NUMBER,DERVENTA,F,three_children,1724
2013,NUMBER,DOBOJ,F,three_children,4326
2013,NUMBER,DONJI ZABAR,F,three_children,250
2013,NUMBER,ZVORNIK,F,three_children,4031
2013,NUMBER,ISTOCNA ILIDZA,F,three_children,680
2013,NUMBER,ISTOCNI DRVAR,F,three_children,3
2013,NUMBER,ISTOCNI MOSTAR,F,three_children,15
2013,NUMBER,ISTOCNI STARI GRAD,F,three_children,83
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,three_children,443
2013,NUMBER,JEZERO,F,three_children,77
2013,NUMBER,KALINOVIK,F,three_children,171
2013,NUMBER,KNEZEVO,F,three_children,808
2013,NUMBER,KOZARSKA DUBICA,F,three_children,1200
2013,NUMBER,KOSTAJNICA,F,three_children,277
2013,NUMBER,KOTOR VAROS,F,three_children,1502
2013,NUMBER,KRUPA NA UNI,F,three_children,142
2013,NUMBER,KUPRES,F,three_children,27
2013,NUMBER,LAKTASI,F,three_children,2018
2013,NUMBER,LOPARE,F,three_children,1040
2013,NUMBER,LJUBINJE,F,three_children,328
2013,NUMBER,MILICI,F,three_children,838
2013,NUMBER,MODRICA,F,three_children,1652
2013,NUMBER,MRKONJIC GRAD,F,three_children,1314
2013,NUMBER,NEVESINJE,F,three_children,1064
2013,NUMBER,NOVI GRAD,F,three_children,1483
2013,NUMBER,NOVO GORAZDE,F,three_children,192
2013,NUMBER,OSMACI,F,three_children,427
2013,NUMBER,OSTRA LUKA,F,three_children,266
2013,NUMBER,PALE,F,three_children,1048
2013,NUMBER,PELAGICEVO,F,three_children,364
2013,NUMBER,PETROVAC,F,three_children,19
2013,NUMBER,PETROVO,F,three_children,379
2013,NUMBER,PRIJEDOR,F,three_children,5168
2013,NUMBER,PRNJAVOR,F,three_children,2451
2013,NUMBER,RIBNIK,F,three_children,572
2013,NUMBER,ROGATICA,F,three_children,824
2013,NUMBER,RUDO,F,three_children,604
2013,NUMBER,SOKOLAC,F,three_children,768
2013,NUMBER,SRBAC,F,three_children,1137
2013,NUMBER,SREBRENICA,F,three_children,914
2013,NUMBER,TESLIC,F,three_children,2955
2013,NUMBER,TREBINJE,F,three_children,2131
2013,NUMBER,TRNOVO,F,three_children,136
2013,NUMBER,UGLJEVIK,F,three_children,1018
2013,NUMBER,FOCA,F,three_children,1283
2013,NUMBER,HAN PIJESAK,F,three_children,282
2013,NUMBER,CAJNICE,F,three_children,408
2013,NUMBER,CELINAC,F,three_children,1172
2013,NUMBER,SAMAC,F,three_children,962
2013,NUMBER,SEKOVICI,F,three_children,558
2013,NUMBER,SIPOVO,F,three_children,787
2013,NUMBER,REPUBLIKA SRPSKA,F,four_children,22659
2013,NUMBER,BANJA LUKA,F,four_children,2049
2013,NUMBER,BERKOVICI,F,four_children,76
2013,NUMBER,BIJELJINA,F,four_children,1410
2013,NUMBER,BILECA,F,four_children,351
2013,NUMBER,BRATUNAC,F,four_children,492
2013,NUMBER,BROD,F,four_children,303
2013,NUMBER,VISEGRAD,F,four_children,194
2013,NUMBER,VLASENICA,F,four_children,266
2013,NUMBER,VUKOSAVLJE,F,four_children,148
2013,NUMBER,GACKO,F,four_children,273
2013,NUMBER,GRADISKA,F,four_children,817
2013,NUMBER,DERVENTA,F,four_children,506
2013,NUMBER,DOBOJ,F,four_children,1337
2013,NUMBER,DONJI ZABAR,F,four_children,69
2013,NUMBER,ZVORNIK,F,four_children,1267
2013,NUMBER,ISTOCNA ILIDZA,F,four_children,111
2013,NUMBER,ISTOCNI MOSTAR,F,four_children,5
2013,NUMBER,ISTOCNI STARI GRAD,F,four_children,23
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,four_children,82
2013,NUMBER,JEZERO,F,four_children,34
2013,NUMBER,KALINOVIK,F,four_children,53
2013,NUMBER,KNEZEVO,F,four_children,317
2013,NUMBER,KOZARSKA DUBICA,F,four_children,294
2013,NUMBER,KOSTAJNICA,F,four_children,70
2013,NUMBER,KOTOR VAROS,F,four_children,635
2013,NUMBER,KRUPA NA UNI,F,four_children,61
2013,NUMBER,KUPRES,F,four_children,13
2013,NUMBER,LAKTASI,F,four_children,549
2013,NUMBER,LOPARE,F,four_children,301
2013,NUMBER,LJUBINJE,F,four_children,74
2013,NUMBER,MILICI,F,four_children,277
2013,NUMBER,MODRICA,F,four_children,548
2013,NUMBER,MRKONJIC GRAD,F,four_children,393
2013,NUMBER,NEVESINJE,F,four_children,395
2013,NUMBER,NOVI GRAD,F,four_children,583
2013,NUMBER,NOVO GORAZDE,F,four_children,55
2013,NUMBER,OSMACI,F,four_children,171
2013,NUMBER,OSTRA LUKA,F,four_children,105
2013,NUMBER,PALE,F,four_children,235
2013,NUMBER,PELAGICEVO,F,four_children,133
2013,NUMBER,PETROVAC,F,four_children,2
2013,NUMBER,PETROVO,F,four_children,91
2013,NUMBER,PRIJEDOR,F,four_children,1761
2013,NUMBER,PRNJAVOR,F,four_children,769
2013,NUMBER,RIBNIK,F,four_children,198
2013,NUMBER,ROGATICA,F,four_children,259
2013,NUMBER,RUDO,F,four_children,201
2013,NUMBER,SOKOLAC,F,four_children,206
2013,NUMBER,SRBAC,F,four_children,306
2013,NUMBER,SREBRENICA,F,four_children,358
2013,NUMBER,TESLIC,F,four_children,1010
2013,NUMBER,TREBINJE,F,four_children,463
2013,NUMBER,TRNOVO,F,four_children,45
2013,NUMBER,UGLJEVIK,F,four_children,264
2013,NUMBER,FOCA,F,four_children,348
2013,NUMBER,HAN PIJESAK,F,four_children,75
2013,NUMBER,CAJNICE,F,four_children,140
2013,NUMBER,CELINAC,F,four_children,385
2013,NUMBER,SAMAC,F,four_children,235
2013,NUMBER,SEKOVICI,F,four_children,193
2013,NUMBER,SIPOVO,F,four_children,275
2013,NUMBER,REPUBLIKA SRPSKA,F,5+,17275
2013,NUMBER,BANJA LUKA,F,5+,1552
2013,NUMBER,BERKOVICI,F,5+,37
2013,NUMBER,BIJELJINA,F,5+,882
2013,NUMBER,BILECA,F,5+,169
2013,NUMBER,BRATUNAC,F,5+,489
2013,NUMBER,BROD,F,5+,224
2013,NUMBER,VISEGRAD,F,5+,123
2013,NUMBER,VLASENICA,F,5+,254
2013,NUMBER,VUKOSAVLJE,F,5+,140
2013,NUMBER,GACKO,F,5+,133
2013,NUMBER,GRADISKA,F,5+,677
2013,NUMBER,DERVENTA,F,5+,372
2013,NUMBER,DOBOJ,F,5+,1006
2013,NUMBER,DONJI ZABAR,F,5+,50
2013,NUMBER,ZVORNIK,F,5+,1008
2013,NUMBER,ISTOCNA ILIDZA,F,5+,54
2013,NUMBER,ISTOCNI MOSTAR,F,5+,7
2013,NUMBER,ISTOCNI STARI GRAD,F,5+,7
2013,NUMBER,ISTOCNO NOVO SARAJEVO,F,5+,30
2013,NUMBER,JEZERO,F,5+,26
2013,NUMBER,KALINOVIK,F,5+,43
2013,NUMBER,KNEZEVO,F,5+,365
2013,NUMBER,KOZARSKA DUBICA,F,5+,165
2013,NUMBER,KOSTAJNICA,F,5+,47
2013,NUMBER,KOTOR VAROS,F,5+,617
2013,NUMBER,KRUPA NA UNI,F,5+,65
2013,NUMBER,KUPRES,F,5+,10
2013,NUMBER,LAKTASI,F,5+,306
2013,NUMBER,LOPARE,F,5+,209
2013,NUMBER,LJUBINJE,F,5+,41
2013,NUMBER,MILICI,F,5+,239
2013,NUMBER,MODRICA,F,5+,366
2013,NUMBER,MRKONJIC GRAD,F,5+,295
2013,NUMBER,NEVESINJE,F,5+,204
2013,NUMBER,NOVI GRAD,F,5+,543
2013,NUMBER,NOVO GORAZDE,F,5+,42
2013,NUMBER,OSMACI,F,5+,175
2013,NUMBER,OSTRA LUKA,F,5+,102
2013,NUMBER,PALE,F,5+,95
2013,NUMBER,PELAGICEVO,F,5+,109
2013,NUMBER,PETROVO,F,5+,65
2013,NUMBER,PRIJEDOR,F,5+,1535
2013,NUMBER,PRNJAVOR,F,5+,610
2013,NUMBER,RIBNIK,F,5+,162
2013,NUMBER,ROGATICA,F,5+,143
2013,NUMBER,RUDO,F,5+,92
2013,NUMBER,SOKOLAC,F,5+,104
2013,NUMBER,SRBAC,F,5+,217
2013,NUMBER,SREBRENICA,F,5+,362
2013,NUMBER,TESLIC,F,5+,1100
2013,NUMBER,TREBINJE,F,5+,145
2013,NUMBER,TRNOVO,F,5+,22
2013,NUMBER,UGLJEVIK,F,5+,161
2013,NUMBER,FOCA,F,5+,218
2013,NUMBER,HAN PIJESAK,F,5+,47
2013,NUMBER,CAJNICE,F,5+,72
2013,NUMBER,CELINAC,F,5+,311
2013,NUMBER,SAMAC,F,5+,151
2013,NUMBER,SEKOVICI,F,5+,174
2013,NUMBER,SIPOVO,F,5+,306
