Year,UNIT_MEASURE,ADMIN_AREA,NUMBER_OF_HOUSEHOLDS_BY_HOUSEHOLD_SIZE,Value
2013,Број,kotor_varos,4_members,1206
2013,Број,krupa_na_uni,4_members,72
2013,Број,kupres,4_members,6
2013,Број,laktasi,4_members,2345
2013,Број,lopare,4_members,805
2013,Број,ljubinje,4_members,194
2013,Број,milici,4_members,714
2013,Број,modrica,4_members,1422
2013,Број,mrkonjic_grad,4_members,939
2013,Број,nevesinje,4_members,736
2013,Број,novi_grad,4_members,1422
2013,Број,novo_gorazde,4_members,204
2013,Број,osmaci,4_members,358
2013,Број,ostra_luka,4_members,131
2013,Број,pale,4_members,1418
2013,Број,pelagicevo,4_members,191
2013,Број,petrovac,4_members,19
2013,Број,petrovo,4_members,370
2013,Број,grad_prijedor,4_members,4862
2013,Број,prnjavor,4_members,1953
2013,Број,ribnik,4_members,308
2013,Број,rogatica,4_members,630
2013,Број,rudo,4_members,467
2013,Број,sokolac,4_members,728
2013,Број,srbac,4_members,1011
2013,Број,srebrenica,4_members,652
2013,Број,teslic,4_members,2147
2013,Број,grad_trebinje,4_members,1765
2013,Број,trnovo,4_members,110
2013,Број,ugljevik,4_members,932
2013,Број,foca,4_members,1115
2013,Број,han_pijesak,4_members,194
2013,Број,cajnice,4_members,278
2013,Број,celinac,4_members,964
2013,Број,samac,4_members,823
2013,Број,sekovici,4_members,379
2013,Број,sipovo,4_members,620
2013,Број,republika_srpska,5+_members,58469
2013,Број,grad_banja_luka,5+_members,6564
2013,Број,berkovici,5+_members,165
2013,Број,grad_bijeljina,5+_members,6090
2013,Број,bileca,5+_members,723
2013,Број,bratunac,5+_members,1147
2013,Број,brod,5+_members,765
2013,Број,visegrad,5+_members,356
2013,Број,vlasenica,5+_members,509
2013,Број,vukosavlje,5+_members,235
2013,Број,gacko,5+_members,581
2013,Број,grad_gradiska,5+_members,2701
2013,Број,grad_derventa,5+_members,1269
2013,Број,grad_doboj,5+_members,2871
2013,Број,donji_zabar,5+_members,268
2013,Број,grad_zvornik,5+_members,3231
2013,Број,istocna_ilidza,5+_members,613
2013,Број,istocni_drvar,5+_members,1
2013,Број,istocni_mostar,5+_members,17
2013,Број,istocni_stari_grad,5+_members,51
2013,Број,istocno_novo_sarajevo,5+_members,389
2013,Број,jezero,5+_members,57
2013,Број,kalinovik,5+_members,80
2013,Број,knezevo,5+_members,515
2013,Број,kozarska_dubica,5+_members,1047
2013,Број,kostajnica,5+_members,340
2013,Број,kotor_varos,5+_members,1131
2013,Број,krupa_na_uni,5+_members,100
2013,Број,kupres,5+_members,14
2013,Број,laktasi,5+_members,1846
2013,Број,lopare,5+_members,851
2013,Број,ljubinje,5+_members,199
2013,Број,milici,5+_members,508
2013,Број,modrica,5+_members,1249
2013,Број,mrkonjic_grad,5+_members,603
2013,Број,nevesinje,5+_members,843
2013,Број,novi_grad,5+_members,1346
2013,Број,novo_gorazde,5+_members,123
2013,Број,osmaci,5+_members,374
2013,Број,ostra_luka,5+_members,169
2013,Број,pale,5+_members,897
2013,Број,pelagicevo,5+_members,215
2013,Број,petrovac,5+_members,20
2013,Број,petrovo,5+_members,228
2013,Број,grad_prijedor,5+_members,4200
2013,Број,prnjavor,5+_members,1834
2013,Број,ribnik,5+_members,273
2013,Број,rogatica,5+_members,426
2013,Број,rudo,5+_members,310
2013,Број,sokolac,5+_members,491
2013,Број,srbac,5+_members,804
2013,Број,srebrenica,5+_members,752
