Year,UNIT_MEASURE,ADMIN_AREA,Пол,Literacy,Value
2013,_%,teslic,Укупно,illiterate,5.93
2013,_%,teslic,M,illiterate,1.43
2013,_%,teslic,Ж,illiterate,10.0
2013,_%,grad_trebinje,Укупно,illiterate,0.93
2013,_%,grad_trebinje,M,illiterate,0.25
2013,_%,grad_trebinje,Ж,illiterate,1.57
2013,_%,trnovo,Укупно,illiterate,4.1
2013,_%,trnovo,M,illiterate,1.13
2013,_%,trnovo,Ж,illiterate,6.84
2013,_%,ugljevik,Укупно,illiterate,3.29
2013,_%,ugljevik,M,illiterate,0.99
2013,_%,ugljevik,Ж,illiterate,5.61
2013,_%,foca,Укупно,illiterate,2.41
2013,_%,foca,M,illiterate,0.63
2013,_%,foca,Ж,illiterate,4.21
2013,_%,han_pijesak,Укупно,illiterate,2.76
2013,_%,han_pijesak,M,illiterate,0.67
2013,_%,han_pijesak,Ж,illiterate,4.61
2013,_%,cajnice,Укупно,illiterate,3.26
2013,_%,cajnice,M,illiterate,1.02
2013,_%,cajnice,Ж,illiterate,5.55
2013,_%,celinac,Укупно,illiterate,3.46
2013,_%,celinac,M,illiterate,0.83
2013,_%,celinac,Ж,illiterate,6.01
2013,_%,samac,Укупно,illiterate,1.99
2013,_%,samac,M,illiterate,0.76
2013,_%,samac,Ж,illiterate,3.14
2013,_%,sekovici,Укупно,illiterate,7.34
2013,_%,sekovici,M,illiterate,2.89
2013,_%,sekovici,Ж,illiterate,11.67
2013,_%,sipovo,Укупно,illiterate,4.74
2013,_%,sipovo,M,illiterate,1.07
2013,_%,sipovo,Ж,illiterate,8.46
2013,Број,republika_srpska,Укупно,unknown_literacy,10476.0
2013,Број,republika_srpska,M,unknown_literacy,3675.0
2013,Број,republika_srpska,Ж,unknown_literacy,6801.0
2013,Број,grad_banja_luka,Укупно,unknown_literacy,1192.0
2013,Број,grad_banja_luka,M,unknown_literacy,413.0
2013,Број,grad_banja_luka,Ж,unknown_literacy,779.0
2013,Број,berkovici,Укупно,unknown_literacy,27.0
2013,Број,berkovici,M,unknown_literacy,10.0
2013,Број,berkovici,Ж,unknown_literacy,17.0
2013,Број,grad_bijeljina,Укупно,unknown_literacy,916.0
2013,Број,grad_bijeljina,M,unknown_literacy,302.0
2013,Број,grad_bijeljina,Ж,unknown_literacy,614.0
2013,Број,bileca,Укупно,unknown_literacy,83.0
2013,Број,bileca,M,unknown_literacy,27.0
2013,Број,bileca,Ж,unknown_literacy,56.0
2013,Број,bratunac,Укупно,unknown_literacy,239.0
2013,Број,bratunac,M,unknown_literacy,80.0
2013,Број,bratunac,Ж,unknown_literacy,159.0
2013,Број,brod,Укупно,unknown_literacy,178.0
2013,Број,brod,M,unknown_literacy,59.0
2013,Број,brod,Ж,unknown_literacy,119.0
2013,Број,visegrad,Укупно,unknown_literacy,91.0
2013,Број,visegrad,M,unknown_literacy,32.0
2013,Број,visegrad,Ж,unknown_literacy,59.0
2013,Број,vlasenica,Укупно,unknown_literacy,185.0
2013,Број,vlasenica,M,unknown_literacy,65.0
2013,Број,vlasenica,Ж,unknown_literacy,120.0
2013,Број,vukosavlje,Укупно,unknown_literacy,76.0
2013,Број,vukosavlje,M,unknown_literacy,29.0
2013,Број,vukosavlje,Ж,unknown_literacy,47.0
2013,Број,gacko,Укупно,unknown_literacy,71.0
2013,Број,gacko,M,unknown_literacy,24.0
2013,Број,gacko,Ж,unknown_literacy,47.0
2013,Број,grad_gradiska,Укупно,unknown_literacy,423.0
2013,Број,grad_gradiska,M,unknown_literacy,163.0
2013,Број,grad_gradiska,Ж,unknown_literacy,260.0
2013,Број,grad_derventa,Укупно,unknown_literacy,368.0
2013,Број,grad_derventa,M,unknown_literacy,135.0
2013,Број,grad_derventa,Ж,unknown_literacy,233.0
2013,Број,grad_doboj,Укупно,unknown_literacy,481.0
2013,Број,grad_doboj,M,unknown_literacy,166.0
2013,Број,grad_doboj,Ж,unknown_literacy,315.0
2013,Број,donji_zabar,Укупно,unknown_literacy,81.0
2013,Број,donji_zabar,M,unknown_literacy,33.0
2013,Број,donji_zabar,Ж,unknown_literacy,48.0
2013,Број,grad_zvornik,Укупно,unknown_literacy,666.0
2013,Број,grad_zvornik,M,unknown_literacy,204.0
2013,Број,grad_zvornik,Ж,unknown_literacy,462.0
2013,Број,istocna_ilidza,Укупно,unknown_literacy,67.0
2013,Број,istocna_ilidza,M,unknown_literacy,21.0
2013,Број,istocna_ilidza,Ж,unknown_literacy,46.0
2013,Број,istocni_drvar,Укупно,unknown_literacy,0.0
2013,Број,istocni_drvar,M,unknown_literacy,0.0
2013,Број,istocni_drvar,Ж,unknown_literacy,0.0
2013,Број,istocni_mostar,Укупно,unknown_literacy,0.0
2013,Број,istocni_mostar,M,unknown_literacy,0.0
2013,Број,istocni_mostar,Ж,unknown_literacy,0.0
2013,Број,istocni_stari_grad,Укупно,unknown_literacy,6.0
2013,Број,istocni_stari_grad,M,unknown_literacy,2.0
2013,Број,istocni_stari_grad,Ж,unknown_literacy,4.0
2013,Број,istocno_novo_sarajevo,Укупно,unknown_literacy,36.0
2013,Број,istocno_novo_sarajevo,M,unknown_literacy,12.0
2013,Број,istocno_novo_sarajevo,Ж,unknown_literacy,24.0
2013,Број,jezero,Укупно,unknown_literacy,6.0
2013,Број,jezero,M,unknown_literacy,2.0
2013,Број,jezero,Ж,unknown_literacy,4.0
2013,Број,kalinovik,Укупно,unknown_literacy,12.0
2013,Број,kalinovik,M,unknown_literacy,5.0
2013,Број,kalinovik,Ж,unknown_literacy,7.0
2013,Број,knezevo,Укупно,unknown_literacy,78.0
2013,Број,knezevo,M,unknown_literacy,32.0
2013,Број,knezevo,Ж,unknown_literacy,46.0
2013,Број,kozarska_dubica,Укупно,unknown_literacy,124.0
