Year,UNIT_MEASURE,Пол,AGE,Value
2070,Број,Укупно,70-74,55785
2070,Број,Укупно,75-79,51065
2070,Број,Укупно,80-84,46146
2070,Број,Укупно,85-89,37018
2070,Број,Укупно,90-94,22121
2070,Број,Укупно,95-99,9101
2070,Број,Укупно,100-104,2248
2070,Број,Укупно,105-109,326
2070,Број,Укупно,110-114,17
2070,Број,Укупно,115-119,0
2070,Број,Укупно,120+,0
2019,Број,M,_T,556961
2019,Број,M,0,4821
2019,Број,M,1-4,19605
2019,Број,M,5-9,26081
2019,Број,M,10-14,28065
2019,Број,M,15-19,28888
2019,Број,M,20-24,34763
2019,Број,M,25-29,33778
2019,Број,M,30-34,37731
2019,Број,M,35-39,40916
2019,Број,M,40-44,41005
2019,Број,M,45-49,38553
2019,Број,M,50-54,39564
2019,Број,M,55-59,41736
2019,Број,M,60-64,41391
2019,Број,M,65-69,38180
2019,Број,M,70-74,26073
2019,Број,M,75-79,16594
2019,Број,M,80-84,12802
2019,Број,M,85-89,5055
2019,Број,M,90-94,1202
2019,Број,M,95-99,127
2019,Број,M,100-104,27
2019,Број,M,105-109,2
2019,Број,M,110-114,0
2019,Број,M,115-119,0
2019,Број,M,120+,0
2020,Број,M,_T,554363
2020,Број,M,0,4765
2020,Број,M,1-4,19608
2020,Број,M,5-9,25352
2020,Број,M,10-14,28088
2020,Број,M,15-19,28413
2020,Број,M,20-24,33250
2020,Број,M,25-29,34192
2020,Број,M,30-34,36787
2020,Број,M,35-39,40689
2020,Број,M,40-44,40893
2020,Број,M,45-49,39520
2020,Број,M,50-54,37934
2020,Број,M,55-59,41148
2020,Број,M,60-64,41051
2020,Број,M,65-69,38766
2020,Број,M,70-74,28359
2020,Број,M,75-79,15393
2020,Број,M,80-84,13225
2020,Број,M,85-89,5366
2020,Број,M,90-94,1397
2020,Број,M,95-99,146
2020,Број,M,100-104,20
2020,Број,M,105-109,2
2020,Број,M,110-114,0
2020,Број,M,115-119,0
2020,Број,M,120+,0
2025,Број,M,_T,540706
2025,Број,M,0,4485
2025,Број,M,1-4,18498
2025,Број,M,5-9,24391
2025,Број,M,10-14,25346
2025,Број,M,15-19,28034
2025,Број,M,20-24,28282
2025,Број,M,25-29,33192
2025,Број,M,30-34,34185
2025,Број,M,35-39,36705
2025,Број,M,40-44,40395
2025,Број,M,45-49,40327
2025,Број,M,50-54,38581
2025,Број,M,55-59,36474
2025,Број,M,60-64,38603
2025,Број,M,65-69,37266
2025,Број,M,70-74,33472
2025,Број,M,75-79,22351
