Year,UNIT_MEASURE,Teritory,Spol,household_members,Value
2013,Broj,Prnjavor,Oba spola,two_members,3253.0
2013,Broj,Ribnik,M,two_members,673.0
2013,Broj,Rogatica,Ž,two_members,1120.0
2013,Broj,Rudo,Oba spola,two_members,851.0
2013,Broj,Sokolac,M,two_members,1227.0
2013,Broj,Srbac,Ž,two_members,1729.0
2013,Broj,Srebrenica,Oba spola,two_members,858.0
2013,Broj,Teslić,M,two_members,3602.0
2013,Broj,Grad Trebinje,Ž,two_members,2317.0
2013,Broj,Trnovo,Oba spola,two_members,250.0
2013,Broj,Ugljevik,M,two_members,1118.0
2013,Broj,Foča,Ž,two_members,1877.0
2013,Broj,Han Pijesak,Oba spola,two_members,439.0
2013,Broj,Čajniče,M,two_members,442.0
2013,Broj,Čelinac,Ž,two_members,1260.0
2013,Broj,Šamac,Oba spola,two_members,1408.0
2013,Broj,Šekovići,M,two_members,783.0
2013,Broj,Šipovo,Ž,two_members,1059.0
2013,Broj,Republika Srpska,Oba spola,three_members,79155.0
2013,Broj,Grad Banja Luka,M,three_members,14267.0
2013,Broj,Berkovići,Ž,three_members,92.0
2013,Broj,Grad Bijeljina,Oba spola,three_members,6586.0
2013,Broj,Bileća,M,three_members,620.0
2013,Broj,Bratunac,Ž,three_members,1137.0
2013,Broj,Brod,Oba spola,three_members,1107.0
2013,Broj,Višegrad,M,three_members,724.0
2013,Broj,Vlasenica,Ž,three_members,747.0
2013,Broj,Vukosavlje,Oba spola,three_members,280.0
2013,Broj,Gacko,M,three_members,561.0
2013,Broj,Grad Gradiška,Ž,three_members,3140.0
2013,Broj,Grad Derventa,Oba spola,three_members,1688.0
2013,Broj,Grad Doboj,M,three_members,4956.0
2013,Broj,Donji Žabar,Ž,three_members,178.0
2013,Broj,Grad Zvornik,Oba spola,three_members,3400.0
2013,Broj,Istočna Ilidža,M,three_members,1075.0
2013,Broj,Istočni Drvar,Ž,three_members,6.0
2013,Broj,Istočni Mostar,Oba spola,three_members,12.0
2013,Broj,Istočni Stari Grad,M,three_members,75.0
