Year,UNIT_MEASURE,Teritory,Sex,Vital statistics,Value
2013,Number,MRKONJIC GRAD,F,two_children,2860
2013,Number,NEVESINJE,F,two_children,1754
2013,Number,NOVI GRAD,F,two_children,4409
2013,Number,NOVO GORAZDE,F,two_children,422
2013,Number,OSMACI,F,two_children,797
2013,Number,OSTRA LUKA,F,two_children,344
2013,Number,PALE,F,two_children,3827
2013,Number,PELAGICEVO,F,two_children,665
2013,Number,PETROVAC,F,two_children,82
2013,Number,PETROVO,F,two_children,1379
2013,Number,PRIJEDOR,F,two_children,13567
2013,Number,PRNJAVOR,F,two_children,6044
2013,Number,RIBNIK,F,two_children,909
2013,Number,ROGATICA,F,two_children,1710
2013,Number,RUDO,F,two_children,1350
2013,Number,SOKOLAC,F,two_children,2140
2013,Number,SRBAC,F,two_children,3026
2013,Number,SREBRENICA,F,two_children,1722
2013,Number,TESLIC,F,two_children,5747
2013,Number,TREBINJE,F,two_children,4888
2013,Number,TRNOVO,F,two_children,376
2013,Number,UGLJEVIK,F,two_children,2613
2013,Number,FOCA,F,two_children,2985
2013,Number,HAN PIJESAK,F,two_children,636
2013,Number,CAJNICE,F,two_children,677
2013,Number,CELINAC,F,two_children,2447
2013,Number,SAMAC,F,two_children,3141
2013,Number,SEKOVICI,F,two_children,982
2013,Number,SIPOVO,F,two_children,1538
2013,Number,REPUBLIKA SRPSKA,F,three_children,75481
2013,Number,BANJA LUKA,F,three_children,8070
2013,Number,BERKOVICI,F,three_children,217
2013,Number,BIJELJINA,F,three_children,5831
2013,Number,BILECA,F,three_children,977
2013,Number,BRATUNAC,F,three_children,1431
2013,Number,BROD,F,three_children,1080
2013,Number,VISEGRAD,F,three_children,712
2013,Number,VLASENICA,F,three_children,713
2013,Number,VUKOSAVLJE,F,three_children,347
2013,Number,GACKO,F,three_children,776
2013,Number,GRADISKA,F,three_children,3006
2013,Number,DERVENTA,F,three_children,1724
2013,Number,DOBOJ,F,three_children,4326
2013,Number,DONJI ZABAR,F,three_children,250
2013,Number,ZVORNIK,F,three_children,4031
2013,Number,ISTOCNA ILIDZA,F,three_children,680
2013,Number,ISTOCNI DRVAR,F,three_children,3
2013,Number,ISTOCNI MOSTAR,F,three_children,15
2013,Number,ISTOCNI STARI GRAD,F,three_children,83
2013,Number,ISTOCNO NOVO SARAJEVO,F,three_children,443
2013,Number,JEZERO,F,three_children,77
2013,Number,KALINOVIK,F,three_children,171
2013,Number,KNEZEVO,F,three_children,808
2013,Number,KOZARSKA DUBICA,F,three_children,1200
2013,Number,KOSTAJNICA,F,three_children,277
2013,Number,KOTOR VAROS,F,three_children,1502
2013,Number,KRUPA NA UNI,F,three_children,142
2013,Number,KUPRES,F,three_children,27
2013,Number,LAKTASI,F,three_children,2018
2013,Number,LOPARE,F,three_children,1040
2013,Number,LJUBINJE,F,three_children,328
2013,Number,MILICI,F,three_children,838
2013,Number,MODRICA,F,three_children,1652
2013,Number,MRKONJIC GRAD,F,three_children,1314
2013,Number,NEVESINJE,F,three_children,1064
2013,Number,NOVI GRAD,F,three_children,1483
2013,Number,NOVO GORAZDE,F,three_children,192
2013,Number,OSMACI,F,three_children,427
2013,Number,OSTRA LUKA,F,three_children,266
2013,Number,PALE,F,three_children,1048
2013,Number,PELAGICEVO,F,three_children,364
2013,Number,PETROVAC,F,three_children,19
2013,Number,PETROVO,F,three_children,379
2013,Number,PRIJEDOR,F,three_children,5168
2013,Number,PRNJAVOR,F,three_children,2451
2013,Number,RIBNIK,F,three_children,572
2013,Number,ROGATICA,F,three_children,824
2013,Number,RUDO,F,three_children,604
2013,Number,SOKOLAC,F,three_children,768
2013,Number,SRBAC,F,three_children,1137
2013,Number,SREBRENICA,F,three_children,914
2013,Number,TESLIC,F,three_children,2955
2013,Number,TREBINJE,F,three_children,2131
2013,Number,TRNOVO,F,three_children,136
2013,Number,UGLJEVIK,F,three_children,1018
2013,Number,FOCA,F,three_children,1283
2013,Number,HAN PIJESAK,F,three_children,282
2013,Number,CAJNICE,F,three_children,408
2013,Number,CELINAC,F,three_children,1172
2013,Number,SAMAC,F,three_children,962
2013,Number,SEKOVICI,F,three_children,558
2013,Number,SIPOVO,F,three_children,787
2013,Number,REPUBLIKA SRPSKA,F,four_children,22659
2013,Number,BANJA LUKA,F,four_children,2049
2013,Number,BERKOVICI,F,four_children,76
2013,Number,BIJELJINA,F,four_children,1410
2013,Number,BILECA,F,four_children,351
2013,Number,BRATUNAC,F,four_children,492
2013,Number,BROD,F,four_children,303
2013,Number,VISEGRAD,F,four_children,194
2013,Number,VLASENICA,F,four_children,266
2013,Number,VUKOSAVLJE,F,four_children,148
2013,Number,GACKO,F,four_children,273
2013,Number,GRADISKA,F,four_children,817
2013,Number,DERVENTA,F,four_children,506
2013,Number,DOBOJ,F,four_children,1337
2013,Number,DONJI ZABAR,F,four_children,69
2013,Number,ZVORNIK,F,four_children,1267
2013,Number,ISTOCNA ILIDZA,F,four_children,111
2013,Number,ISTOCNI DRVAR,F,four_children,0
2013,Number,ISTOCNI MOSTAR,F,four_children,5
2013,Number,ISTOCNI STARI GRAD,F,four_children,23
2013,Number,ISTOCNO NOVO SARAJEVO,F,four_children,82
2013,Number,JEZERO,F,four_children,34
2013,Number,KALINOVIK,F,four_children,53
2013,Number,KNEZEVO,F,four_children,317
2013,Number,KOZARSKA DUBICA,F,four_children,294
2013,Number,KOSTAJNICA,F,four_children,70
