Year,UNIT_MEASURE,Field of education,Sex,Value
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,7
2020,Number,"Business, administration and law",F,15
2020,Number,"Natural sciences, mathematics and statistics",F,14
2020,Number,Services,F,0
2020,Number,Health and social protection,F,63
2021,Number,Total,Total,435
2021,Number,"Social sciences, journalism and information",Total,117
2021,Number,Arts and humanities,Total,64
2021,Number,Information and communication technologies,Total,9
2021,Number,"Engineering, manufacturing and construction",Total,37
2021,Number,Education,Total,46
2021,Number,"Agriculture, forestry, fisheries and veterinary medicine",Total,28
2021,Number,"Business, administration and law",Total,28
2021,Number,"Natural sciences, mathematics and statistics",Total,20
2021,Number,Services,Total,4
2021,Number,Health and social protection,Total,82
2021,Number,Total,M,181
2021,Number,"Social sciences, journalism and information",M,46
2021,Number,Arts and humanities,M,32
2021,Number,Information and communication technologies,M,5
2021,Number,"Engineering, manufacturing and construction",M,19
2021,Number,Education,M,13
2021,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,11
2021,Number,"Business, administration and law",M,18
2021,Number,"Natural sciences, mathematics and statistics",M,2
2021,Number,Services,M,2
2021,Number,Health and social protection,M,33
2021,Number,Total,F,254
2021,Number,"Social sciences, journalism and information",F,71
2021,Number,Arts and humanities,F,32
2021,Number,Information and communication technologies,F,4
2021,Number,"Engineering, manufacturing and construction",F,18
2021,Number,Education,F,33
2021,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,17
2021,Number,"Business, administration and law",F,10
2021,Number,"Natural sciences, mathematics and statistics",F,18
2021,Number,Services,F,2
2021,Number,Health and social protection,F,49
