Year,UNIT_MEASURE,Град/општина,Пол,Највиша завршена школа,Value
2013,Број,Град Приједор,Ж,Без икаквог образовања,3158
2013,Број,Прњавор,Укупно,Без икаквог образовања,2654
2013,Број,Прњавор,M,Без икаквог образовања,391
2013,Број,Прњавор,Ж,Без икаквог образовања,2263
2013,Број,Рибник,Укупно,Без икаквог образовања,680
2013,Број,Рибник,M,Без икаквог образовања,118
2013,Број,Рибник,Ж,Без икаквог образовања,562
2013,Број,Рогатица,Укупно,Без икаквог образовања,633
2013,Број,Рогатица,M,Без икаквог образовања,89
2013,Број,Рогатица,Ж,Без икаквог образовања,544
2013,Број,Рудо,Укупно,Без икаквог образовања,279
2013,Број,Рудо,M,Без икаквог образовања,38
2013,Број,Рудо,Ж,Без икаквог образовања,241
2013,Број,Соколац,Укупно,Без икаквог образовања,392
2013,Број,Соколац,M,Без икаквог образовања,52
2013,Број,Соколац,Ж,Без икаквог образовања,340
2013,Број,Србац,Укупно,Без икаквог образовања,1115
2013,Број,Србац,M,Без икаквог образовања,235
2013,Број,Србац,Ж,Без икаквог образовања,880
2013,Број,Сребреница,Укупно,Без икаквог образовања,852
2013,Број,Сребреница,M,Без икаквог образовања,105
2013,Број,Сребреница,Ж,Без икаквог образовања,747
2013,Број,Теслић,Укупно,Без икаквог образовања,3299
2013,Број,Теслић,M,Без икаквог образовања,471
2013,Број,Теслић,Ж,Без икаквог образовања,2828
2013,Број,Град Требиње,Укупно,Без икаквог образовања,382
2013,Број,Град Требиње,M,Без икаквог образовања,44
2013,Број,Град Требиње,Ж,Без икаквог образовања,338
2013,Број,Трново,Укупно,Без икаквог образовања,143
2013,Број,Трново,M,Без икаквог образовања,14
2013,Број,Трново,Ж,Без икаквог образовања,129
2013,Број,Угљевик,Укупно,Без икаквог образовања,856
2013,Број,Угљевик,M,Без икаквог образовања,135
2013,Број,Угљевик,Ж,Без икаквог образовања,721
2013,Број,Фоча,Укупно,Без икаквог образовања,775
2013,Број,Фоча,M,Без икаквог образовања,92
2013,Број,Фоча,Ж,Без икаквог образовања,683
2013,Број,Хан Пијесак,Укупно,Без икаквог образовања,198
2013,Број,Хан Пијесак,M,Без икаквог образовања,22
2013,Број,Хан Пијесак,Ж,Без икаквог образовања,176
2013,Број,Чајниче,Укупно,Без икаквог образовања,224
2013,Број,Чајниче,M,Без икаквог образовања,31
2013,Број,Чајниче,Ж,Без икаквог образовања,193
2013,Број,Челинац,Укупно,Без икаквог образовања,832
2013,Број,Челинац,M,Без икаквог образовања,109
2013,Број,Челинац,Ж,Без икаквог образовања,723
2013,Број,Шамац,Укупно,Без икаквог образовања,627
2013,Број,Шамац,M,Без икаквог образовања,90
2013,Број,Шамац,Ж,Без икаквог образовања,537
2013,Број,Шековићи,Укупно,Без икаквог образовања,655
2013,Број,Шековићи,M,Без икаквог образовања,120
2013,Број,Шековићи,Ж,Без икаквог образовања,535
2013,Број,Шипово,Укупно,Без икаквог образовања,732
2013,Број,Шипово,M,Без икаквог образовања,120
2013,Број,Шипово,Ж,Без икаквог образовања,612
2013,Број,Република Српска,Укупно,Непотпуно основно образовање,97022
2013,Број,Република Српска,M,Непотпуно основно образовање,33465
2013,Број,Република Српска,Ж,Непотпуно основно образовање,63557
2013,Број,Град Бања Лука,Укупно,Непотпуно основно образовање,6483
2013,Број,Град Бања Лука,M,Непотпуно основно образовање,2117
2013,Број,Град Бања Лука,Ж,Непотпуно основно образовање,4366
2013,Број,Берковићи,Укупно,Непотпуно основно образовање,229
2013,Број,Берковићи,M,Непотпуно основно образовање,74
2013,Број,Берковићи,Ж,Непотпуно основно образовање,155
2013,Број,Град Бијељина,Укупно,Непотпуно основно образовање,10740
2013,Број,Град Бијељина,M,Непотпуно основно образовање,3999
2013,Број,Град Бијељина,Ж,Непотпуно основно образовање,6741
2013,Број,Билећа,Укупно,Непотпуно основно образовање,747
2013,Број,Билећа,M,Непотпуно основно образовање,187
2013,Број,Билећа,Ж,Непотпуно основно образовање,560
2013,Број,Братунац,Укупно,Непотпуно основно образовање,1364
2013,Број,Братунац,M,Непотпуно основно образовање,395
2013,Број,Братунац,Ж,Непотпуно основно образовање,969
2013,Број,Брод,Укупно,Непотпуно основно образовање,1241
2013,Број,Брод,M,Непотпуно основно образовање,328
2013,Број,Брод,Ж,Непотпуно основно образовање,913
2013,Број,Вишеград,Укупно,Непотпуно основно образовање,783
2013,Број,Вишеград,M,Непотпуно основно образовање,203
2013,Број,Вишеград,Ж,Непотпуно основно образовање,580
2013,Број,Власеница,Укупно,Непотпуно основно образовање,758
2013,Број,Власеница,M,Непотпуно основно образовање,243
2013,Број,Власеница,Ж,Непотпуно основно образовање,515
2013,Број,Вукосавље,Укупно,Непотпуно основно образовање,719
2013,Број,Вукосавље,M,Непотпуно основно образовање,300
2013,Број,Вукосавље,Ж,Непотпуно основно образовање,419
2013,Број,Гацко,Укупно,Непотпуно основно образовање,496
2013,Број,Гацко,M,Непотпуно основно образовање,135
2013,Број,Гацко,Ж,Непотпуно основно образовање,361
2013,Број,Град Градишка,Укупно,Непотпуно основно образовање,4821
2013,Број,Град Градишка,M,Непотпуно основно образовање,1832
2013,Број,Град Градишка,Ж,Непотпуно основно образовање,2989
2013,Број,Град Дервента,Укупно,Непотпуно основно образовање,2759
2013,Број,Град Дервента,M,Непотпуно основно образовање,1030
2013,Број,Град Дервента,Ж,Непотпуно основно образовање,1729
2013,Број,Град Добој,Укупно,Непотпуно основно образовање,6019
2013,Број,Град Добој,M,Непотпуно основно образовање,1823
2013,Број,Град Добој,Ж,Непотпуно основно образовање,4196
2013,Број,Доњи Жабар,Укупно,Непотпуно основно образовање,707
2013,Број,Доњи Жабар,M,Непотпуно основно образовање,304
2013,Број,Доњи Жабар,Ж,Непотпуно основно образовање,403
2013,Број,Град Зворник,Укупно,Непотпуно основно образовање,4702
2013,Број,Град Зворник,M,Непотпуно основно образовање,1472
2013,Број,Град Зворник,Ж,Непотпуно основно образовање,3230
2013,Број,Источна Илиџа,Укупно,Непотпуно основно образовање,550
2013,Број,Источна Илиџа,M,Непотпуно основно образовање,65
2013,Број,Источна Илиџа,Ж,Непотпуно основно образовање,485
2013,Број,Источни Дрвар,Укупно,Непотпуно основно образовање,6
2013,Број,Источни Дрвар,M,Непотпуно основно образовање,4
2013,Број,Источни Дрвар,Ж,Непотпуно основно образовање,2
2013,Број,Источни Мостар,Укупно,Непотпуно основно образовање,41
2013,Број,Источни Мостар,M,Непотпуно основно образовање,21
2013,Број,Источни Мостар,Ж,Непотпуно основно образовање,20
2013,Број,Источни Стари Град,Укупно,Непотпуно основно образовање,133
2013,Број,Источни Стари Град,M,Непотпуно основно образовање,29
2013,Број,Источни Стари Град,Ж,Непотпуно основно образовање,104
2013,Број,Источно Ново Сарајево,Укупно,Непотпуно основно образовање,454
2013,Број,Источно Ново Сарајево,M,Непотпуно основно образовање,89
2013,Број,Источно Ново Сарајево,Ж,Непотпуно основно образовање,365
2013,Број,Језеро,Укупно,Непотпуно основно образовање,105
2013,Број,Језеро,M,Непотпуно основно образовање,39
2013,Број,Језеро,Ж,Непотпуно основно образовање,66
2013,Број,Калиновик,Укупно,Непотпуно основно образовање,175
2013,Број,Калиновик,M,Непотпуно основно образовање,48
2013,Број,Калиновик,Ж,Непотпуно основно образовање,127
2013,Број,Кнежево,Укупно,Непотпуно основно образовање,752
2013,Број,Кнежево,M,Непотпуно основно образовање,318
2013,Број,Кнежево,Ж,Непотпуно основно образовање,434
2013,Број,Козарска Дубица,Укупно,Непотпуно основно образовање,1894
2013,Број,Козарска Дубица,M,Непотпуно основно образовање,683
2013,Број,Козарска Дубица,Ж,Непотпуно основно образовање,1211
2013,Број,Костајница,Укупно,Непотпуно основно образовање,387
2013,Број,Костајница,M,Непотпуно основно образовање,132
2013,Број,Костајница,Ж,Непотпуно основно образовање,255
2013,Број,Котор Варош,Укупно,Непотпуно основно образовање,1183
2013,Број,Котор Варош,M,Непотпуно основно образовање,391
2013,Број,Котор Варош,Ж,Непотпуно основно образовање,792
2013,Број,Крупа на Уни,Укупно,Непотпуно основно образовање,316
2013,Број,Крупа на Уни,M,Непотпуно основно образовање,165
2013,Број,Крупа на Уни,Ж,Непотпуно основно образовање,151
2013,Број,Купрес,Укупно,Непотпуно основно образовање,19
2013,Број,Купрес,M,Непотпуно основно образовање,9
2013,Број,Купрес,Ж,Непотпуно основно образовање,10
2013,Број,Лакташи,Укупно,Непотпуно основно образовање,2504
2013,Број,Лакташи,M,Непотпуно основно образовање,946
2013,Број,Лакташи,Ж,Непотпуно основно образовање,1558
2013,Број,Лопаре,Укупно,Непотпуно основно образовање,2118
2013,Број,Лопаре,M,Непотпуно основно образовање,943
2013,Број,Лопаре,Ж,Непотпуно основно образовање,1175
2013,Број,Љубиње,Укупно,Непотпуно основно образовање,275
2013,Број,Љубиње,M,Непотпуно основно образовање,64
2013,Број,Љубиње,Ж,Непотпуно основно образовање,211
2013,Број,Милићи,Укупно,Непотпуно основно образовање,729
2013,Број,Милићи,M,Непотпуно основно образовање,217
2013,Број,Милићи,Ж,Непотпуно основно образовање,512
2013,Број,Модрича,Укупно,Непотпуно основно образовање,2912
2013,Број,Модрича,M,Непотпуно основно образовање,1049
2013,Број,Модрича,Ж,Непотпуно основно образовање,1863
2013,Број,Мркоњић Град,Укупно,Непотпуно основно образовање,1769
2013,Број,Мркоњић Град,M,Непотпуно основно образовање,777
2013,Број,Мркоњић Град,Ж,Непотпуно основно образовање,992
2013,Број,Невесиње,Укупно,Непотпуно основно образовање,1048
2013,Број,Невесиње,M,Непотпуно основно образовање,265
2013,Број,Невесиње,Ж,Непотпуно основно образовање,783
2013,Број,Нови Град,Укупно,Непотпуно основно образовање,2172
2013,Број,Нови Град,M,Непотпуно основно образовање,757
2013,Број,Нови Град,Ж,Непотпуно основно образовање,1415
2013,Број,Ново Горажде,Укупно,Непотпуно основно образовање,162
2013,Број,Ново Горажде,M,Непотпуно основно образовање,52
2013,Број,Ново Горажде,Ж,Непотпуно основно образовање,110
2013,Број,Осмаци,Укупно,Непотпуно основно образовање,552
2013,Број,Осмаци,M,Непотпуно основно образовање,172
2013,Број,Осмаци,Ж,Непотпуно основно образовање,380
2013,Број,Оштра Лука,Укупно,Непотпуно основно образовање,352
2013,Број,Оштра Лука,M,Непотпуно основно образовање,154
2013,Број,Оштра Лука,Ж,Непотпуно основно образовање,198
2013,Број,Пале,Укупно,Непотпуно основно образовање,986
2013,Број,Пале,M,Непотпуно основно образовање,214
2013,Број,Пале,Ж,Непотпуно основно образовање,772
2013,Број,Пелагићево,Укупно,Непотпуно основно образовање,1081
2013,Број,Пелагићево,M,Непотпуно основно образовање,459
2013,Број,Пелагићево,Ж,Непотпуно основно образовање,622
2013,Број,Петровац,Укупно,Непотпуно основно образовање,28
2013,Број,Петровац,M,Непотпуно основно образовање,4
2013,Број,Петровац,Ж,Непотпуно основно образовање,24
2013,Број,Петрово,Укупно,Непотпуно основно образовање,733
2013,Број,Петрово,M,Непотпуно основно образовање,180
2013,Број,Петрово,Ж,Непотпуно основно образовање,553
2013,Број,Град Приједор,Укупно,Непотпуно основно образовање,6219
2013,Број,Град Приједор,M,Непотпуно основно образовање,1948
2013,Број,Град Приједор,Ж,Непотпуно основно образовање,4271
2013,Број,Прњавор,Укупно,Непотпуно основно образовање,4458
2013,Број,Прњавор,M,Непотпуно основно образовање,1948
2013,Број,Прњавор,Ж,Непотпуно основно образовање,2510
2013,Број,Рибник,Укупно,Непотпуно основно образовање,641
2013,Број,Рибник,M,Непотпуно основно образовање,249
2013,Број,Рибник,Ж,Непотпуно основно образовање,392
2013,Број,Рогатица,Укупно,Непотпуно основно образовање,799
2013,Број,Рогатица,M,Непотпуно основно образовање,239
2013,Број,Рогатица,Ж,Непотпуно основно образовање,560
2013,Број,Рудо,Укупно,Непотпуно основно образовање,719
2013,Број,Рудо,M,Непотпуно основно образовање,197
2013,Број,Рудо,Ж,Непотпуно основно образовање,522
2013,Број,Соколац,Укупно,Непотпуно основно образовање,747
2013,Број,Соколац,M,Непотпуно основно образовање,207
2013,Број,Соколац,Ж,Непотпуно основно образовање,540
2013,Број,Србац,Укупно,Непотпуно основно образовање,2023
2013,Број,Србац,M,Непотпуно основно образовање,857
2013,Број,Србац,Ж,Непотпуно основно образовање,1166
2013,Број,Сребреница,Укупно,Непотпуно основно образовање,1086
2013,Број,Сребреница,M,Непотпуно основно образовање,308
2013,Број,Сребреница,Ж,Непотпуно основно образовање,778
2013,Број,Теслић,Укупно,Непотпуно основно образовање,4433
2013,Број,Теслић,M,Непотпуно основно образовање,1551
2013,Број,Теслић,Ж,Непотпуно основно образовање,2882
2013,Број,Град Требиње,Укупно,Непотпуно основно образовање,1156
2013,Број,Град Требиње,M,Непотпуно основно образовање,210
2013,Број,Град Требиње,Ж,Непотпуно основно образовање,946
2013,Број,Трново,Укупно,Непотпуно основно образовање,151
2013,Број,Трново,M,Непотпуно основно образовање,36
2013,Број,Трново,Ж,Непотпуно основно образовање,115
2013,Број,Угљевик,Укупно,Непотпуно основно образовање,1829
2013,Број,Угљевик,M,Непотпуно основно образовање,734
2013,Број,Угљевик,Ж,Непотпуно основно образовање,1095
2013,Број,Фоча,Укупно,Непотпуно основно образовање,1301
2013,Број,Фоча,M,Непотпуно основно образовање,346
2013,Број,Фоча,Ж,Непотпуно основно образовање,955
2013,Број,Хан Пијесак,Укупно,Непотпуно основно образовање,258
2013,Број,Хан Пијесак,M,Непотпуно основно образовање,61
2013,Број,Хан Пијесак,Ж,Непотпуно основно образовање,197
2013,Број,Чајниче,Укупно,Непотпуно основно образовање,474
2013,Број,Чајниче,M,Непотпуно основно образовање,149
2013,Број,Чајниче,Ж,Непотпуно основно образовање,325
2013,Број,Челинац,Укупно,Непотпуно основно образовање,1317
2013,Број,Челинац,M,Непотпуно основно образовање,474
2013,Број,Челинац,Ж,Непотпуно основно образовање,843
2013,Број,Шамац,Укупно,Непотпуно основно образовање,2046
2013,Број,Шамац,M,Непотпуно основно образовање,731
2013,Број,Шамац,Ж,Непотпуно основно образовање,1315
2013,Број,Шековићи,Укупно,Непотпуно основно образовање,453
2013,Број,Шековићи,M,Непотпуно основно образовање,181
2013,Број,Шековићи,Ж,Непотпуно основно образовање,272
2013,Број,Шипово,Укупно,Непотпуно основно образовање,908
2013,Број,Шипово,M,Непотпуно основно образовање,351
2013,Број,Шипово,Ж,Непотпуно основно образовање,557
2013,Број,Република Српска,Укупно,Основна школа,212834
2013,Број,Република Српска,M,Основна школа,95682
2013,Број,Република Српска,Ж,Основна школа,117152
2013,Број,Град Бања Лука,Укупно,Основна школа,23011
2013,Број,Град Бања Лука,M,Основна школа,9927
2013,Број,Град Бања Лука,Ж,Основна школа,13084
2013,Број,Берковићи,Укупно,Основна школа,430
2013,Број,Берковићи,M,Основна школа,221
2013,Број,Берковићи,Ж,Основна школа,209
2013,Број,Град Бијељина,Укупно,Основна школа,18771
2013,Број,Град Бијељина,M,Основна школа,8590
2013,Број,Град Бијељина,Ж,Основна школа,10181
2013,Број,Билећа,Укупно,Основна школа,1951
2013,Број,Билећа,M,Основна школа,867
2013,Број,Билећа,Ж,Основна школа,1084
2013,Број,Братунац,Укупно,Основна школа,3893
2013,Број,Братунац,M,Основна школа,1769
2013,Број,Братунац,Ж,Основна школа,2124
2013,Број,Брод,Укупно,Основна школа,2986
2013,Број,Брод,M,Основна школа,1248
2013,Број,Брод,Ж,Основна школа,1738
2013,Број,Вишеград,Укупно,Основна школа,1626
2013,Број,Вишеград,M,Основна школа,593
2013,Број,Вишеград,Ж,Основна школа,1033
2013,Број,Власеница,Укупно,Основна школа,2268
2013,Број,Власеница,M,Основна школа,993
2013,Број,Власеница,Ж,Основна школа,1275
2013,Број,Вукосавље,Укупно,Основна школа,999
2013,Број,Вукосавље,M,Основна школа,472
2013,Број,Вукосавље,Ж,Основна школа,527
