Year,UNIT_MEASURE,Административна област,Витална статистика,Value
2013,Број,Теслић,four_children,1010
2013,Број,Град Требиње,four_children,463
2013,Број,Трново,four_children,45
2013,Број,Угљевик,four_children,264
2013,Број,Фоча,four_children,348
2013,Број,Хан Пијесак,four_children,75
2013,Број,Чајниче,four_children,140
2013,Број,Челинац,four_children,385
2013,Број,Шамац,four_children,235
2013,Број,Шековићи,four_children,193
2013,Број,Шипово,four_children,275
2013,Број,Република Српска,5+_children,17275
2013,Број,Град Бања Лука,5+_children,1552
2013,Број,Берковићи,5+_children,37
2013,Број,Град Бијељина,5+_children,882
2013,Број,Билећа,5+_children,169
2013,Број,Братунац,5+_children,489
2013,Број,Брод,5+_children,224
2013,Број,Вишеград,5+_children,123
2013,Број,Власеница,5+_children,254
2013,Број,Вукосавље,5+_children,140
2013,Број,Гацко,5+_children,133
2013,Број,Град Градишка,5+_children,677
2013,Број,Град Дервента,5+_children,372
2013,Број,Град Добој,5+_children,1006
2013,Број,Доњи Жабар,5+_children,50
2013,Број,Град Зворник,5+_children,1008
2013,Број,Источна Илиџа,5+_children,54
2013,Број,Источни Дрвар,5+_children,0
2013,Број,Источни Мостар,5+_children,7
2013,Број,Источни Стари Град,5+_children,7
2013,Број,Источно Ново Сарајево,5+_children,30
2013,Број,Језеро,5+_children,26
2013,Број,Калиновик,5+_children,43
2013,Број,Кнежево,5+_children,365
2013,Број,Козарска Дубица,5+_children,165
2013,Број,Костајница,5+_children,47
2013,Број,Котор Варош,5+_children,617
2013,Број,Крупа на Уни,5+_children,65
2013,Број,Купрес,5+_children,10
2013,Број,Лакташи,5+_children,306
2013,Број,Лопаре,5+_children,209
2013,Број,Љубиње,5+_children,41
2013,Број,Милићи,5+_children,239
2013,Број,Модрича,5+_children,366
2013,Број,Мркоњић Град,5+_children,295
2013,Број,Невесиње,5+_children,204
2013,Број,Нови Град,5+_children,543
2013,Број,Ново Горажде,5+_children,42
2013,Број,Осмаци,5+_children,175
2013,Број,Оштра Лука,5+_children,102
2013,Број,Пале,5+_children,95
2013,Број,Пелагићево,5+_children,109
2013,Број,Петровац,5+_children,0
2013,Број,Петрово,5+_children,65
2013,Број,Град Приједор,5+_children,1535
2013,Број,Прњавор,5+_children,610
2013,Број,Рибник,5+_children,162
2013,Број,Рогатица,5+_children,143
2013,Број,Рудо,5+_children,92
2013,Број,Соколац,5+_children,104
2013,Број,Србац,5+_children,217
2013,Број,Сребреница,5+_children,362
2013,Број,Теслић,5+_children,1100
2013,Број,Град Требиње,5+_children,145
2013,Број,Трново,5+_children,22
2013,Број,Угљевик,5+_children,161
2013,Број,Фоча,5+_children,218
2013,Број,Хан Пијесак,5+_children,47
2013,Број,Чајниче,5+_children,72
2013,Број,Челинац,5+_children,311
2013,Број,Шамац,5+_children,151
2013,Број,Шековићи,5+_children,174
2013,Број,Шипово,5+_children,306
