Year,UNIT_MEASURE,Grad/opština,Pol,Starost,Value
2013,Broj,Berkovići,M,5-9,69
2013,Broj,Berkovići,Ž,5-9,60
2013,Broj,Grad Bijeljina,Ukupno,5-9,4964
2013,Broj,Grad Bijeljina,M,5-9,2576
2013,Broj,Grad Bijeljina,Ž,5-9,2388
2013,Broj,Bileća,Ukupno,5-9,471
2013,Broj,Bileća,M,5-9,259
2013,Broj,Bileća,Ž,5-9,212
2013,Broj,Bratunac,Ukupno,5-9,985
2013,Broj,Bratunac,M,5-9,496
2013,Broj,Bratunac,Ž,5-9,489
2013,Broj,Brod,Ukupno,5-9,708
2013,Broj,Brod,M,5-9,377
2013,Broj,Brod,Ž,5-9,331
2013,Broj,Višegrad,Ukupno,5-9,404
2013,Broj,Višegrad,M,5-9,197
2013,Broj,Višegrad,Ž,5-9,207
2013,Broj,Vlasenica,Ukupno,5-9,523
2013,Broj,Vlasenica,M,5-9,267
2013,Broj,Vlasenica,Ž,5-9,256
2013,Broj,Vukosavlje,Ukupno,5-9,217
2013,Broj,Vukosavlje,M,5-9,113
2013,Broj,Vukosavlje,Ž,5-9,104
2013,Broj,Gacko,Ukupno,5-9,436
2013,Broj,Gacko,M,5-9,236
2013,Broj,Gacko,Ž,5-9,200
2013,Broj,Grad Gradiška,Ukupno,5-9,2159
2013,Broj,Grad Gradiška,M,5-9,1102
2013,Broj,Grad Gradiška,Ž,5-9,1057
2013,Broj,Grad Derventa,Ukupno,5-9,1168
2013,Broj,Grad Derventa,M,5-9,607
2013,Broj,Grad Derventa,Ž,5-9,561
2013,Broj,Grad Doboj,Ukupno,5-9,2914
2013,Broj,Grad Doboj,M,5-9,1452
2013,Broj,Grad Doboj,Ž,5-9,1462
2013,Broj,Donji Žabar,Ukupno,5-9,174
2013,Broj,Donji Žabar,M,5-9,99
2013,Broj,Donji Žabar,Ž,5-9,75
2013,Broj,Grad Zvornik,Ukupno,5-9,2948
2013,Broj,Grad Zvornik,M,5-9,1518
2013,Broj,Grad Zvornik,Ž,5-9,1430
2013,Broj,Istočni Drvar,Ukupno,5-9,1
2013,Broj,Istočni Drvar,M,5-9,1
2013,Broj,Istočni Drvar,Ž,5-9,0
2013,Broj,Istočni Mostar,Ukupno,5-9,11
2013,Broj,Istočni Mostar,M,5-9,6
2013,Broj,Istočni Mostar,Ž,5-9,5
2013,Broj,Grad Istočno Sarajevo,Ukupno,5-9,2643
2013,Broj,Grad Istočno Sarajevo,M,5-9,1330
2013,Broj,Grad Istočno Sarajevo,Ž,5-9,1313
2013,Broj,Istočna Ilidža,Ukupno,5-9,658
2013,Broj,Istočna Ilidža,M,5-9,321
2013,Broj,Istočna Ilidža,Ž,5-9,337
2013,Broj,Istočno Novo Sarajevo,Ukupno,5-9,479
2013,Broj,Istočno Novo Sarajevo,M,5-9,239
2013,Broj,Istočno Novo Sarajevo,Ž,5-9,240
2013,Broj,Istočni Stari Grad,Ukupno,5-9,39
2013,Broj,Istočni Stari Grad,M,5-9,22
2013,Broj,Istočni Stari Grad,Ž,5-9,17
2013,Broj,Pale,Ukupno,5-9,870
2013,Broj,Pale,M,5-9,442
2013,Broj,Pale,Ž,5-9,428
2013,Broj,Sokolac,Ukupno,5-9,533
2013,Broj,Sokolac,M,5-9,269
2013,Broj,Sokolac,Ž,5-9,264
2013,Broj,Trnovo,Ukupno,5-9,64
2013,Broj,Trnovo,M,5-9,37
2013,Broj,Trnovo,Ž,5-9,27
2013,Broj,Jezero,Ukupno,5-9,52
2013,Broj,Jezero,M,5-9,24
2013,Broj,Jezero,Ž,5-9,28
2013,Broj,Kalinovik,Ukupno,5-9,67
2013,Broj,Kalinovik,M,5-9,29
2013,Broj,Kalinovik,Ž,5-9,38
2013,Broj,Kneževo,Ukupno,5-9,399
2013,Broj,Kneževo,M,5-9,206
2013,Broj,Kneževo,Ž,5-9,193
2013,Broj,Kostajnica,Ukupno,5-9,225
2013,Broj,Kostajnica,M,5-9,122
2013,Broj,Kostajnica,Ž,5-9,103
2013,Broj,Kotor Varoš,Ukupno,5-9,958
2013,Broj,Kotor Varoš,M,5-9,489
2013,Broj,Kotor Varoš,Ž,5-9,469
2013,Broj,Kozarska Dubica,Ukupno,5-9,816
2013,Broj,Kozarska Dubica,M,5-9,409
2013,Broj,Kozarska Dubica,Ž,5-9,407
2013,Broj,Krupa Na Uni,Ukupno,5-9,56
2013,Broj,Krupa Na Uni,M,5-9,29
2013,Broj,Krupa Na Uni,Ž,5-9,27
2013,Broj,Kupres,Ukupno,5-9,8
2013,Broj,Kupres,M,5-9,5
2013,Broj,Kupres,Ž,5-9,3
2013,Broj,Laktaši,Ukupno,5-9,1847
2013,Broj,Laktaši,M,5-9,937
2013,Broj,Laktaši,Ž,5-9,910
2013,Broj,Lopare,Ukupno,5-9,590
2013,Broj,Lopare,M,5-9,298
2013,Broj,Lopare,Ž,5-9,292
2013,Broj,Ljubinje,Ukupno,5-9,127
2013,Broj,Ljubinje,M,5-9,62
2013,Broj,Ljubinje,Ž,5-9,65
2013,Broj,Milići,Ukupno,5-9,498
2013,Broj,Milići,M,5-9,257
2013,Broj,Milići,Ž,5-9,241
2013,Broj,Modriča,Ukupno,5-9,1130
2013,Broj,Modriča,M,5-9,570
2013,Broj,Modriča,Ž,5-9,560
2013,Broj,Mrkonjić Grad,Ukupno,5-9,734
2013,Broj,Mrkonjić Grad,M,5-9,383
2013,Broj,Mrkonjić Grad,Ž,5-9,351
2013,Broj,Nevesinje,Ukupno,5-9,640
2013,Broj,Nevesinje,M,5-9,320
2013,Broj,Nevesinje,Ž,5-9,320
2013,Broj,Novi Grad,Ukupno,5-9,1001
2013,Broj,Novi Grad,M,5-9,523
2013,Broj,Novi Grad,Ž,5-9,478
2013,Broj,Novo Goražde,Ukupno,5-9,94
2013,Broj,Novo Goražde,M,5-9,40
2013,Broj,Novo Goražde,Ž,5-9,54
2013,Broj,Osmaci,Ukupno,5-9,261
2013,Broj,Osmaci,M,5-9,136
2013,Broj,Osmaci,Ž,5-9,125
2013,Broj,Oštra Luka,Ukupno,5-9,137
2013,Broj,Oštra Luka,M,5-9,75
2013,Broj,Oštra Luka,Ž,5-9,62
2013,Broj,Pelagićevo,Ukupno,5-9,157
2013,Broj,Pelagićevo,M,5-9,82
2013,Broj,Pelagićevo,Ž,5-9,75
2013,Broj,Petrovac,Ukupno,5-9,18
2013,Broj,Petrovac,M,5-9,9
2013,Broj,Petrovac,Ž,5-9,9
2013,Broj,Petrovo,Ukupno,5-9,226
2013,Broj,Petrovo,M,5-9,110
2013,Broj,Petrovo,Ž,5-9,116
2013,Broj,Grad Prijedor,Ukupno,5-9,3337
2013,Broj,Grad Prijedor,M,5-9,1733
2013,Broj,Grad Prijedor,Ž,5-9,1604
2013,Broj,Prnjavor,Ukupno,5-9,1591
2013,Broj,Prnjavor,M,5-9,805
2013,Broj,Prnjavor,Ž,5-9,786
2013,Broj,Ribnik,Ukupno,5-9,255
2013,Broj,Ribnik,M,5-9,136
2013,Broj,Ribnik,Ž,5-9,119
2013,Broj,Rogatica,Ukupno,5-9,464
2013,Broj,Rogatica,M,5-9,245
2013,Broj,Rogatica,Ž,5-9,219
2013,Broj,Rudo,Ukupno,5-9,311
2013,Broj,Rudo,M,5-9,164
2013,Broj,Rudo,Ž,5-9,147
2013,Broj,Srbac,Ukupno,5-9,736
2013,Broj,Srbac,M,5-9,373
2013,Broj,Srbac,Ž,5-9,363
2013,Broj,Srebrenica,Ukupno,5-9,489
2013,Broj,Srebrenica,M,5-9,238
2013,Broj,Srebrenica,Ž,5-9,251
2013,Broj,Stanari,Ukupno,5-9,293
2013,Broj,Stanari,M,5-9,156
2013,Broj,Stanari,Ž,5-9,137
2013,Broj,Teslić,Ukupno,5-9,1914
2013,Broj,Teslić,M,5-9,1000
2013,Broj,Teslić,Ž,5-9,914
2013,Broj,Grad Trebinje,Ukupno,5-9,1399
2013,Broj,Grad Trebinje,M,5-9,709
2013,Broj,Grad Trebinje,Ž,5-9,690
2013,Broj,Ugljevik,Ukupno,5-9,734
2013,Broj,Ugljevik,M,5-9,369
2013,Broj,Ugljevik,Ž,5-9,365
2013,Broj,Foča,Ukupno,5-9,716
2013,Broj,Foča,M,5-9,374
2013,Broj,Foča,Ž,5-9,342
2013,Broj,Han Pijesak,Ukupno,5-9,122
2013,Broj,Han Pijesak,M,5-9,65
2013,Broj,Han Pijesak,Ž,5-9,57
2013,Broj,Čajniče,Ukupno,5-9,205
2013,Broj,Čajniče,M,5-9,95
2013,Broj,Čajniče,Ž,5-9,110
2013,Broj,Čelinac,Ukupno,5-9,733
2013,Broj,Čelinac,M,5-9,376
2013,Broj,Čelinac,Ž,5-9,357
2013,Broj,Šamac,Ukupno,5-9,663
2013,Broj,Šamac,M,5-9,344
2013,Broj,Šamac,Ž,5-9,319
2013,Broj,Šekovići,Ukupno,5-9,273
2013,Broj,Šekovići,M,5-9,119
2013,Broj,Šekovići,Ž,5-9,154
2013,Broj,Šipovo,Ukupno,5-9,464
2013,Broj,Šipovo,M,5-9,245
2013,Broj,Šipovo,Ž,5-9,219
2013,Broj,Republika Srpska,Ukupno,10-14,58024
2013,Broj,Republika Srpska,M,10-14,29826
2013,Broj,Republika Srpska,Ž,10-14,28198
2013,Broj,Grad Banja Luka,Ukupno,10-14,8487
